

1	Es	Es	PPER	es	nom|sg|neut|3	EP	2
1	8	octavo	FM	octavo	_	PAR	3
2	vo	.	SENT	.	_	--	1
3	Frf	Frankfurt	NE	Frankfurt	nom|sg|neut	--	0
4	.	.	SENT	.	_	--	3
5	mit	mit	APPR	mit	_	OC	3
6	Kupfern	Kupfern	NE	Kupfern	dat|pl|masc	NK	5
7	.	.	SENT	.	_	--	6
8	50.	50.	CARD	@ord@	nom|pl|fem|pos	NK	9
9	kr.	Kronen	NN	Krone	nom|pl|fem	CJ	3
10	Die	Die	ART	d	acc|pl|masc	NK	11
11	Sultaninnen	Sultaninnen	NN	Sultaninnen	nom|pl|fem	NK	9
12	von	von	APPR	von	_	PG	11
13	Guzarate	Guzarate	NN	Guzarate	dat|sg|*	NK	12
14	,	,	$,	,	_	--	13
15	oder	oder	KON	oder	_	CD	11
16	die	die	ART	d	nom|pl|masc	NK	17
17	Traͤume	Träume	NN	Traum	nom|pl|masc	CJ	15
18	wachender	wachender	ADJA	wachender	gen|pl|fem|pos	NK	19
19	Menschen	Menschen	NN	Mensch	gen|pl|masc	AG	17
20	,	,	$,	,	_	--	19
21	lustige	lustige	ADJA	lustig	nom|pl|fem|pos	NK	22
22	Erzehlungen	Erzählungen	NN	Erzählung	nom|pl|fem	APP	17
23	aus	aus	APPR	aus	_	MNR	22
24	Mogul	Mogul	NE	Mogul	dat|sg|neut	NK	23
25	.	.	SENT	.	_	--	24

1	8	octavo	FM	octavo	_	MO	6
2	vo	.	SENT	.	_	--	1
3	Leipzig	Leipzig	NE	Leipzig	nom|sg|neut	--	0
4	.	.	SENT	.	_	--	3
5	1748.	1748.	CARD	@ord@	_	MO	6
6	gebunden	gebunden	VVPP	binden	_	PAR	3
7	.	.	SENT	.	_	--	6
8	fl.	florein	FM	florein	_	UC	3
9	1.	1.	CARD	@ord@	_	--	0

1	Anmuthige	Anmutige	NN	Anmutige	nom|pl|*	--	0
2	,	,	$,	,	_	--	1
3	seltsame	seltsame	ADJA	seltsam	sg|3|past|subj	MO	1
4	,	,	$,	,	_	--	3
5	doch	doch	ADV	doch	_	CD	1
6	wahrhaffte	wahrhafte	ADJA	wahrhaft	nom|pl|fem|pos	NK	7
7	Begebenheiten	Begebenheiten	NN	Begebenheit	nom|pl|fem	CJ	5
8	der	der	ART	d	gen|sg|fem	NK	9
9	Frau	Frau	NN	Frau	gen|sg|fem	AG	7
10	Hertzogin	Herzogin	NN	Herzogin	nom|sg|fem	NK	9
11	von	von	APPR	von	_	SBP	19
12	Vaujour	Vaujour	NE	Vaujour	dat|sg|neut	NK	11
13	;	;	SENT	;	_	--	12
14	durch	durch	APPR	durch	_	MO	19
15	Herrn	Herrn	NN	Herr	acc|sg|masc	NK	14
16	von	von	APPR	von	_	PG	15
17	Mirone	Mirone	NN	Mirone	dat|sg|fem	NK	16
18	zusammen	zusammen	PTKVZ	zusammen	_	MO	19
19	getragen	getragen	VVPP	tragen	_	MO	36
20	,	,	$,	,	_	--	19
21	und	und	KON	und	_	CD	19
22	aus	aus	APPR	aus	_	MO	27
23	dem	dem	ART	d	dat|sg|neut	NK	24
24	Frantzoͤsischen	französischen	ADJA	französisch	dat|sg|neut|pos	NK	22
25	ins	ins	APPRART	ins	acc|sg|neut	MO	27
26	Teutsche	Deutsche	NN	deutsche	acc|sg|neut	NK	25
27	uͤbersetzt	übersetzt	VVPP	übersetzen	_	CJ	21
28	.	.	SENT	.	_	--	27
29	8	octavo	FM	octavo	_	OC	27
30	vo	.	SENT	.	_	--	29
31	Frf	Frankfurt	NE	Frankfurt	nom|sg|neut	SB	27
32	.	.	SENT	.	_	--	31
33	und	und	KON	und	_	CD	31
34	Leipzig	Leipzig	NE	Leipzig	nom|sg|neut	CJ	33
35	.	.	SENT	.	_	--	34
36	gebunden	gebunden	VVPP	binden	_	OC	7
37	.	.	SENT	.	_	--	36
38	56.	56.	CARD	@ord@	_	NK	39
39	kr.	Kronen	NN	Krone	nom|pl|fem	CJ	1

1	Hingegen	Hingegen	ADV	hingegen	_	MO	5
2	wird	wird	VAFIN	werden	sg|3|pres|ind	--	0
3	zu	zu	PTKZU	zu	_	PM	4
4	kauffen	kaufen	VVINF	kaufen	_	OC	5
5	begehrt	begehrt	VVPP	begehren	_	OC	2
6	:	:	SENT	:	_	--	5

1	1.	1.	CARD	@ord@	_	--	0

1	Ein	Ein	ART	ein	nom|sg|neut	NK	3
2	vollkommenes	vollkommenes	NA	Vollkommenes	nom|sg|neut|pos	NK	3
3	Jnstrument	Instrument	NN	Instrument	nom|sg|neut	--	0
4	und	und	KON	und	_	CD	3
5	Zugehoͤrde	Zugehörde	NN	Zugehörde	nom|sg|fem	CJ	4
6	zur	zur	APPRART	zur	dat|sg|fem	MNR	3
7	Feldmesserey	Feldmesserei	NN	Feldmesserei	dat|sg|fem	NK	6
8	um	um	APPR	um	_	MNR	7
9	billichen	billichen	ADJA	billichen	acc|sg|masc|pos	NK	10
10	Preis	Preis	NN	Preis	acc|sg|masc	NK	8
11	.	.	SENT	.	_	--	10

1	2.	2.	CARD	@ord@	_	--	0

1	Eine	Eine	ART	ein	nom|sg|fem	NK	4
2	saubere	saubere	ADJA	sauber	nom|sg|fem|pos	NK	4
3	leichte	leichte	ADJA	leicht	nom|sg|fem|pos	NK	4
4	Chaise	Chaise	NN	Chaise	nom|sg|fem	--	0
5	auf	auf	APPR	auf	_	MNR	4
6	4.	4.	CARD	@ord@	acc|sg|masc|pos	NK	7
7	Raͤderen	Räderen	NN	Räderen	acc|sg|masc	NK	5
8	,	,	$,	,	_	--	7
9	zu	zu	APPR	zu	_	CJ	5
10	2.	2.	CARD	@ord@	_	NK	9
11	oder	oder	KON	oder	_	CD	9
12	fuͤr	für	APPR	für	_	CJ	11
13	4.	4.	CARD	@ord@	acc|pl|fem|pos	NK	14
14	Personen	Personen	NN	Person	acc|pl|fem	NK	12
15	.	.	SENT	.	_	--	14

1	3.	3.	CARD	@ord@	_	--	0

1	Eine	Eine	ART	ein	nom|sg|fem	NK	4
2	grosse	große	ADJA	groß	nom|sg|fem|pos	NK	4
3	eiserne	eiserne	ADJA	eisern	nom|sg|fem|pos	NK	4
4	Geld-Cassa	Geld-Cassa	NN	Geld-Cassa	nom|sg|fem	--	0
5	.	.	SENT	.	_	--	4

1	Gefundene	Gefundene	ADJA	gefunden	nom|pl|fem|pos	NK	2
2	Sachen	Sachen	NN	Sache	nom|pl|fem	--	0
3	:	:	SENT	:	_	--	2

1	Es	Es	PPER	es	nom|sg|neut|3	SB	2
2	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
3	dieser	dieser	PDAT	dies	dat|sg|fem	NK	4
4	Tagen	Tagen	NN	Tag	dat|pl|masc	DA	8
5	allhier	allhier	ADV	allhier	_	MO	8
6	ein	ein	ART	ein	acc|sg|neut	NK	7
7	Schluͤssel	Schlüssel	NN	Schlüssel	acc|sg|neut	OA	8
8	gefunden	gefunden	VVPP	finden	_	OC	14
9	und	und	KON	und	_	CD	8
10	zu	zu	APPR	zu	_	MO	13
11	Ausgeberin	Ausgeberin	NN	Ausgeberin	dat|sg|fem	NK	10
12	dieses	dieses	PDS	dies	gen|sg|neut	NK	20
13	gebracht	gebracht	VVPP	bringen	_	CJ	9
14	worden	worden	VAPP	werden	_	OC	2
15	,	,	$,	,	_	--	14
16	welchen	welchen	PRELS	welch	acc|sg|masc	OA	13
17	der	der	ART	d	nom|sg|masc	NK	18
18	Eigenthuͤmer	Eigentümer	NN	Eigentümer	gen|pl|masc	SB	22
19	ohne	ohne	APPR	ohne	_	MO	21
20	Entgeld	Entgelt	NN	Entgelt	acc|sg|fem	NK	19
21	abholen	abholen	VVINF	abholen	_	OC	22
22	kan	kann	VMFIN	können	sg|3|pres|ind	RC	7
23	.	.	SENT	.	_	--	22

1	Kost	Kost	NN	Kost	nom|sg|fem	SB	6
2	,	,	$,	,	_	--	1
3	Jnformation	Information	NN	Information	nom|sg|fem	CJ	1
4	und	und	KON	und	_	CD	3
5	Bedienung	Bedienung	NN	Bedienung	nom|sg|fem	CJ	4
6	wird	wird	VAFIN	werden	sg|3|pres|ind	--	0
7	angetragen	angetragen	VVPP	antragen	_	OC	6
8	und	und	KON	und	_	CD	7
9	gesucht	gesucht	VVPP	suchen	_	CJ	8
10	:	:	SENT	:	_	--	9

1	Fuͤr	Für	APPR	für	_	MO	16
2	etliche	etliche	PIAT	etlich	acc|pl|masc	NK	4
3	junge	junge	ADJA	jung	acc|pl|fem|pos	NK	4
4	Knaben	Knaben	NN	Knabe	acc|pl|fem	NK	1
5	wird	wird	VAFIN	werden	sg|3|pres|ind	--	0
6	an	an	APPR	an	_	MO	16
7	einem	einem	ART	ein	dat|sg|masc	NK	9
8	honorablen	honorablen	ADJA	honorablen	dat|sg|masc|pos	NK	9
9	Ort	Ort	NN	Ort	dat|sg|masc	NK	6
10	in	in	APPR	in	_	MNR	9
11	dem	dem	ART	d	dat|sg|neut	NK	12
12	Welschland	Welschland	NN	Welschland	dat|sg|neut	NK	10
13	eine	eine	ART	ein	nom|sg|fem	NK	15
14	raisonnable	raisonnable	ADJA	raisonnable	nom|sg|fem|pos	NK	15
15	Kost	Kost	NN	Kost	nom|sg|fem	SB	5
16	offerirt	offeriert	VVPP	offerieren	_	OC	5
17	,	,	$,	,	_	--	16
18	da	da	KOUS	da	_	CP	21
19	selbige	selbige	PDS	selbig	nom|pl|*	SB	21
20	wohl	wohl	ADV	wohl	_	MO	21
21	gehalten	gehalten	VVPP	halten	_	MO	16
22	,	,	$,	,	_	--	21
23	und	und	KON	und	_	CD	5
24	wie	wie	PWAV	wie	_	CM	25
25	in	in	APPR	in	_	MO	41
26	der	der	ART	d	dat|sg|fem	NK	27
27	franzoͤsischen-	französischen	ADJA	französisch	dat|sg|fem|pos	NK	25
28	also	also	ADV	also	_	MO	41
29	auch	auch	ADV	auch	_	MO	30
30	in	in	APPR	in	_	MO	41
31	der	der	ART	d	dat|sg|fem	NK	33
32	lateinischen	lateinischen	ADJA	lateinisch	dat|sg|fem|pos	NK	33
33	Sprache	Sprache	NN	Sprache	dat|sg|fem	NK	30
34	und	und	KON	und	_	CD	33
35	allerhand	allerhand	PIAT	allerhand	*|*|*	NK	36
36	Studien	Studien	NN	Studium	acc|pl|fem	CJ	34
37	und	und	KON	und	_	CD	36
38	Wissenschaften	Wissenschaften	NN	Wissenschaft	acc|pl|fem	CJ	37
39	,	,	$,	,	_	--	38
40	getreulich	getreulich	ADV	getreulich	pos	MO	41
41	unterwiesen	unterwiesen	VVPP	unterwiesen	_	OC	42
42	werden	werden	VAINF	werden	_	OC	43
43	solle	solle	VMFIN	sollen	sg|3|pres|subj	CJ	23
44	;	;	SENT	;	_	--	43

1	das	das	ART	d	nom|sg|neut	NK	2
2	weitere	weitere	ADJA	weit	nom|sg|neut|comp	SB	3
3	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
4	im	im	APPRART	im	dat|sg|neut	MO	9
5	Berichthaus	Berichthaus	NN	Berichthaus	dat|sg|neut	NK	4
6	in	in	APPR	in	_	MO	9
7	Basel	Basel	NE	Basel	dat|sg|neut	NK	6
8	zu	zu	PTKZU	zu	_	PM	9
9	vernehmen	vernehmen	VVINF	vernehmen	_	OC	3
10	.	.	SENT	.	_	--	9

1	Allerhand	Allerhand	PIAT	allerhand	*|*|*	NK	2
2	Nachrichten	Nachrichten	NN	Nachricht	nom|pl|fem	--	0
3	:	:	SENT	:	_	--	2

1	Von	Von	APPR	von	_	MO	30
2	der	der	ART	d	dat|sg|fem	NK	3
3	Lotterie	Lotterie	NN	Lotterie	dat|sg|fem	NK	1
4	zu	zu	APPR	zu	_	MNR	3
5	Freyburg	Freiburg	NE	Freiburg	dat|sg|neut	NK	4
6	in	in	APPR	in	_	MNR	5
7	Uchtland	Uchtland	NE	Uchtland	dat|sg|neut	NK	6
8	,	,	$,	,	_	--	7
9	welche	welche	PRELS	welch	nom|pl|fem	SB	15
10	in	in	APPR	in	_	MO	14
11	kuͤnftigem	künftigem	ADJA	künftigem	dat|sg|masc|pos	NK	12
12	Monat	Monat	NN	Monat	dat|sg|masc	NK	10
13	Novembris	Novembris	NN	November	nom|sg|masc	NK	12
14	gezogen	gezogen	VVPP	ziehen	_	OC	15
15	wird	wird	VAFIN	werden	sg|3|pres|ind	RC	3
16	,	,	$,	,	_	--	15
17	sind	sind	VAFIN	sein	pl|3|pres|ind	--	0
18	in	in	APPR	in	_	MO	30
19	dem	dem	ART	d	dat|sg|neut	NK	20
20	Berichthaus	Berichthaus	NN	Berichthaus	dat|sg|neut	NK	18
21	zu	zu	APPR	zu	_	MNR	20
22	Basel	Basel	NE	Basel	dat|sg|neut	NK	21
23	noch	noch	ADV	noch	_	MO	30
24	eine	eine	ART	ein	acc|sg|fem	NK	25
25	Anzahl	Anzahl	NN	Anzahl	acc|sg|fem	OA	30
26	Loose	Lose	NN	Lose	acc|sg|fem	NK	25
27	oder	oder	KON	oder	_	CD	26
28	Billets	Billetts	NN	Billetts	gen|sg|neut	CJ	27
29	zu	zu	PTKZU	zu	_	PM	30
30	vergeben	vergeben	VVINF	vergeben	_	OC	17
31	,	,	$,	,	_	--	30
32	das	das	ART	d	acc|sg|neut	NK	33
33	Stuͤck	Stück	NN	Stück	acc|sg|neut	CJ	23
34	vor	vor	APPR	vor	_	MNR	33
35	17.	17.	CARD	@ord@	dat|sg|masc|pos	NK	36
36	st.	stück	NN	Stück	acc|sg|neut	NK	34
37	Basler	Basler	ADJA	Basler	nom|sg|masc	PNC	38
38	Valuta	Valuta	NE	Valuta	nom|sg|masc	NK	36
39	,	,	$,	,	_	--	38
40	oder	oder	KON	oder	_	CD	36
41	34.	34.	CARD	@ord@	dat|sg|masc|pos	NK	42
42	Sols	Sols	NN	Sols	dat|sg|masc	CJ	40
43	franzoͤsisch	französisch	ADJD	französisch	pos	NK	44
44	Geld	Geld	NN	Geld	acc|sg|neut	APP	36
45	,	,	$,	,	_	--	44
46	wormit	womit	PWAVREL	womit	_	MO	60
47	schoͤne	schöne	ADJA	schön	nom|pl|masc|pos	NK	48
48	Preise	Preise	NN	Preis	nom|pl|masc	SB	61
49	von	von	APPR	von	_	PG	48
50	30.	30.	CARD	@ord@	dat|pl|masc|pos	NK	51
51	Schweitzer-Sols	Schweitzer-Sols	NN	Schweitzer-Sols	dat|pl|masc	NK	49
52	biß	bis	APPR	bis	_	MO	60
53	800.	800.	CARD	@ord@	dat|pl|fem|pos	NK	54
54	Schweitzer-Francken	Schweitzer-Francken	NN	Schweitzer-Francken	dat|pl|fem	NK	52
55	oder	oder	KON	oder	_	CD	52
56	600.	600.	CARD	@ord@	_	NK	58
57	hiesige	hiesige	ADJA	hiesig	acc|pl|*|pos	NK	58
58	Pfund	Pfund	NN	Pfund	*|*|neut	CJ	55
59	zu	zu	PTKZU	zu	_	PM	60
60	gewinnen	gewinnen	VVINF	gewinnen	_	OC	61
61	sind	sind	VAFIN	sein	pl|3|pres|ind	RC	44
62	;	;	SENT	;	_	--	61

1	man	man	PIS	man	nom|sg|*	SB	2
2	beliebe	beliebe	VVFIN	beliebe	sg|3|pres|subj	--	0
3	sich	sich	PRF	er|es|sie	acc|sg|3	OA	2
4	aber	aber	ADV	aber	_	MO	2
5	um	um	APPR	um	_	CP	13
6	verlangende	verlangende	ADJA	verlangende	acc|sg|fem|pos	NK	7
7	Loose	Lose	NN	Lose	acc|sg|fem	OA	13
8	laͤngstens	längstens	ADV	längstens	_	MO	2
9	biß	bis	KON	bis	_	MO	13
10	Anfangs	Anfangs	ADV	anfangs	gen|sg|masc	NK	9
11	der	der	ART	d	gen|sg|fem	NK	12
12	Basler-Messe	Basler-Messe	NN	Basler-Messe	gen|sg|fem	AG	10
13	anzumelden	anzumelden	VVIZU	anmelden	_	MO	2
14	.	.	SENT	.	_	--	13

1	Es	Es	PPER	es	nom|sg|neut|3	SB	2
2	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
3	zu	zu	APPR	zu	_	MO	12
4	Basel	Basel	NE	Basel	dat|sg|neut	NK	3
5	in	in	APPR	in	_	MO	12
6	dem	dem	ART	d	dat|sg|neut	NK	7
7	Gasthaus	Gasthaus	NN	Gasthaus	dat|sg|neut	NK	5
8	zum	zum	APPRART	zum	dat|sg|masc	MNR	7
9	Schif	Schiff	NN	Schiff	dat|sg|neut	NK	8
10	ein	ein	ART	ein	nom|sg|masc	NK	11
11	Kuͤnstler	Künstler	NN	Künstler	nom|sg|masc	SB	2
12	angelangt	angelangt	VVPP	anlangen	_	OC	2
13	,	,	$,	,	_	--	12
14	bey	bei	APPR	bei	_	CJ	2
15	deme	dem	PRELS	d	dat|sg|masc	NK	14
16	eine	eine	ART	ein	nom|sg|fem	NK	21
17	sehenswuͤrdige	sehenswürdige	ADJA	sehenswürdige	nom|sg|fem|pos	NK	21
18	von	von	APPR	von	_	SBP	20
19	Helfenbein	Helfenbein	NN	Helfenbein	dat|sg|*	NK	18
20	kuͤnstlich-verfertigte	künstlich-verfertigte	ADJA	künstlich-verfertigte	acc|sg|fem|pos	NK	21
21	Maschine	Maschine	NN	Maschine	acc|sg|fem	PD	2
22	,	,	$,	,	_	--	21
23	welche	welche	PRELS	welch	acc|sg|fem	SB	33
24	eine	eine	ART	ein	acc|sg|fem	NK	26
25	schwangere	schwangere	ADJA	schwanger	acc|sg|fem|comp	NK	26
26	Frauens-Person	Frauens-Person	NN	Frauens-Person	acc|sg|fem	OA	33
27	und	und	KON	und	_	CD	26
28	die	die	ART	d	acc|pl|neut	NK	30
29	vornehmsten	vornehmsten	ADJA	vornehm	nom|pl|neut|sup	NK	30
30	Theile	Teile	NN	Teil	acc|pl|neut	CJ	27
31	der	der	ART	d	gen|sg|fem	NK	32
32	Anatomie	Anatomie	NN	Anatomie	gen|sg|fem	AG	30
33	vorstellet	vorstellet	VVFIN	vorstellen	sg|3|pres|ind	RC	21
34	,	,	$,	,	_	--	33
35	von	von	APPR	von	_	MO	47
36	9.	9.	CARD	@ord@	dat|sg|masc|pos	NK	37
37	Uhr	Uhr	NN	Uhr	dat|sg|fem	NK	35
38	Vormittags	Vormittags	ADV	vormittags	gen|sg|masc	AG	37
39	und	und	KON	und	_	CD	35
40	von	von	APPR	von	_	CJ	39
41	3.	3.	CARD	@ord@	_	NK	44
42	biß	bis	KON	bis	_	CD	41
43	4.	4.	CARD	@ord@	_	CJ	42
44	Uhr	Uhr	NN	Uhr	nom|sg|fem	NK	40
45	Nachmittags	Nachmittags	ADV	nachmittags	_	OA	47
46	zu	zu	PTKZU	zu	_	PM	47
47	sehen	sehen	VVINF	sehen	_	OC	48
48	ist	ist	VAFIN	sein	sg|3|pres|ind	CJ	33
49	;	;	SENT	;	_	--	48

1	es	es	PPER	es	nom|sg|neut|3	SB	2
2	kan	kann	VMFIN	können	sg|3|pres|ind	--	0
3	aber	aber	ADV	aber	_	MO	2
4	derselbe	derselbe	PDS	derselbe	sg|3|pres|subj	DA	19
5	dieses	dieses	PDAT	dies	nom|sg|neut	NK	6
6	Kunststuͤck	Kunststück	NN	Kunststück	nom|sg|neut	AG	4
7	,	,	$,	,	_	--	6
8	welches	welches	PRELS	welch	nom|sg|neut	SB	14
9	in	in	APPR	in	_	MO	14
10	einem	einem	ART	ein	dat|sg|masc	NK	13
11	kleinen	kleinen	ADJA	klein	dat|sg|masc|pos	NK	13
12	schuͤhigen	schühigen	ADJA	schühigen	dat|sg|masc|pos	NK	13
13	Kuͤstlein	Küstlein	NN	Küstlein	dat|sg|masc	NK	9
14	verwahret	verwahret	VVPP	verwahren	_	RC	6
15	,	,	$,	,	_	--	14
16	tragen	tragen	VVINF	tragen	pl|3|pres|ind	CJ	14
17	und	und	KON	und	_	CD	16
18	sehen	sehen	VVINF	sehen	pl|3|pres|ind	CJ	17
19	lassen	lassen	VVINF	lassen	_	OC	2
20	,	,	$,	,	_	--	19
21	wohin	wohin	PWAV	wohin	_	MO	26
22	man	man	PIS	man	nom|sg|*	SB	27
23	ihne	inne	PTKVZ	inne	acc|sg|neut|3	OA	25
24	zu	zu	PTKZU	zu	_	PM	25
25	berufen	berufen	VVINF	berufen	_	OC	26
26	belieben	belieben	NN	Belieben	_	OC	27
27	wird	wird	VAFIN	werden	sg|3|pres|ind	OC	18
28	.	.	SENT	.	_	--	27

1	Verganth-	Verganth-	NN	Verganth-	_	CJ	2
2	und	und	KON	und	_	CD	3
3	Auskuͤndungen	Auskündungen	NN	Auskündungen	acc|pl|fem	--	0
4	.	.	SENT	.	_	--	3

1	Wer	Wer	PWS	wer	nom|sg|masc	SB	10
2	an	an	APPR	an	_	MO	9
3	Bartholomaͤum	Bartholomäum	NN	Bartholomäum	nom|sg|masc	PNC	4
4	Engelhard	Engelhard	NE	Engelhard	acc|sg|masc	NK	2
5	von	von	APPR	von	_	MO	9
6	Schliengen	Schliengen	NE	Schliengen	dat|sg|neut	NK	5
7	etwas	etwas	PIS	etwas	*|*|neut	OA	9
8	zu	zu	PTKZU	zu	_	PM	9
9	fordern	fordern	VVINF	fordern	_	OC	10
10	hat	hat	VAFIN	haben	sg|3|pres|ind	SB	12
11	,	,	$,	,	_	--	10
12	muß	muß	VMFIN	müssen	sg|3|pres|ind	--	0
13	sich	sich	PRF	er|es|sie	acc|sg|3	OA	26
14	Montags	Montags	ADV	montags	nom|sg|*	SB	12
15	den	den	ART	d	acc|sg|masc	NK	17
16	3.	3.	CARD	@ord@	acc|sg|masc|pos	NK	17
17	Novembris	Novembris	NN	November	acc|sg|masc	OA	26
18	zu	zu	APPR	zu	_	MO	26
19	gedachtem	gedachtem	ADJA	gedacht	dat|sg|neut|pos	NK	20
20	Schliengen	Schliengen	NN	Schliengen	dat|sg|neut	NK	18
21	in	in	APPR	in	_	MNR	20
22	dem	dem	ART	d	dat|sg|neut	NK	23
23	Wirthshaus	Wirtshaus	NN	Wirtshaus	dat|sg|neut	NK	21
24	zum	zum	APPRART	zum	dat|sg|masc	MNR	23
25	Schluͤssel	Schlüssel	NN	Schlüssel	dat|sg|masc	NK	24
26	einfinden	einfinden	VVINF	einfinden	_	OC	12
27	,	,	$,	,	_	--	26
28	und	und	KON	und	_	CD	26
29	seine	seine	PPOSAT	sein	nom|pl|masc	NK	30
30	Original-Schuldscheine	Original-Schuldscheine	NN	Original-Schuldscheine	nom|pl|masc	SB	31
31	mitbringen	mitbringen	VVINF	mitbringen	pl|3|pres|ind	CJ	28
32	,	,	$,	,	_	--	31
33	oder	oder	KON	oder	_	CD	12
34	wird	wird	VAFIN	werden	sg|3|pres|ind	CJ	33
35	nachhero	nachher	ADV	nachher	_	MO	38
36	nicht	nicht	PTKNEG	nicht	_	NG	45
37	mehr	mehr	ADV	mehr	_	MO	36
38	angehoͤrt	angehört	VVPP	anhören	_	OC	39
39	werden	werden	VAINF	werden	_	MO	41
40	,	,	$,	,	_	--	39
41	gestalten	gestalten	VVFIN	gestalten	pl|3|pres|ind	OC	34
42	er	er	PPER	er	nom|sg|masc|3	SB	41
43	nach	nach	APPR	nach	_	MO	41
44	Siebenbuͤrgen	Siebenbürgen	NE	Siebenbürgen	dat|sg|neut	NK	43
45	gezogen	gezogen	VVPP	ziehen	_	OC	46
46	ist	ist	VAFIN	sein	sg|3|pres|ind	MO	41
47	.	.	SENT	.	_	--	46

1	Wer	Wer	PWS	wer	nom|sg|masc	SB	14
2	ferner	ferner	ADV	fern	_	MO	13
3	an	an	APPR	an	_	MO	13
4	Johannes	Johannes	NE	Johannes	nom|sg|masc	PNC	5
5	Brendtlin	Brendtlin	NN	Brendtlin	acc|sg|masc	NK	3
6	,	,	$,	,	_	--	5
7	den	den	ART	d	acc|sg|masc	NK	8
8	Stubenwirth	Stubenwirth	NE	Stubenwirth	acc|sg|masc	OA	13
9	von	von	APPR	von	_	PG	8
10	dar	dar	PTKVZ	dar	_	NK	9
11	,	,	$,	,	_	--	10
12	zu	zu	PTKZU	zu	_	PM	13
13	fordern	fordern	VVINF	fordern	_	OC	14
14	hat	hat	VAFIN	haben	sg|3|pres|ind	SB	16
15	,	,	$,	,	_	--	14
16	muß	muß	VMFIN	müssen	sg|3|pres|ind	--	0
17	sich	sich	PRF	er|es|sie	acc|sg|3	OA	26
18	auf	auf	APPR	auf	_	MO	26
19	den	den	ART	d	acc|sg|masc	NK	21
20	20.	20.	CARD	@ord@	acc|sg|masc|pos	NK	21
21	Nov.	Novembris	NN	November	acc|sg|masc	NK	18
22	vor	vor	APPR	vor	_	MO	26
23	Ober-Amt	Ober-Amt	NN	Ober-Amt	dat|sg|neut	NK	22
24	zu	zu	APPR	zu	_	CVC	26
25	Schliengen	Schliengen	NN	Schliengen	dat|pl|fem	NK	24
26	stellen	stellen	VVINF	stellen	_	OC	16
27	,	,	$,	,	_	--	26
28	seine	seine	PPOSAT	sein	acc|pl|masc	NK	29
29	Schuldscheine	Schuldscheine	NN	Schuldscheine	acc|pl|masc	OA	30
30	mitbringen	mitbringen	VVINF	mitbringen	_	CJ	26
31	und	und	KON	und	_	CD	30
32	ordentlich	ordentlich	ADJD	ordentlich	pos	MO	33
33	liquidiren	liquidieren	VVINF	liquidieren	_	CJ	31
34	,	,	$,	,	_	--	33
35	alsdann	alsdann	ADV	alsdann	sg|3|pres|ind	MO	39
36	sich	sich	PRF	er|es|sie	acc|sg|3	OA	39
37	der	der	ART	d	dat|sg|fem	NK	38
38	Verweisung	Verweisung	NN	Verweisung	dat|sg|fem	DA	39
39	gewaͤrtigen	gewärtigen	VVINF	gewärtigen	_	OC	33
40	,	,	$,	,	_	--	39
41	oder	oder	KON	oder	_	CD	16
42	wird	wird	VAFIN	werden	sg|3|pres|ind	CJ	41
43	nachhero	nachher	ADV	nachher	_	MO	46
44	nicht	nicht	PTKNEG	nicht	_	NG	46
45	mehr	mehr	ADV	mehr	_	MO	44
46	angehoͤrt	angehört	VVPP	anhören	_	OC	47
47	werden	werden	VAINF	werden	_	OC	42
48	.	.	SENT	.	_	--	47

1	T.	T.	FM	T.	gen|sg|fem|pos	NK	3
2	Hochfuͤrstl.	Hochfürstliche	ADJA	hochfürstlich	nom|pl|neut|pos	NK	3
3	Ober-Amts-Cantzley	Ober-Amts-Cantzley	NE	Ober-Amts-Cantzley	acc|sg|masc	OA	4
4	Roͤtteln	Röteln	NN	Röteln	_	--	0
5	.	.	SENT	.	_	--	4

1	Preis	Preis	NN	Preis	nom|sg|masc	--	0
2	der	der	ART	d	gen|pl|fem	NK	3
3	Lebens-Mitteln	Lebens-Mitteln	NN	Lebensmittel	gen|pl|fem	AG	1
4	:	:	SENT	:	_	--	3

1	Basel	Basel	NE	Basel	nom|sg|neut	--	0
2	.	.	SENT	.	_	--	1
3	Kernen	Kernen	NN	Kern	nom|pl|fem	CJ	1
4	,	,	$,	,	_	--	3
5	9.	9.	CARD	@ord@	nom|pl|fem	NK	8
6	fl.	florein	FM	florein	_	MO	7
7	36.	36.	CARD	@ord@	_	NK	8
8	kr.	Kronen	NN	Krone	nom|pl|fem	CJ	3
9	à	a	FM	a	_	--	8
10	10.	10.	CARD	@ord@	_	MO	12
11	fl.	florein	FM	florein	pos	MO	12
12	24.	24.	CARD	@ord@	acc|sg|masc|pos	NK	13
13	kr.	Kronen	NN	Krone	dat|pl|fem	AG	8

1	Mischel-Frucht	Mischel-Frucht	NN	Mischel-Frucht	nom|sg|masc	--	0
2	6.	6.	CARD	@ord@	_	MNR	1
3	fl.	florein	FM	florein	pos	MO	4
4	52.	52.	CARD	@ord@	dat|sg|masc|pos	NK	5
5	kr.	Kronen	NN	Krone	dat|sg|masc	NK	2
6	à	a	FM	a	_	NK	5
7	7.	7.	CARD	@ord@	_	MO	9
8	fl.	florein	FM	florein	pos	MO	9
