

1	LXXIIX	LXXIIX	NE	LXXIIX	nom|sg|neut	--	0
9	verliebet	verliebet	VVPP	verlieben	_	MO	23
10	und	und	KON	und	_	CD	9
11	in	in	APPR	in	_	MO	14
12	ihren	ihren	PPOSAT	ihr	acc|sg|masc	NK	13
13	Schoß	Schoß	NN	Schoß	acc|sg|masc	NK	11
14	geschlaffen	geschlafen	VVPP	schlafen	_	CJ	10
15	/	/	$,	/	_	--	14
16	hat	hat	VAFIN	haben	sg|3|pres|ind	--	0
17	sie	sie	PPER	Sie	nom|sg|fem|3	SB	16
18	sich	sich	PRF	er|es|sie	acc|sg|3	DA	23
19	bestechen	bestechen	VVINF	bestechen	_	OC	20
20	lassen	lassen	VVINF	lassen	_	NK	22
21	/	/	$,	/	_	--	20
22	Geld	Geld	NN	Geld	acc|sg|neut	OA	23
23	genommen	genommen	VVPP	nehmen	_	OC	16
24	/	/	$,	/	_	--	23
25	und	und	KON	und	_	CD	23
26	ihme	ihm	PPER	er	dat|sg|masc|3	DA	31
27	den	den	ART	d	dat|pl|fem	NK	28
28	Fuͤrsten	Fürsten	NN	Fürst	dat|pl|masc	DA	31
29	der	der	ART	d	gen|pl|masc	NK	30
30	Philister	Philister	NN	Philister	gen|pl|masc	AG	28
31	verrathen	verraten	VVPP	verraten	_	CJ	25
32	/	/	$,	/	_	--	31
33	nach	nach	APPR	nach	_	MO	42
34	dem	dem	PRELS	d	dat|sg|masc	NK	33
35	sie	sie	PPER	Sie	nom|sg|fem|3	SB	42
36	ihme	ihm	PPER	er	dat|sg|masc|3	DA	42
37	seiner	seiner	PPOSAT	sein	gen|pl|neut	NK	38
38	Staͤrcke	Stärke	NN	Stärke	dat|sg|fem	OA	42
39	in	in	APPR	in	_	MO	42
40	den	den	ART	d	dat|pl|fem	NK	41
41	Haaren	Haaren	NN	Haar	dat|pl|neut	NK	39
42	beraubet	beraubet	VVPP	berauben	sg|3|pres|ind	RC	22
43	/	/	$,	/	_	--	42
44	die	die	PRELS	d	nom|sg|fem	SB	51
45	ihme	ihm	PPER	er	dat|sg|masc|3	DA	51
46	dann	dann	ADV	dann	_	MO	51
47	nachgehends	nachgehend	ADJA	nachgehend	pos	MO	51
48	die	die	ART	d	nom|pl|fem	NK	50
49	beeden	beiden	PIAT	beide	nom|pl|*	NK	50
50	Augen	Augen	NN	Auge	nom|pl|neut	OA	51
51	außgestochen	ausgestochen	VVPP	ausstechen	_	RC	28
52	und	und	KON	und	_	CD	51
53	einē	eine	ART	ein	acc|sg|fem	NK	54
54	Spott	Spott	NN	Spott	acc|sg|fem	OA	58
55	auß	aus	APPR	aus	_	MNR	54
56	dem	dem	ART	d	dat|sg|masc	NK	57
57	Helden	Helden	NN	Held	dat|sg|masc	NK	55
58	gemachet	gemacht	VVPP	gemacht	_	CJ	52
59	.	.	SENT	.	_	--	58

1	Darum̄	Darum	PAV	darum	_	MO	9
2	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
3	sich	sich	PRF	er|es|sie	acc|sg|3	OA	9
4	auff	auf	APPR	auf	_	MO	9
5	Huren-Liebe	Huren-Liebe	NN	Huren-Liebe	acc|sg|fem	NK	4
6	gar	gar	ADV	gar	_	MO	7
7	nicht	nicht	PTKNEG	nicht	_	NG	9
8	zu	zu	PTKZU	zu	_	PM	9
9	verlassen	verlassen	VVINF	verlassen	_	OC	2
10	/	/	$,	/	_	--	9
11	Huren	Huren	NN	Hure	nom|pl|fem	SB	12
12	sind	sind	VAFIN	sein	pl|3|pres|ind	SB	2
13	von	von	APPR	von	_	MO	12
14	Flandern	Flandern	NE	Flandern	dat|sg|neut	NK	13
15	/	/	$,	/	_	--	14
16	sie	sie	PPER	Sie	nom|pl|*|3	SB	17
17	geben	geben	VVFIN	geben	pl|3|pres|ind	CJ	12
18	einen	einen	PIS	ein	acc|sg|masc	DA	17
19	um̄	um	APPR	um	_	MO	17
20	den	den	ART	d	acc|sg|masc	NK	21
21	andern	anderen	PIS	ander	acc|sg|masc	NK	19
22	/	/	$,	/	_	--	21
23	nach	nach	APPR	nach	_	MO	27
24	dem	dem	PRELS	d	dat|sg|neut	NK	23
25	sie	sie	PPER	Sie	nom|sg|fem|3	SB	27
26	Luste	Luste	NN	Luste	acc|pl|fem	OA	27
27	treiben	treiben	VVINF	treiben	pl|3|pres|ind	OC	21
28	und	und	KON	und	_	CD	17
29	sie	sie	PPER	Sie	acc|pl|fem|3	OA	33
30	Geld	Geld	NN	Geld	acc|sg|neut	OA	31
31	wissen	wissen	VVINF	wissen	_	OC	33
32	zu	zu	PTKZU	zu	_	PM	33
33	verdienen	verdienen	VVINF	verdienen	_	CJ	28
34	.	.	SENT	.	_	--	33

1	Weg	Weg	NN	Weg	nom|sg|masc	OA	10
2	mit	mit	APPR	mit	_	MNR	1
3	solcher	solcher	PIAT	solch	dat|sg|fem	NK	4
4	Liebe	Liebe	NN	Liebe	dat|sg|fem	NK	2
5	/	/	$,	/	_	--	4
6	die	die	PRELS	d	nom|pl|*	NK	7
7	einen	einen	ART	ein	nom|pl|*	SB	10
8	nur	nur	ADV	nur	_	MO	9
9	unruhig	unruhig	ADJD	unruhig	pos	MO	10
10	machet	macht	VVFIN	machen	sg|3|pres|ind	--	0
11	/	/	$,	/	_	--	10
12	die	die	PRELS	d	acc|sg|fem	NK	13
13	einē	eine	PIS	ein	acc|sg|fem	OA	10
14	nur	nur	ADV	nur	_	MO	17
15	zu	zu	PTKZU	zu	_	PM	16
16	suͤndigen	sündigen	VVFIN	sündigen	_	OC	17
17	anreitzet	anreizet	ADJD	anreizet	sg|3|pres|ind	MO	10
18	/	/	$,	/	_	--	17
19	die	die	PRELS	d	nom|pl|*	NK	24
20	einem	einem	PIS	ein	dat|sg|masc	DA	24
21	nur	nur	ADV	nur	_	MO	24
22	ein	ein	ART	ein	acc|sg|neut	NK	24
23	boͤses	böses	ADJA	böse	acc|sg|neut|pos	NK	24
24	Gewissen	Gewissen	NN	Gewissen	acc|sg|neut	OA	28
25	und	und	KON	und	_	CD	24
26	nagenden	nagenden	ADJA	nagenden	acc|sg|masc|pos	NK	27
27	Wurm	Wurm	NN	Wurm	acc|sg|masc	CJ	25
28	hinterlaͤsset	hinterlässt	VVFIN	hinterlässt	_	OC	17
29	/	/	$,	/	_	--	28
30	die	die	PRELS	d	acc|sg|fem	SB	48
31	einē	eine	PIS	ein	acc|sg|fem	NK	36
32	nur	nur	ADV	nur	_	MO	33
33	um̄s	ums	APPRART	ums	acc|sg|neut	MO	10
34	Geld	Geld	NN	Geld	acc|sg|neut	NK	33
35	und	und	KON	und	_	CD	10
36	Brodt	Brot	NN	Brot	nom|sg|neut	OA	39
37	oder	oder	KON	oder	_	CD	36
38	Nahrung	Nahrung	NN	Nahrung	acc|sg|fem	CJ	37
39	bringet	bringet	VVFIN	bringen	sg|3|pres|ind	CJ	35
40	/	/	$,	/	_	--	39
41	ja	ja	ADV	ja	_	MO	48
42	die	die	ART	d	nom|sg|fem	NK	47
43	einem	einem	ART	ein	dat|sg|neut	NK	44
44	zeitliche	zeitliche	ADJA	zeitlich	acc|sg|fem|pos	NK	47
45	und	und	KON	und	_	CD	44
46	ewige	ewige	ADJA	ewig	acc|sg|fem|pos	CJ	45
47	Straffe	Straffe	NN	Strafe	acc|sg|fem	SB	48
48	erwecket	erwecket	VVPP	erwecken	sg|3|pres|ind	RC	24
49	/	/	$,	/	_	--	48
50	die	die	PRELS	d	nom|sg|fem	OA	63
51	einē	eine	ART	ein	nom|sg|fem	NK	52
52	Gewissen	Gewissen	NN	Gewissen	nom|sg|neut	SB	63
53	Reue	Reue	NN	Reue	acc|sg|fem	NK	52
54	/	/	$,	/	_	--	53
55	ja	ja	ADV	ja	_	MO	63
56	offt	oft	ADV	oft	_	MO	63
57	Mord	Mord	NN	Mord	acc|sg|masc	OA	63
58	und	und	KON	und	_	CD	57
59	Todtschlag	Totschlag	NN	Totschlag	acc|sg|masc	CJ	58
60	/	/	$,	/	_	--	59
61	nach	nach	APPR	nach	_	MO	63
62	sich	sich	PRF	er|es|sie	dat|sg|3	NK	61
63	ziehet	ziehet	VVFIN	ziehen	sg|3|pres|ind	RC	47
64	/	/	$,	/	_	--	63
65	und	und	KON	und	_	CD	63
66	einen	einen	ART	ein	acc|sg|masc	SB	71
67	zu	zu	APPR	zu	_	MO	71
68	Spott	Spott	NN	Spott	acc|sg|masc	NK	67
69	und	und	KON	und	_	CD	68
70	Schanden	Schanden	NN	Schande	acc|sg|masc	CJ	69
71	machet	macht	VVFIN	machen	sg|3|pres|ind	CJ	65
72	/	/	$,	/	_	--	71
73	so	so	ADV	so	_	MO	74
74	offte	offte	ADJA	oft	sg|3|past|ind	PAR	71
75	man	man	NN	Mann	nom|sg|*	SB	74
76	daran	daran	PAV	daran	_	MO	77
77	gedencket	gedenket	VVFIN	gedenken	_	OC	74
78	;	;	SENT	;	_	--	77

1	Rechte	Rechte	NN	Recht	acc|pl|neut	MO	2
2	wahre	wahre	NN	Ware	nom|pl|masc|pos	NK	8
3	keusche	keusche	VVFIN	keusche	acc|sg|fem|pos	NK	8
4	/	/	$,	/	_	--	3
5	und	und	KON	und	_	CD	3
6	geordnete	geordnete	ADJA	geordnet	acc|sg|fem|pos	CJ	5
7	erlaubte	erlaubte	VVFIN	erlauben	sg|3|past|ind	NK	8
8	Liebe	Liebe	NN	Liebe	nom|sg|fem	PD	11
9	aber	aber	ADV	aber	_	MO	8
10	/	/	$,	/	_	--	9
11	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
12	eine	eine	ART	ein	nom|sg|fem	NK	13
13	Flamme	Flamme	NN	Flamme	nom|sg|fem	SB	11
14	zum	zum	APPRART	zum	dat|sg|masc	MNR	13
15	erlaubten	erlaubten	ADJA	erlaubt	dat|sg|masc|pos	NK	16
16	Liebes	Liebes	NN	Liebes	dat|sg|masc	NK	14
17	Guthen	guten	ADJA	gut	acc|sg|masc|pos	UC	16
18	in	in	APPR	in	_	MO	11
19	gewissen	gewissen	ADJA	gewiß	dat|pl|fem|pos	NK	20
20	Schrancken	Schranken	NN	Schranke	dat|pl|fem	NK	18
21	/	/	$,	/	_	--	20
22	Masse	Masse	NN	Masse	dat|sg|fem	SB	33
23	und	und	KON	und	_	CD	22
24	Ordnungē	Ordnunge	NN	Ordnunge	nom|pl|masc	CJ	23
25	von	von	APPR	von	_	PG	22
26	Gott	Gott	NE	Gott	dat|sg|masc	NK	25
27	selbst	selbst	PRF	selbst	_	MO	28
28	in	in	APPR	in	_	MO	33
29	teuschē	täusche	VVFIN	täuschen	acc|pl|neut|pos	NK	32
30	und	und	KON	und	_	CD	29
31	ehrbarē	ehrbare	ADJA	ehrbare	acc|pl|neut|pos	CJ	30
32	Gemuͤthern	Gemütern	NN	Gemüter	dat|pl|neut	NK	28
33	erwecket	erwecket	VVPP	erwecken	sg|3|pres|ind	CJ	11
34	und	und	KON	und	_	CD	33
35	angezündet	angezündet	VVPP	anzünden	pos	CJ	34
36	/	/	$,	/	_	--	35
37	zu	zu	APPR	zu	_	MO	35
38	einem	einem	ART	ein	dat|sg|neut	NK	40
39	rechtmaͤssigen	rechtmässigen	ADJA	rechtmässigen	dat|sg|neut|pos	NK	40
40	End	Ende	NN	Ende	dat|sg|neut	NK	37
41	und	und	KON	und	_	CD	40
42	Zweck	Zweck	NN	Zweck	dat|sg|masc	CJ	41
43	/	/	$,	/	_	--	42
44	nicht	nicht	PTKNEG	nicht	_	NG	45
45	nur	nur	ADV	nur	_	MO	47
46	seine	seine	PPOSAT	sein	acc|sg|fem	NK	47
47	Brunst	Brunst	NN	Brunst	nom|sg|fem	OA	52
48	und	und	KON	und	_	CD	47
49	boͤse	böse	ADJA	bös	acc|sg|fem|pos	NK	50
50	Luͤste	Lüste	NN	Lust	acc|sg|fem	CJ	48
51	zu	zu	PTKZU	zu	_	PM	52
52	buͤssen	büßen	VVINF	büssen	_	OC	40
53	/	/	$,	/	_	--	52
54	sondern	sondern	KON	sondern	_	CD	52
55	Gottes	Gottes	NE	Gott	gen|sg|masc	AG	56
56	Ehre	Ehre	NN	Ehre	acc|sg|fem	OA	69
57	/	/	$,	/	_	--	56
58	Ruhm	Ruhm	NN	Ruhm	acc|sg|masc	CJ	56
59	und	und	KON	und	_	CD	58
60	Lob	Lob	NN	Lob	acc|sg|neut	CJ	59
61	durch	durch	APPR	durch	_	MO	69
62	Erziehlung	Erzielung	NN	Erzielung	acc|sg|fem	NK	61
63	der	der	ART	d	gen|pl|neut	NK	64
64	Kinder	Kinder	NN	Kind	gen|pl|neut	AG	62
65	/	/	$,	/	_	--	64
66	im	im	APPRART	im	dat|sg|neut	MO	69
67	Ehestande	Ehestande	NN	Ehestand	dat|sg|neut	NK	66
68	zu	zu	PTKZU	zu	_	PM	69
69	befoͤrdern	befördern	VVINF	befördern	_	CJ	54
70	/	/	$,	/	_	--	69
71	den	den	ART	d	acc|sg|masc	NK	72
72	Himmel	Himmel	NN	Himmel	acc|sg|masc	OA	75
73	dadurch	dadurch	PAV	dadurch	_	MO	75
74	zu	zu	PTKZU	zu	_	PM	75
75	pflantzen	pflanzen	VVINF	pflanzen	_	CJ	69
76	und	und	KON	und	_	CD	75
77	die	die	ART	d	acc|sg|fem	NK	78
78	Erde	Erde	NN	Erde	acc|sg|fem	OA	80
79	zu	zu	PTKZU	zu	_	PM	80
80	vermehren	vermehren	VVINF	vermehren	_	CJ	76
81	/	/	$,	/	_	--	80
82	solche	solche	PIAT	solch	acc|sg|fem	NK	83
83	Liebe	Liebe	NN	Liebe	nom|sg|fem	SB	84
84	verleschet	verleschet	VVFIN	verleschet	_	RE	73
85	nicht	nicht	PTKNEG	nicht	_	NG	84
86	wie	wie	KOKOM	wie	_	CM	88
87	ein	ein	ART	ein	nom|sg|neut	NK	88
88	Liecht	Licht	NN	Licht	nom|sg|neut	MO	84
89	/	/	$,	/	_	--	88
90	sondern	sondern	KON	sondern	_	CD	84
91	brennet	brennet	VVFIN	brennet	sg|3|pres|ind	CJ	90
92	so	so	ADV	so	_	MO	93
93	lang	lang	ADJD	lang	pos	MO	91
94	sie	sie	PPER	Sie	nom|sg|fem|3	SB	95
95	lebet	lebt	VVFIN	leben	sg|3|pres|ind	CC	92
96	/	/	$,	/	_	--	95
97	ihre	ihre	PPOSAT	ihr	acc|sg|fem	NK	98
98	Nahm	Nahm	NN	Name	nom|sg|fem	SB	99
99	heisset	heisset	VVFIN	heißen	sg|3|pres|ind	CJ	84
100	je	je	ADV	je	_	MO	101
101	laͤnger	länger	ADJD	lang	comp	MO	99
102	je	je	KON	je	_	MO	103
103	lieber	lieber	ADJD	gern	comp	MO	99
104	/	/	$,	/	_	--	103
105	denn	denn	KON	denn	_	CD	99
106	sie	sie	PPER	Sie	nom|sg|fem|3	SB	107
107	hat	hat	VAFIN	haben	sg|3|pres|ind	CJ	105
108	zum	zum	APPRART	zum	dat|sg|masc	MO	107
109	Fundament	Fundament	NN	Fundament	dat|sg|neut	NK	108
110	Gottes	Gottes	NE	Gott	gen|sg|masc	AG	109
111	Ordnung	Ordnung	NN	Ordnung	acc|sg|fem	OA	107
112	/	/	$,	/	_	--	111
113	die	die	ART	d	acc|sg|fem	NK	114
114	Erbarkeit	Ehrbarkeit	NN	Ehrbarkeit	acc|sg|fem	CJ	111
115	/	/	$,	/	_	--	114
116	den	den	ART	d	acc|sg|masc	NK	117
117	Frieden	Frieden	NN	Frieden	acc|sg|masc	APP	114
118	un̄	un	KON	und	_	MNR	117
119	Erhaltung	Erhaltung	NN	Erhaltung	acc|sg|fem	NK	118
120	des	des	ART	d	gen|sg|neut	NK	122
121	Menschlichen	Menschlichen	ADJA	menschlich	gen|sg|neut|pos	NK	122
122	Geschlechtes	Geschlechtes	NN	Geschlecht	gen|sg|neut	AG	119
123	/	/	$,	/	_	--	122
124	nach	nach	APPR	nach	_	MNR	117
125	Goͤttlichen	Göttlichen	ADJA	göttlich	dat|pl|masc	NK	124
126	und	und	KON	und	_	CD	125
127	weltlichen	weltlichen	ADJA	weltlich	dat|pl|neut|pos	NK	128
128	Rechten	Rechten	NN	Recht	dat|pl|neut	CJ	126
129	/	/	$,	/	_	--	128
130	welche	welche	PRELS	welch	nom|sg|fem	OA	135
131	die	die	ART	d	nom|sg|fem	NK	133
132	unordentliche	unordentliche	ADJA	unordentliche	nom|sg|fem|pos	NK	133
133	Liebe	Liebe	NN	Liebe	nom|sg|fem	SB	135
134	immer	immer	ADV	immer	_	MO	135
135	verachtet	verachtet	VVPP	verachten	sg|3|pres|ind	RC	117
136	.	.	SENT	.	_	--	135

1	LXXIX	LXXIX	NE	LXXIX	nom|sg|neut	--	0
2	.	.	SENT	.	_	--	1

1	Allein	Allein	ADV	allein	_	MO	3
2	ein	ein	ART	ein	nom|sg|masc	NK	3
3	Mann	Mann	NN	Mann	nom|sg|masc	SB	6
4	nicht	nicht	PTKNEG	nicht	_	NG	6
5	alles	alles	PIS	all	acc|sg|neut	SB	6
6	kan	kann	VMFIN	können	sg|3|pres|ind	--	0
7	!	!	SENT	!	_	--	6

1	Erlaͤuterung	Erläuterung	NN	Erläuterung	nom|sg|fem	--	0
2	.	.	SENT	.	_	--	1

1	MAn	MAn	PIS	man	nom|sg|*	SB	2
2	findet	findet	VVFIN	finden	sg|3|pres|ind	--	0
3	selten	selten	ADJD	selten	pos	MO	2
4	drey	drei	CARD	drei	_	NK	5
5	Hasen	Hasen	NN	Hase	acc|pl|fem	OA	2
6	beysammen	beisammen	ADV	beisammen	pl|3|pres|ind	MO	2
7	in	in	APPR	in	_	MO	6
8	einem	einem	ART	ein	dat|sg|masc	NK	9
9	Neste	Neste	NN	Neste	dat|sg|masc	NK	7
10	/	/	$,	/	_	--	9
11	pfleget	pfleget	VVFIN	pflegen	sg|3|pres|ind	CJ	6
12	man	man	PIS	man	nom|sg|*	SB	11
13	im	im	APPRART	im	dat|sg|masc	MO	17
14	gemeinen	gemeinen	ADJA	gemein	dat|sg|masc|pos	NK	15
15	Sprichwort	Sprichwort	NN	Sprichwort	dat|sg|neut	NK	13
16	zu	zu	PTKZU	zu	_	PM	17
17	sagen	sagen	VVINF	sagen	_	OC	11
18	/	/	$,	/	_	--	17
19	das	das	PDS	d	nom|sg|neut	SB	20
20	ist	ist	VAFIN	sein	sg|3|pres|ind	CJ	11
21	/	/	$,	/	_	--	20
22	es	es	PPER	es	nom|sg|neut|3	SB	23
23	traͤget	trägt	VVFIN	tragen	sg|3|pres|ind	CJ	11
24	sich	sich	PRF	er|es|sie	acc|sg|3	OA	23
25	seltē	Seldte	NN	Seldte	acc|pl|masc	OA	23
26	zu	zu	PTKVZ	zu	_	SVP	23
27	/	/	$,	/	_	--	26
28	daß	daß	KOUS	daß	_	CP	36
29	ein	ein	ART	ein	nom|sg|masc	NK	30
30	Mensch	Mensch	NN	Mensch	nom|sg|masc	SB	36
31	alle	alle	PIAT	all	acc|pl|fem	NK	32
32	Geschickligkeiten	Geschicklichkeiten	NN	Geschicklichkeit	acc|pl|fem	OA	36
33	zugleich	zugleich	ADV	zugleich	_	MO	34
34	an	an	APPR	an	_	MNR	32
35	ihm	ihm	PPER	er	dat|sg|masc|3	NK	34
36	hat	hat	VAFIN	haben	sg|3|pres|ind	OC	17
37	/	/	$,	/	_	--	36
38	denn	denn	KON	denn	_	CD	36
39	da	da	ADV	da	_	MO	40
40	erfaͤhret	erfährt	VVFIN	erfahren	sg|3|pres|ind	CJ	38
41	mans	Manns	PIS	man	gen|sg|masc	SB	40
42	/	/	$,	/	_	--	41
43	daß	daß	KOUS	daß	_	CP	51
44	die	die	ART	d	nom|sg|fem	NK	45
45	Natur	Natur	NN	Natur	nom|sg|fem	SB	51
46	einem	einem	ART	ein	dat|sg|neut	NK	49
47	allein	allein	ADV	allein	_	MO	48
48	nicht	nicht	PTKNEG	nicht	_	NG	49
49	alles	alles	PIS	all	nom|sg|neut	OA	50
50	gegeben	gegeben	VVPP	geben	_	OC	51
51	habe	habe	VAFIN	haben	sg|3|pres|subj	OC	40
52	;	;	SENT	;	_	--	51

1	Noch	Noch	ADV	noch	_	MO	2
2	geben	geben	VVINF	geben	_	OC	3
3	wolle	wolle	VMFIN	wollen	sg|3|pres|subj	--	0
4	/	/	$,	/	_	--	3
5	damit	damit	KOUS	damit	_	CP	22
6	einer	einer	PIS	ein	dat|sg|fem	SB	12
7	sich	sich	PRF	er|es|sie	acc|sg|3	OA	12
8	uͤber	über	APPR	über	_	MO	12
9	den	den	ART	d	dat|pl|*	NK	10
10	andern	anderen	PIS	ander	dat|pl|*	NK	8
11	nicht	nicht	PTKNEG	nicht	_	NG	12
12	erhebe	erhebe	VVFIN	erheben	sg|3|pres|subj	OC	3
13	/	/	$,	/	_	--	12
14	sondern	sondern	KON	sondern	_	CD	3
15	einer	einer	PIS	ein	nom|sg|masc	SB	22
16	des	des	ART	d	gen|sg|masc	NK	18
17	andern	anderen	PIS	ander	dat|sg|fem|pos	NK	18
18	gebrauche	gebrauche	VVFIN	gebrauchen	nom|sg|masc|pos	NK	30
19	und	und	KON	und	_	CD	18
20	von	von	APPR	von	_	CJ	19
21	Noͤthen	Nöten	NN	Nöte	dat|pl|fem	NK	20
22	habe	habe	VAFIN	haben	sg|3|pres|subj	CJ	14
23	/	/	$,	/	_	--	22
24	und	und	KON	und	_	CD	22
25	also	also	ADV	also	_	MO	32
26	daß	daß	ART	d	_	CP	33
27	Menschliche	Menschliche	ADJA	menschlich	nom|sg|fem	SB	33
28	Geschlecht	Geschlecht	NN	Geschlecht	nom|sg|fem	NK	27
29	in	in	APPR	in	_	MO	33
30	Liebe	Liebe	NN	Liebe	dat|sg|fem	NK	29
31	zusammen	zusammen	PTKVZ	zusammen	_	MO	32
32	verbuuden	verbuuden	VVINF	verbuuden	_	OC	33
33	bleibe	bleibe	VVFIN	bleiben	sg|3|pres|subj	CJ	24
34	.	.	SENT	.	_	--	33

1	Einer	Einer	PIS	einer	nom|sg|masc	SB	2
2	hat	hat	VAFIN	haben	sg|3|pres|ind	--	0
3	eine	eine	ART	ein	acc|sg|fem	NK	6
4	koͤstliche	köstliche	ADJA	köstliche	acc|sg|fem|pos	NK	6
5	herrliche	herrliche	ADJA	herrlich	acc|sg|fem|pos	NK	6
6	Memori	Memori	NN	Memori	acc|sg|fem	SB	7
7	hat	hat	VAFIN	haben	sg|3|pres|ind	OC	2
8	aber	aber	ADV	aber	_	MO	7
9	kein	kein	PIAT	kein	nom|sg|masc	MO	189
10	scharff	scharf	ADJD	scharf	pos	MO	7
11	judicium	judicium	FM	judicium	_	MO	7
12	,	,	$,	,	_	--	11
13	ein	ein	ART	ein	nom|sg|masc	NK	14
14	ander	ander	PIS	ander	nom|sg|masc|pos	SB	15
15	hat	hat	VAFIN	haben	sg|3|pres|ind	OC	137
16	nicht	nicht	PTKNEG	nicht	_	NG	37
17	eben	eben	ADV	eben	_	MO	19
18	so	so	ADV	so	_	MO	19
19	studiret	studiert	VVPP	studieren	_	OC	15
20	/	/	$,	/	_	--	19
21	hat	hat	VAFIN	haben	sg|3|pres|ind	OC	119
22	aber	aber	ADV	aber	_	MO	21
23	ein	ein	ART	ein	nom|sg|masc	NK	25
24	stattlich	stattlich	ADJA	stattlich	pos	MO	25
25	Judicium	Judicium	NE	Judicium	acc|sg|neut	OA	21
26	dabey	dabei	PAV	dabei	_	MO	32
27	und	und	KON	und	_	CD	21
28	kan	kann	VMFIN	können	sg|3|pres|ind	CJ	27
29	die	die	ART	d	acc|pl|fem	NK	30
30	Sachen	Sachen	NN	Sache	acc|pl|fem	OA	32
31	besser	besser	ADJD	gut	comp	MO	32
32	treffen	treffen	VVINF	treffen	_	OC	28
33	/	/	$,	/	_	--	32
34	als	als	KOKOM	als	_	CM	39
35	mancher	mancher	PIAT	manch	nom|sg|masc	SB	39
36	der	der	ART	d	gen|pl|masc	NK	44
37	viel	viel	PIS	viel	*|*|*	OA	38
38	studieret	studieret	VVPP	studieret	_	OC	39
39	hat	hat	VAFIN	haben	sg|3|pres|ind	CC	18
40	/	/	$,	/	_	--	39
41	Fabian	Fabian	NE	Fabian	nom|sg|masc	PD	44
42	von	von	APPR	von	_	PG	41
43	Feilitsch	Feilitsch	NE	Feilitsch	dat|sg|masc	NK	42
44	war	war	VAFIN	sein	sg|3|past|ind	CJ	28
45	ein	ein	ART	ein	nom|sg|neut	NK	46
46	Leye	Leye	NN	Leye	nom|sg|neut	PD	44
47	/	/	$,	/	_	--	46
48	der	der	PRELS	d	nom|sg|masc	SB	51
49	nit	nicht	PTKNEG	nicht	_	NG	50
50	studiert	studiert	VVPP	studieren	_	OC	51
51	hatte	hatte	VAFIN	haben	sg|3|past|ind	RC	41
52	/	/	$,	/	_	--	51
53	von	von	APPR	von	_	CJ	181
54	deme	dem	ART	d	dat|sg|masc	DA	55
55	sagt	sagt	VVFIN	sagen	sg|3|pres|ind	NK	53
56	man	man	PIS	man	nom|sg|*	SB	55
57	/	/	$,	/	_	--	56
58	daß	daß	KOUS	daß	_	CP	66
59	er	er	PPER	er	nom|sg|masc|3	SB	66
60	in	in	APPR	in	_	MO	70
61	Rathschlaͤgen	Ratschlägen	NN	Ratschlag	dat|pl|masc	NK	60
62	grosser	großer	ADJA	groß	dat|sg|fem|pos	NK	64
63	wichtiger	wichtiger	ADJA	wichtig	nom|sg|masc|pos	NK	64
64	Haͤndel	Händel	NN	Händel	nom|sg|masc	AG	61
65	/	/	$,	/	_	--	64
66	hat	hat	VAFIN	haben	sg|3|pres|ind	OC	55
67	koͤnnen	können	VMFIN	können	pl|3|pres|ind	CJ	44
68	den	den	ART	d	acc|sg|masc	NK	69
69	Zweck	Zweck	NN	Zweck	acc|sg|masc	OA	70
70	treffen	treffen	VVINF	treffen	_	OC	67
71	/	/	$,	/	_	--	70
72	und	und	KON	und	_	CD	70
73	gleich	gleich	ADV	gleich	_	MO	75
74	zu	zu	PTKZU	zu	_	PM	75
75	rathen	raten	VVINF	raten	_	CJ	72
76	/	/	$,	/	_	--	75
77	und	und	KON	und	_	CD	67
78	auff	auf	APPR	auf	_	MO	93
79	die	die	ART	d	acc|sg|fem	NK	78
80	apices	apices	NN	apices	_	SB	88
81	und	und	KON	und	_	CD	80
82	medullam	medullam	FM	medullam	sg|3|past|ind	CJ	81
83	Juris	Juris	FM	Juris	acc|sg|neut	OA	82
84	,	,	$,	,	_	--	83
85	den	den	ART	d	acc|sg|masc	NK	86
86	Rechten	Rechten	NN	Recht	acc|sg|masc	OA	82
87	gemaͤß	gemäß	APPO	gemäß	_	MO	82
88	koͤnnen	können	VMFIN	können	pl|3|pres|ind	CJ	77
89	antworten	antworten	VVINF	antworten	_	OC	88
90	und	und	KON	und	_	CD	89
91	sein	sein	PPOSAT	sein	acc|sg|neut	NK	92
92	Beduͤncken	Bedüncken	NN	Bedüncken	acc|sg|neut	OA	93
93	geben	geben	VVINF	geben	_	CJ	90
94	/	/	$,	/	_	--	93
95	als	als	KOKOM	als	_	MO	82
96	kein	kein	PIAT	kein	nom|sg|masc	NK	97
97	Jurist	Jurist	NN	Jurist	nom|sg|masc	NK	95
98	auß	aus	APPR	aus	_	MNR	97
99	den	den	ART	d	dat|pl|neut	NK	100
100	Buͤchern	Büchern	NN	Buch	dat|pl|neut	NK	98
101	/	/	$,	/	_	--	100
102	mancher	mancher	PIAT	manch	nom|sg|masc	SB	103
103	ist	ist	VAFIN	sein	sg|3|pres|ind	CJ	88
104	weise	weise	ADJD	weise	pos	MO	103
105	durch	durch	APPR	durch	_	MO	103
106	eigene	eigene	ADJA	eigen	acc|sg|fem|pos	NK	107
107	Erfahrung	Erfahrung	NN	Erfahrung	acc|sg|fem	NK	105
108	/	/	$,	/	_	--	107
109	der	der	PRELS	d	gen|sg|fem	SB	110
