

1	Es	Es	PPER	es	nom|sg|neut|3	EP	2
5	von	von	APPR	von	_	PG	4
6	Crentzach	Crentzach	NE	Crentzach	dat|sg|neut	NK	5
7	,	,	$,	,	_	--	6
8	Simon	Simon	NE	Simon	nom|sg|masc	PNC	9
9	Baldermann	Baldermann	NE	Baldermann	nom|sg|masc	CJ	4
10	von	von	APPR	von	_	MNR	9
11	Effringen	Effringen	NN	Effringen	dat|sg|neut	NK	10
12	,	,	$,	,	_	--	11
13	und	und	KON	und	_	CD	9
14	Friedlin	Fridlin	NN	Fridlin	nom|sg|masc	PNC	15
15	Schneider	Schneider	NN	Schneider	nom|sg|masc	CJ	13
16	von	von	APPR	von	_	AC	21
17	Weyl,	weil	KOUS	weil	_	CP	21
18	etwas	etwas	PIS	etwas	*|*|neut	SB	21
19	zu	zu	PTKZU	zu	_	PM	20
20	fordern	fordern	VVINF	fordern	_	OC	21
21	hat	hat	VAFIN	haben	sg|3|pres|ind	SB	23
22	,	,	$,	,	_	--	21
23	solle	solle	VMFIN	sollen	sg|3|pres|subj	OC	44
24	solches	solches	PIS	solch	nom|sg|neut	SB	23
25	denen	denen	ART	d	dat|pl|fem	DA	41
26	Vorgesetzten	Vorgesetzten	NN	vorgesetzter	dat|pl|*	DA	29
27	jeden	jeden	PIAT	jed	acc|sg|masc	NK	28
28	Orts	Orts	NN	Ort	acc|sg|masc	OA	29
29	eingeben	eingeben	VVINF	eingeben	_	OC	42
30	,	,	$,	,	_	--	29
31	und	und	KON	und	_	CD	29
32	sich	sich	PRF	er|es|sie	acc|sg|3	OA	35
33	der	der	ART	d	dat|sg|fem	NK	34
34	Verweisung	Verweisung	NN	Verweisung	dat|sg|fem	DA	35
35	gewaͤrtigen	gewärtigen	VVINF	gewärtigen	_	CJ	31
36	,	,	$,	,	_	--	35
37	oder	oder	KON	oder	_	CD	29
38	nachhero	nachher	ADV	nachher	_	MO	41
39	nicht	nicht	PTKNEG	nicht	_	NG	41
40	mehr	mehr	ADV	mehr	_	MO	39
41	angehoͤret	angehöret	VVPP	angehöret	_	CJ	37
42	werden	werden	VAINF	werden	pl|3|pres|ind	OC	23
43	,	,	$,	,	_	--	42
44	gestalten	gestalten	VVFIN	gestalten	pl|3|pres|ind	--	0
45	sie	sie	PPER	Sie	nom|pl|*|3	SB	44
46	nach	nach	APPR	nach	_	MO	48
47	Siebenbuͤrgen	Siebenbürgen	NE	Siebenbürgen	dat|sg|neut	NK	46
48	ziehen	ziehen	VVINF	ziehen	_	OC	49
49	doͤrffen	dürfen	VMFIN	dürfen	pl|3|pres|ind	MO	44
50	.	.	SENT	.	_	--	49

1	Es	Es	PPER	es	nom|sg|neut|3	SB	2
2	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
3	Johannes	Johannes	NE	Johannes	nom|sg|masc	PNC	4
4	Mentzler	Menzler	NE	Menzler	nom|sg|masc	PD	2
5	,	,	$,	,	_	--	4
6	Beck	Beck	NE	Beck	nom|sg|masc	SB	11
7	von	von	APPR	von	_	SBP	9
8	Ober-Baldingen	Ober-Baldingen	ADJA	Ober-Baldingen	dat|sg|neut	NK	7
9	38.	38.	CARD	@ord@	dat|sg|neut|pos	NK	10
10	Jahr	Jahr	NN	Jahr	dat|sg|neut	AMS	11
11	alt	alt	ADJD	alt	pos	PD	2
12	,	,	$,	,	_	--	11
13	langlechter	langlechter	ADJA	langlechter	nom|sg|masc|pos	NK	14
14	Statur	Statur	NN	Statur	nom|sg|fem	CJ	10
15	,	,	$,	,	_	--	14
16	schwartz-braunen	schwartz-braunen	ADJA	schwartz-braunen	dat|pl|neut|pos	NK	17
17	Haaren	Haaren	NN	Haar	dat|pl|neut	CJ	14
18	,	,	$,	,	_	--	17
19	mit	mit	APPR	mit	_	APP	17
20	einem	einem	ART	ein	dat|sg|masc	NK	21
21	Schnautz-Bart	Schnauzbart	NN	Schnauzbart	dat|sg|masc	NK	19
22	,	,	$,	,	_	--	21
23	auch	auch	ADV	auch	_	MO	25
24	einen	einen	ART	ein	acc|sg|masc	NK	25
25	Rock	Rock	NN	Rock	acc|sg|masc	CJ	17
26	von	von	APPR	von	_	PG	25
27	einem	einem	ART	ein	dat|sg|masc	NK	31
28	aufgeworffenen	aufgeworfenen	ADJA	aufgeworfenen	dat|sg|masc|pos	NK	31
29	gruͤnen	grünen	ADJA	grün	dat|sg|masc|pos	NK	31
30	abgetragenen	abgetragenen	ADJA	abgetragenen	acc|sg|masc|pos	NK	31
31	Zeug	Zeug	NN	Zeug	acc|sg|masc	NK	26
32	,	,	$,	,	_	--	31
33	ein	ein	ART	ein	acc|sg|neut	NK	36
34	weis	weis	VVFIN	wissen	pos	MO	35
35	tuͤchenes	tüchenes	ADJA	tüchenes	acc|sg|neut|pos	NK	36
36	Camisohl	Camisohl	NN	Camisohl	acc|sg|neut	CJ	31
37	,	,	$,	,	_	--	36
38	weise	weise	NN	Weise	_	MO	39
39	lederne	lederne	ADJA	lederne	nom|pl|fem|pos	CJ	36
40	Hosen	Hosen	NN	Hose	nom|pl|fem	AG	39
41	,	,	$,	,	_	--	40
42	und	und	KON	und	_	CD	39
43	weis-graue	weis-graue	VVFIN	weis-graue	sg|3|pres|subj	CJ	42
44	wollene	wollene	ADJA	wollene	sg|3|pres|subj	PNC	45
45	Uberstruͤmpf	Uberstrümpf	NN	Uberstrümpf	nom|sg|masc	OA	43
46	tragend	tragend	ADJD	tragend	pos	MO	43
47	,	,	$,	,	_	--	46
48	welcher	welcher	PRELS	welch	nom|sg|masc	SB	61
49	wegen	wegen	APPR	wegen	_	MO	61
50	begangenem	begangenem	ADJA	begangenem	dat|sg|masc|pos	NK	51
51	Vieh-Diebstahl	Vieh-Diebstahl	NN	Vieh-Diebstahl	dat|sg|neut	NK	49
52	zu	zu	APPR	zu	_	MNR	51
53	Huͤffingen	Hüfingen	NE	Hüfingen	dat|sg|neut	NK	52
54	,	,	$,	,	_	--	53
55	im	im	APPRART	im	dat|sg|neut	MO	61
56	Fuͤrstenbergischen	Fürstenbergischen	NN	Fürstenbergischen	dat|sg|neut	NK	55
57	,	,	$,	,	_	--	56
58	in	in	APPR	in	_	MO	61
59	gefaͤnglicher	gefänglicher	ADJA	gefänglicher	dat|sg|fem|pos	NK	60
60	Verhaft	Verhaft	NN	Verhaft	dat|sg|fem	NK	58
61	gelegen	gelegen	VVPP	liegen	_	RC	25
62	,	,	$,	,	_	--	61
63	den	den	ART	d	acc|sg|masc	NK	65
64	28.	28.	CARD	@ord@	nom|sg|masc|pos	NK	65
65	Oct.	Octobris	NN	Oktober	nom|sg|masc	OA	70
66	Nachts	Nachts	NN	Nacht	*|*|neut	NK	65
67	aus	aus	APPR	aus	_	MO	70
68	dem	dem	ART	d	dat|sg|neut	NK	69
69	Gefaͤngniß	Gefängnis	NN	Gefängnis	dat|sg|neut	NK	67
70	gebrochen	gebrochen	VVPP	brechen	_	CJ	61
71	;	;	SENT	;	_	--	70
72	Welches	Welches	PWAT	welch	nom|sg|neut	SB	77
73	hierdurch	hierdurch	PAV	hierdurch	_	MO	76
74	Jedermaͤnniglich	Jedermänniglich	ADV	Jedermänniglich	pos	MO	75
75	bekannt	bekannt	ADJD	bekannt	pos	MO	76
76	gemacht	gemacht	VVPP	gemacht	_	OC	77
77	wird	wird	VAFIN	werden	sg|3|pres|ind	MO	79
78	,	,	$,	,	_	--	77
79	selbigen	selbigen	ADJA	selbig	pl|3|pres|ind	OC	70
80	betrettenden	betrettenden	ADJA	betrettenden	nom|pl|masc|pos	NK	81
81	Falls	Falls	NN	Fall	nom|pl|masc	OA	86
82	in	in	APPR	in	_	MO	86
83	gefaͤngliche	gefängliche	ADJA	gefängliche	acc|sg|fem|pos	NK	84
84	Verhafft	fährhaft	NN	fährhaft	acc|sg|fem	NK	82
85	zu	zu	PTKZU	zu	_	PM	86
86	nehmen	nehmen	VVINF	nehmen	_	OC	79
87	.	.	SENT	.	_	--	86

1	T.	T.	FM	T.	gen|sg|fem|pos	NK	3
2	Hochfuͤrstl.	Hochfürstliche	ADJA	hochfürstlich	nom|pl|neut|pos	NK	3
3	Ober-Amts-Cantzley	Ober-Amts-Cantzley	NE	Ober-Amts-Cantzley	acc|sg|masc	OA	4
4	Roͤtteln	Röteln	NN	Röteln	_	--	0
5	.	.	SENT	.	_	--	4

