

1	Hoert	Hört	VVIMP	hören	pl|2|imp	--	0
2	Geschicke	Geschicke	NN	Geschick	nom|pl|neut	SB	6
3	/	/	$,	/	_	--	2
4	Begleite	Begleite	NN	Begleite	nom|sg|fem	CJ	2
5	/	/	$,	/	_	--	4
6	begluͤcke	beglücke	VVFIN	beglücke	sg|3|pres|subj	--	0
7	Den	Den	ART	d	acc|sg|masc	NK	9
8	muthigen	mutigen	ADJA	mutig	acc|sg|masc|pos	NK	9
9	Held	Held	NN	Held	nom|sg|masc	OA	6
10	!	!	SENT	!	_	--	9

1	Durch	Durch	APPR	durch	_	MO	7
2	tapfres	tapfres	ADJA	tapfres	acc|sg|neut|pos	NK	3
3	Erkuͤhnen	Erkühnen	NN	Erkühnen	acc|sg|neut	NK	1
4	Ist	Ist	VAFIN	sein	sg|3|pres|ind	--	0
5	Ruhm	Ruhm	NN	Ruhm	acc|sg|masc	SB	4
6	zu	zu	PTKZU	zu	_	PM	7
7	verdienen	verdienen	VVINF	verdienen	_	OC	4
8	/	/	$,	/	_	--	7
9	In	In	APPR	in	_	MO	7
10	Mavors	Mavors	NE	Mavors	gen|sg|*	AG	11
11	Gezelt	Gezelt	NN	Gezelt	dat|sg|neut	NK	9
12	.	.	SENT	.	_	--	11

1	Geneigtes	Geneigtes	ADJA	Geneigtes	nom|sg|neut|pos	NK	2
2	Geschicke	Geschicke	NN	Geschick	nom|sg|neut	--	0
3	/	/	$,	/	_	--	2

1	Begleite	Begleite	NN	Begleite	nom|sg|fem	--	0
2	/	/	$,	/	_	--	1
3	begluͤcke	beglücke	VVFIN	beglücke	nom|pl|neut	CJ	1
4	/	/	$,	/	_	--	3
5	Den	Den	ART	d	acc|sg|masc	NK	7
6	muhtigen	mutigen	ADJA	mutig	acc|sg|masc|pos	NK	7
7	Held	Held	NN	Held	acc|sg|masc	APP	1
8	!	!	SENT	!	_	--	7

1	Muß	Muß	VMFIN	müssen	sg|1|pres|ind	--	0
2	ich	ich	PPER	ich	nom|sg|*|1	SB	1
3	in	in	APPR	in	_	MO	9
4	meinem	meinem	PPOSAT	mein	dat|sg|neut	NK	5
5	Hertzen	Herzen	NN	Herz	dat|sg|neut	NK	3
6	Auch	Auch	ADV	auch	_	MO	12
7	diesen	diesen	PDAT	dies	acc|sg|masc	NK	8
8	Hohn	Hohn	NN	Hohn	acc|sg|masc	OA	9
9	verschmertzen	verschmerzen	VVINF	verschmerzen	_	OC	1
10	/	/	$,	/	_	--	9
11	Daß	Dass	KOUS	Dass	_	PNC	12
12	Eliates	Eliates	NE	Eliates	_	SB	14
13	mir	mir	PPER	ich	dat|sg|*|1	DA	15
14	wird	wird	VAFIN	werden	sg|3|pres|ind	CJ	1
15	vorgezogen	vorgezogen	VVPP	vorziehen	_	OC	14
16	/	/	$,	/	_	--	15
17	Zu	Zu	APPR	zu	_	MO	21
18	solcher	solcher	PIAT	solch	dat|sg|fem	NK	19
19	Ehr	Ehr	NN	Ehre	dat|sg|fem	NK	17
20	'	'	$'	'	_	--	19
21	erhoͤht	erhöht	VVPP	erhöhen	_	OC	14
22	!	!	SENT	!	_	--	21

1	So	So	ADV	so	_	MO	2
2	ists	Ists	VAFIN	sein	nom|sg|*	--	0
3	um	um	APPR	um	_	MO	5
4	mich	mich	PPER	ich	acc|sg|*|1	NK	3
5	gethan	getan	VVPP	tun	_	OC	2
6	/	/	$,	/	_	--	5
7	Mein	Mein	PPOSAT	mein	nom|sg|neut	NK	9
8	'	'	$'	'	_	--	7
9	Ehrsucht	Ehrsucht	NN	Ehrsucht	nom|sg|fem	SB	10
10	ist	ist	VAFIN	sein	sg|3|pres|ind	CJ	2
11	betrogen	betrogen	VVPP	betrügen	_	PD	10
12	/	/	$,	/	_	--	11
13	Mein	Mein	PPOSAT	mein	nom|sg|neut	NK	14
14	Lieben	Lieben	NA	Liebe	nom|sg|neut	SB	15
15	wird	wird	VAFIN	werden	sg|3|pres|ind	CJ	10
16	verschmaͤht	verschmäht	VVPP	verschmähen	_	OC	15
17	/	/	$,	/	_	--	16
18	Was	Was	PWS	was	acc|sg|neut	NK	19
19	faͤngs	Fengs	NN	Fengs	gen|sg|masc	PAR	15
20	tu	tu	PPER	du	_	NK	19
21	an	an	PTKVZ	an	_	SVP	15
22	/	/	$,	/	_	--	21
23	Orsan	Orsan	NE	Orsan	acc|sg|masc	PD	15
24	?	?	SENT	?	_	--	23

1	Der	Der	ART	d	nom|sg|masc	NK	2
2	Koͤnig	König	NN	König	nom|sg|masc	SB	3
3	geht	geht	VVFIN	gehen	sg|3|pres|ind	--	0
4	dem	dem	ART	d	dat|sg|masc	NK	5
5	Feind	Feind	NN	Feind	dat|sg|masc	DA	3
6	'	'	$'	'	_	--	5
7	entgegen	entgegen	PTKVZ	entgegen	_	SVP	3
8	/	/	$,	/	_	--	7
9	Printz	Prinz	NE	Prinz	nom|sg|masc	SB	11
10	Atis	Atis	NE	Atis	nom|sg|masc	NK	9
11	folgt	folgt	VVFIN	folgen	sg|3|pres|ind	CJ	3
12	/	/	$,	/	_	--	11
13	Halimacus	Halimacus	NE	Halimacus	acc|sg|masc	OA	14
14	imgleichen	ingleichen	ADV	ingleichen	_	OC	11
15	;	;	SENT	;	_	--	14

1	Vielleicht	Vielleicht	ADV	vielleicht	_	MO	2
2	zeigt	zeigt	VVFIN	zeigen	sg|3|pres|ind	--	0
3	dir	dir	PPER	du	dat|sg|*|2	DA	2
4	das	das	ART	d	acc|sg|neut	NK	5
5	Gluͤck	Glück	NN	Glück	acc|sg|neut	SB	2
6	die	die	ART	d	acc|sg|fem	NK	7
7	Stund	Stund	NN	Stunde	acc|sg|fem	OA	19
8	und	und	KON	und	_	CD	7
9	das	das	ART	d	nom|sg|neut	NK	10
10	Vermoͤgen	Vermögen	NN	Vermögen	nom|sg|neut	CJ	8
11	/	/	$,	/	_	--	10
12	Was	Was	PWS	was	acc|sg|neut	OA	16
13	du	du	PPER	du	nom|sg|*|2	SB	16
14	schon	schon	ADV	schon	_	MO	15
15	laͤngst	längst	ADV	längst	_	MO	16
16	gehofft	gehofft	VVPP	hoffen	_	OC	2
17	/	/	$,	/	_	--	16
18	anjetzo	anjetzo	ADV	anjetzt	_	PM	19
19	erreichen	erreichen	VVFIN	erreichen	_	OC	16
20	.	.	SENT	.	_	--	19

1	Ich	Ich	PPER	ich	nom|sg|*|1	SB	2
2	sehe	sehe	VVFIN	sehen	sg|1|pres|ind	--	0
3	Clerida	Clerida	NE	Clerida	acc|sg|neut	OA	2
4	,	,	$,	,	_	--	3
5	mein	mein	PPOSAT	mein	nom|sg|masc	NK	6
6	Unmuth	Unmut	NN	Unmut	acc|sg|masc	SB	7
7	leidet	leidet	VVFIN	leiden	sg|3|pres|ind	OC	2
8	nicht	nicht	PTKNEG	nicht	_	NG	7
9	Ihr	Ihr	PPOSAT	Ihr	nom|pl|*|2	NK	10
10	Klagen	Klagen	NN	Klagen	acc|pl|fem	OA	12
11	jetzo	jetzt	ADV	jetzt	_	MO	12
12	anzuhoͤren	anzuhören	VVIZU	anhören	_	OC	7
13	.	.	SENT	.	_	--	12

1	Bleib	Bleib	ADJD	Bleib	acc|sg|masc	--	0
2	nur	nur	ADV	nur	_	MO	8
3	/	/	$,	/	_	--	2
4	ich	ich	PPER	ich	nom|sg|*|1	SB	5
5	wil	wil	VMFIN	wollen	sg|1|past|subj	PAR	10
6	dich	dich	PPER	du	acc|sg|*|2	OA	8
7	nicht	nicht	PTKNEG	nicht	_	NG	8
8	verstoͤhren	verstöhren	VVPP	verstöhren	_	OC	5
9	/	/	$,	/	_	--	8
10	Grausamer	Grausamer	ADJD	grausam	_	PD	14
11	!	!	SENT	!	_	--	10
12	Ach	Ach	ITJ	ach	_	JU	14
13	du	du	PPER	du	nom|sg|*|2	SB	14
14	fleuchst	fleuchst	VVFIN	fleuchst	sg|2|pres|ind	OC	1
15	fuͤr	für	APPR	für	_	MO	14
16	mein	mein	PPOSAT	mein	acc|sg|neut	NK	17
17	Gesicht	Gesicht	NN	Gesicht	acc|sg|neut	NK	15
18	.	.	SENT	.	_	--	17

1	Halt	Halt	VVIMP	halten	nom|sg|masc	CJ	6
2	Amor	Amor	NE	Amor	nom|sg|*	OA	1
3	ein	ein	PTKVZ	ein	_	SVP	1
4	/	/	$,	/	_	--	3
5	es	es	PPER	es	nom|sg|neut|3	SB	6
6	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
7	zu	zu	APPR	zu	_	MO	8
8	viel	viel	PIS	viel	*|*|*	PD	6
9	!	!	SENT	!	_	--	8

1	Du	Du	PPER	du	nom|sg|*|2	SB	2
2	treibst	treibst	VVFIN	treibst	sg|3|pres|ind	--	0
3	nur	nur	ADV	nur	_	MO	4
4	Spiel	Spiel	NN	Spiel	acc|sg|neut	OA	2
5	Mit	Mit	APPR	mit	_	MO	2
6	deinen	deinen	PPOSAT	dein	dat|pl|fem	NK	7
7	Plagen	Plagen	NN	Plage	dat|pl|fem	NK	5
8	/	/	$,	/	_	--	7
9	Die	Die	ART	d	sg|1|pres|ind	OA	20
10	ich	ich	PPER	ich	nom|sg|*|1	SB	19
11	so	so	ADV	so	_	MO	12
12	schmertzlich	schmerzlich	ADJD	schmerzlich	pos	MO	13
13	fuͤhl	fühle	VVFIN	fühlen	_	CJ	19
14	'	'	$'	'	_	--	13
15	/	/	$,	/	_	--	14
16	Und	Und	KON	und	_	JU	19
17	laͤnger	länger	ADV	lange	comp	MO	19
18	nicht	nicht	PTKNEG	nicht	_	NG	25
19	kan	kann	VMFIN	können	sg|3|pres|ind	CJ	2
20	tragen	tragen	VVINF	tragen	_	OC	19
21	/	/	$,	/	_	--	20
22	Es	Es	PPER	es	nom|sg|neut|3	SB	23
23	ist	ist	VAFIN	sein	sg|3|pres|ind	CJ	19
24	zu	zu	APPR	zu	_	MO	25
25	viel	viel	PIS	viel	*|*|*	PD	23
26	!	!	SENT	!	_	--	25

1	Halt	Halt	VVIMP	halten	nom|sg|masc	--	0
2	Amor	Amor	NE	Amor	nom|sg|*	OA	1
3	ein	ein	PTKVZ	ein	_	SVP	1
4	/	/	$,	/	_	--	3
5	ich	ich	PPER	ich	nom|sg|masc|1	SB	6
6	kan	kann	VMFIN	können	sg|3|pres|ind	OC	1
7	nicht	nicht	PTKNEG	nicht	_	NG	6
8	mehr	mehr	ADV	mehr	_	MO	7
9	!	!	SENT	!	_	--	8

1	Es	Es	PPER	es	nom|sg|neut|3	SB	2
2	schmertzt	schmerzt	VVFIN	schmerzt	sg|3|pres|ind	--	0
3	zu	zu	APPR	zu	_	MO	2
4	sehr	sehr	ADV	sehr	_	MO	6
5	/	/	$,	/	_	--	4
6	Daß	Dass	KOUS	Dass	_	NK	3
7	all	all	PIAT	all	*|*|*	NK	9
8	mein	mein	PPOSAT	mein	acc|sg|neut	NK	9
9	Flehen	Flehen	NN	Flehen	acc|sg|neut	OA	18
10	Find	Find	NN	Find	nom|sg|masc	NK	9
11	nicht	nicht	PTKNEG	nicht	_	NG	12
12	nur	nur	ADV	nur	_	MO	14
13	kein	kein	PIAT	kein	nom|sg|neut	NK	14
14	Gehoͤr	Gehör	NN	Gehör	nom|sg|neut	CJ	9
15	/	/	$,	/	_	--	14
16	Besondern	besonderen	ADJA	besonder	acc|sg|masc|pos	NK	17
17	gar	gar	ADV	gar	_	MO	18
18	verschmaͤhen	verschmähen	VVFIN	verschmähen	_	OC	2
19	;	;	SENT	;	_	--	18

1	Ich	Ich	PPER	ich	nom|sg|*|1	SB	2
2	kan	kann	VMFIN	können	sg|1|pres|ind	--	0
3	nicht	nicht	PTKNEG	nicht	_	NG	2
4	mehr	mehr	ADV	mehr	_	MO	3
5	.	.	SENT	.	_	--	4

1	Seht	Seht	VVIMP	sehen	sg|3|pres|ind	--	0
2	wie	wie	KOUS	wie	_	CM	5
3	die	die	ART	d	nom|sg|fem	NK	5
4	elementsche	elementsche	ADJA	elementsche	acc|pl|fem|pos	NK	5
5	Affen	Affen	NN	Affe	nom|pl|fem	MO	1
6	Sich	Sich	PRF	er|es|sie	acc|pl|3	OA	7
7	kitzeln	kitzeln	VVFIN	kitzeln	pl|3|pres|ind	OC	1
8	uͤber	über	APPR	über	_	MO	7
9	meine	meine	PPOSAT	mein	acc|pl|fem	NK	10
10	Waffen	Waffen	NN	Waffe	acc|pl|fem	NK	8
11	!	!	SENT	!	_	--	10

1	Wie	Wie	PWAV	wie	_	--	0
2	!	!	SENT	!	_	--	1

1	seyd	seit	VAFIN	sein	_	CP	3
2	ihr	ihr	PPER	Ihr	dat|sg|fem|3	DA	3
3	naͤrrisch	närrisch	ADJD	närrisch	pos	--	0
4	/	/	$,	/	_	--	3
5	oder	oder	KON	oder	_	CD	3
6	voll	voll	ADJD	voll	pos	CJ	5
7	?	?	SENT	?	_	--	6

1	Ich	Ich	PPER	ich	nom|sg|*|1	SB	2
2	glaͤub	gläub	VVFIN	gläub	sg|1|pres|ind	--	0
3	'	'	$'	'	_	--	2
4	ihr	ihr	PPER	Ihr	dat|sg|fem|3	SB	5
5	werdet	werdet	VAFIN	werden	pl|2|pres|ind	OC	2
6	toll	toll	ADJD	toll	pos	OC	5
7	.	.	SENT	.	_	--	6

1	Wanns	wann	KOUS	wann	_	MO	2
2	laͤnger	länger	ADV	lange	comp	MO	3
3	waͤhrt	währt	ADJD	wert	sg|3|pres|ind	--	0
4	/	/	$,	/	_	--	3
5	es	es	PPER	es	nom|sg|neut|3	SB	6
6	wird	wird	VAFIN	werden	sg|3|pres|ind	MO	3
7	nicht	nicht	PTKNEG	nicht	_	NG	8
8	taugen	taugen	VVFIN	taugen	_	OC	6
9	/	/	$,	/	_	--	8
10	Ich	Ich	PPER	ich	nom|sg|*|1	SB	11
11	schieß	schieß	VVFIN	schieß	sg|3|past|ind	CJ	6
12	euch	euch	PPER	ihr	acc|pl|*|2	OA	11
13	in	in	APPR	in	_	MO	11
14	die	die	ART	d	acc|pl|neut	NK	15
15	Augen	Augen	NN	Auge	acc|pl|neut	NK	13
16	.	.	SENT	.	_	--	15

1	Ho	Ho	NE	Ho	nom|sg|neut	--	0
2	!	!	SENT	!	_	--	1

1	so	so	ADV	so	_	MO	2
2	solls	Solls	NN	Solls	nom|sg|*	--	0
3	anders	anders	ADV	ander	_	MO	4
4	stincken	stinken	VVFIN	stinken	_	OA	10
5	/	/	$,	/	_	--	4
6	Was	Was	PWS	was	nom|sg|neut	OA	10
7	laßt	laßt	VVFIN	lassen	_	RE	1
8	ihr	ihr	PPER	Ihr	dat|sg|fem|3	DA	10
9	euch	euch	PPER	ihr	dat|pl|*|2	DA	10
10	beduͤncken	bedünken	VVFIN	bedünken	_	OC	7
11	?	?	SENT	?	_	--	10

1	Ich	Ich	PPER	ich	nom|sg|*|1	SB	13
2	mercke	Merke	VVFIN	merken	sg|1|pres|ind	OA	13
3	wohl	wohl	ADV	wohl	_	MO	2
4	/	/	$,	/	_	--	3
5	beym	beim	APPRART	beim	dat|sg|neut	MO	2
6	Schlapperment	Schlapperment	NN	Schlapperment	dat|sg|neut	NK	5
7	/	/	$,	/	_	--	6
8	Daß	Dass	KOUS	Dass	_	CP	13
9	ihr	ihr	PPER	Ihr	nom|pl|*|2	SB	13
10	mich	mich	PPER	ich	acc|sg|*|1	OA	13
11	noch	noch	ADV	noch	_	MO	12
12	nicht	nicht	PTKNEG	nicht	_	NG	13
13	kennt	kennt	VVFIN	kennen	sg|3|pres|ind	--	0
14	/	/	$,	/	_	--	13
15	Und	Und	KON	und	_	CD	13
16	wisst	wisst	VVFIN	wisst	sg|3|pres|ind	CJ	15
17	nicht	nicht	PTKNEG	nicht	_	NG	16
18	daß	daß	KOUS	daß	_	CP	20
19	ich	ich	PPER	ich	nom|sg|*|1	SB	20
20	fuͤhr	führe	VVFIN	führen	sg|1|pres|ind	OC	16
21	Den	Den	ART	d	*|*|*	PNC	22
22	Caractér	Caracter	NE	Caracter	acc|sg|masc	SB	20
23	vom	vom	APPRART	vom	dat|sg|masc	MNR	22
24	Officier	Offizier	NN	Offizier	dat|sg|masc	NK	23
25	.	.	SENT	.	_	--	24

1	Den	Den	ART	d	dat|pl|masc	NK	2
2	Persern	Persern	NN	Persern	dat|pl|masc	DA	5
3	/	/	$,	/	_	--	2
4	dem	dem	ART	d	dat|sg|masc	NK	5
5	Canaille	Canaille	NN	Canaille	dat|sg|masc	SB	7
6	,	,	$,	,	_	--	5
7	Mag	Mag	VMFIN	mögen	sg|3|pres|ind	--	0
8	nur	nur	ADV	nur	_	MO	9
9	fuͤr	für	APPR	für	_	MO	12
10	meine	meine	PPOSAT	mein	acc|pl|masc	NK	11
11	Faͤuste	Fäuste	NN	Faust	acc|pl|fem	NK	9
12	grausen	grausen	ADJA	grausen	_	OC	7
13	/	/	$,	/	_	--	12
14	Wie	Wie	PWAV	wie	_	NK	15
15	werd	werd	VVFIN	werden	_	NK	7
16	'	'	$'	'	_	--	15
17	ich	ich	PPER	ich	nom|sg|*|1	SB	7
18	ihre	ihre	PPOSAT	ihr	acc|pl|neut	NK	19
19	Peltze	Pelze	NN	Pelz	acc|pl|masc	OA	20
20	lausen	lausen	VVINF	lausen	_	OC	7
21	/	/	$,	/	_	--	20
22	á	à	FM	à	_	MNR	5
23	la	la	FM	--	_	UC	22
24	Bataille	Bataille	NN	Bataille	_	UC	22
25	,	,	$,	,	_	--	24
26	á	a	FM	a	_	UC	22
27	la	la	FM	--	_	UC	22
28	Bataille	Bataille	NN	Bataille	_	UC	22
29	.	.	SENT	.	_	--	28

1	Das	Das	ART	d	nom|sg|neut	NK	2
2	Blinckern	Blinkern	NN	Blinkern	nom|sg|neut	--	0
3	/	/	$,	/	_	--	2
4	Und	Und	KON	und	_	CD	2
5	Flinckern	Flinckern	NN	Flinckern	dat|pl|masc	CJ	4
6	/	/	$,	/	_	--	5
7	Und	Und	KON	und	_	CD	5
8	Klinckern	Klinkern	NN	Klinkern	dat|pl|masc	CJ	7
9	Der	Der	ART	d	nom|sg|masc	NK	10
10	Waffen	Waffen	NN	Waffe	acc|pl|fem	NK	2
11	/	/	$,	/	_	--	10
12	Kan	Kan	VMFIN	können	nom|pl|fem	CJ	10
13	Schrecken	Schrecken	NN	Schreck	nom|pl|fem	NK	12
14	Erwecken	Erwecken	NN	Erwecken	acc|pl|masc	MNR	12
15	/	/	$,	/	_	--	14
16	Nur	Nur	ADV	nur	_	MO	17
17	Gecken	Gecken	NN	Gecken	acc|pl|fem	APP	14
18	Und	Und	KON	und	_	CD	17
19	Affen	Affen	NN	Affe	dat|pl|masc	CJ	18
20	.	.	SENT	.	_	--	19

1	Wer	Wer	PWS	wer	nom|sg|masc	SB	2
2	spuͤhret	spühret	VVFIN	spühret	sg|3|pres|ind	SB	9
3	Und	Und	KON	und	_	CD	2
4	fuͤhret	führet	VVFIN	führen	sg|3|pres|ind	CJ	3
5	Ein	Ein	ART	ein	acc|sg|neut	NK	7
6	maͤnnliches	männliches	ADJA	männlich	nom|sg|neut|pos	NK	7
7	Hertz	Hertz	NN	Herz	nom|sg|masc	OA	4
8	/	/	$,	/	_	--	7
9	Wird	Wird	VAFIN	werden	sg|3|pres|ind	--	0
10	Kriegen	Kriegen	NN	Krieg	nom|sg|neut	SB	9
11	Und	Und	KON	und	_	CD	10
12	Siegen	Siegen	NN	siegen	nom|sg|neut	CJ	11
13	/	/	$,	/	_	--	12
14	Mit	Mit	APPR	mit	_	MNR	10
15	Lachen	Lachen	NN	lachen	dat|sg|neut	NK	14
16	und	und	KON	und	_	CD	15
17	Schertz	Scherz	NN	Scherz	dat|sg|masc	CJ	16
18	.	.	SENT	.	_	--	17

1	Laß	Laß	VVIMP	lassen	_	CP	7
2	ich	ich	PPER	ich	nom|sg|*|1	SB	7
3	meine	meine	PPOSAT	mein	acc|sg|fem	NK	5
4	siegende	siegende	ADJA	siegende	acc|pl|fem|pos	NK	5
5	Waffen	Waffen	NN	Waffe	acc|pl|fem	OA	7
6	nur	nur	ADV	nur	_	MO	7
7	sehen	sehen	VVINF	sehen	_	MO	25
8	/	/	$,	/	_	--	7
9	Die	Die	ART	d	nom|pl|fem	NK	10
10	Fahnen	Fahnen	NN	Fahne	nom|pl|fem	SB	25
11	nur	nur	ADV	nur	_	MO	12
12	wehen	wehen	VVINF	wehen	_	NK	14
13	/	/	$,	/	_	--	12
14	Erzittern	Erzittern	NN	Erzittern	dat|pl|neut	AG	10
15	/	/	$,	/	_	--	14
16	Erschuͤttern	Erschüttern	NN	Erschüttern	dat|pl|neut	CJ	14
17	/	/	$,	/	_	--	16
18	Erbleichen	Erbleichen	NN	Erbleichen	dat|pl|*	CJ	16
19	/	/	$,	/	_	--	18
20	Entweichen	Entweichen	NN	Entweichen	dat|pl|*	CJ	18
21	/	/	$,	/	_	--	20
22	Die	Die	ART	d	nom|sg|fem	NK	24
23	meine	meine	PPOSAT	mein	nom|sg|fem	NK	24
24	Macht	Macht	NN	Macht	nom|sg|fem	OA	26
25	durfften	durften	VMFIN	dürfen	pl|3|past|ind	--	0
26	verschmaͤhen	verschmähen	VVINF	verschmähen	_	OC	25
27	.	.	SENT	.	_	--	26

1	Ich	Ich	PPER	ich	nom|sg|*|1	SB	2
2	fuͤhre	führe	VVFIN	führen	sg|1|pres|ind	--	0
3	das	das	ART	d	acc|sg|neut	NK	5
4	fluͤchtige	flüchtige	ADJA	flüchtig	acc|sg|neut|pos	NK	5
5	Gluͤck	Glück	NN	Glück	acc|sg|neut	OA	2
6	Gefangen	Gefangen	VVFIN	Gefangen	acc|pl|fem	NK	5
7	am	am	APPRART	am	dat|sg|masc	MO	2
8	Strick	Strick	NN	Strick	dat|sg|masc	NK	7
9	.	.	SENT	.	_	--	8

1	Wann	Wann	PWAV	wann	_	MO	2
2	blitzen	blitzen	VVFIN	blitzen	pl|3|pres|ind	OC	9
3	die	die	ART	d	nom|pl|fem	NK	5
4	Persischen	Persischen	ADJA	persisch	nom|pl|masc|pos	NK	5
5	Spiesse	Spieße	NN	Spieße	nom|pl|masc	SB	2
6	und	und	KON	und	_	CD	5
7	Degen	Degen	NN	Degen	nom|pl|masc	CJ	6
8	/	/	$,	/	_	--	7
9	Darff	darf	VMFIN	dürfen	sg|3|pres|ind	--	0
10	keiner	keiner	PIS	kein	nom|sg|masc	SB	9
11	sich	sich	PRF	er|es|sie	acc|sg|3	OA	12
12	regen	regen	NN	Regen	_	OC	9
13	/	/	$,	/	_	--	12
14	Sie	Sie	PPER	Sie	nom|pl|*|3	SB	15
15	schlagen	schlagen	VVFIN	schlagen	_	CJ	9
16	/	/	$,	/	_	--	15
17	Verjagen	Verjagen	VVINF	verjagen	_	OA	15
18	/	/	$,	/	_	--	17
19	Bekriegen	Bekriegen	NN	Bekriegen	dat|pl|masc	CJ	17
20	/	/	$,	/	_	--	19
21	Bestiegen	Bestiegen	NN	Bestiegen	dat|pl|masc	CJ	19
22	/	/	$,	/	_	--	21
23	Was	Was	PWS	was	nom|sg|neut	OA	15
24	ihnen	ihnen	PPER	sie	dat|pl|*|3	DA	26
25	sich	sich	PRF	er|es|sie	acc|sg|3	OA	26
26	setzet	setzet	VVFIN	setzen	sg|3|pres|ind	CJ	9
27	entgegen	entgegen	PTKVZ	entgegen	_	SVP	26
28	.	.	SENT	.	_	--	27

1	So	So	ADV	so	_	MO	2
2	fuͤhr	führe	VVFIN	führen	sg|1|pres|ind	--	0
3	ich	ich	PPER	ich	nom|sg|*|1	SB	2
4	das	das	ART	d	acc|sg|neut	NK	6
5	fluͤchtige	flüchtige	ADJA	flüchtig	acc|sg|neut|pos	NK	6
6	Gluͤck	Glück	NN	Glück	acc|sg|neut	OA	2
7	Gefangen	Gefangen	VVFIN	Gefangen	acc|pl|fem	NK	6
8	am	am	APPRART	am	dat|sg|masc	MO	2
9	Strick	Strick	NN	Strick	dat|sg|masc	NK	8
10	.	.	SENT	.	_	--	9

1	Ihr	Ihr	PPOSAT	Ihr	nom|sg|masc	NK	2
2	Helden	Helden	NN	Held	nom|pl|masc	SB	3
3	folget	folget	VVFIN	folgen	sg|3|pres|ind	--	0
4	dann	dann	ADV	dann	_	MO	3
5	/	/	$,	/	_	--	4
6	die	die	ART	d	nom|sg|fem	NK	7
7	Stund	Stund	NN	Stunde	nom|sg|fem	SB	9
8	'	'	$'	'	_	--	7
9	ist	ist	VAFIN	sein	sg|3|pres|ind	CJ	3
10	nun	nun	ADV	nun	_	MO	11
11	gekommen	gekommen	VVPP	kommen	_	OC	9
12	/	/	$,	/	_	--	11
13	Da	Da	KOUS	da	_	CP	19
14	jeder	jeder	PIAT	jed	nom|sg|masc	SB	19
15	seine	seine	PPOSAT	sein	acc|pl|neut	NK	16
16	Treu	Treu	NN	Treu	acc|sg|fem	OA	20
17	und	und	KON	und	_	CD	16
18	Tugend	Tugend	NN	Tugend	acc|sg|masc	CJ	17
19	lasse	lasse	VVFIN	lassen	sg|3|pres|subj	CJ	9
20	sehn	sehen	VVINF	sehen	_	OC	19
21	/	/	$,	/	_	--	20
22	Der	Der	ART	d	nom|sg|masc	NK	23
23	Feind	Feind	NN	Feind	nom|sg|masc	SB	31
24	/	/	$,	/	_	--	23
25	vom	vom	APPRART	vom	dat|sg|masc	SBP	29
26	Muͤßiggang	Müßiggang	NN	Müßiggang	dat|sg|masc	NK	25
27	und	und	KON	und	_	CD	26
28	Wollust	Wollust	NN	Wollust	dat|sg|masc	CJ	27
29	eingenommen	eingenommen	VVPP	einnehmen	_	OC	31
30	/	/	$,	/	_	--	29
31	Wird	Wird	VAFIN	werden	sg|3|pres|ind	CJ	19
32	unsrer	unsrer	PPOSAT	unser	gen|sg|fem|pos	NK	33
33	Tapfferkeit	Tapferkeit	NN	Tapferkeit	dat|sg|fem	SB	31
34	nicht	nicht	PTKNEG	nicht	_	NG	36
35	koͤnnen	können	VMFIN	können	_	OC	36
36	widerstehn	widerstehn	VVINF	widerstehn	_	OC	31
37	;	;	SENT	;	_	--	36

1	Wir	Wir	PPER	wir	nom|pl|*|1	SB	2
2	duͤrffen	dürfen	VMFIN	dürfen	pl|1|pres|ind	--	0
3	sicher	sicher	ADJD	sicher	pos	PD	4
4	seyn	sein	VAINF	sein	_	OC	2
5	/	/	$,	/	_	--	4
6	daß	daß	KOUS	daß	_	CP	8
7	er	er	PPER	er	nom|sg|masc|3	SB	8
8	muß	muß	VMFIN	müssen	sg|3|pres|ind	CJ	2
9	unterliegen	unterliegen	VVINF	unterliegen	_	OC	8
10	/	/	$,	/	_	--	9
11	Und	Und	KON	und	_	JU	15
12	fuͤr	für	APPR	für	_	MO	18
13	uns	uns	PRF	wir	acc|pl|*|1	NK	12
14	eines	eines	PIS	ein	nom|sg|neut	PD	15
15	ist	ist	VAFIN	sein	sg|3|pres|ind	OC	9
16	/	/	$,	/	_	--	15
17	das	das	PRELS	d	nom|sg|neut	SB	15
18	Kaͤmpffen	kämpfen	VVINF	kämpfen	_	OC	15
19	und	und	KON	und	_	CD	15
20	das	das	ART	d	nom|sg|neut	NK	21
21	Siegen	Siegen	NN	siegen	nom|sg|neut	CJ	19
22	.	.	SENT	.	_	--	21

1	Frisch	Frisch	ADJD	frisch	pos	MO	2
2	auff	auf	APPR	auf	_	MO	5
3	/	/	$,	/	_	--	2
4	uns	uns	PPER	wir	acc|pl|*|1	NK	2
5	rufft	ruft	VVFIN	rufen	sg|3|pres|ind	--	0
6	von	von	APPR	von	_	MO	5
7	weiten	weiten	ADJA	weit	dat|pl|fem	NK	6
8	Der	Der	ART	d	nom|sg|masc	NK	10
9	frohe	frohe	ADJA	froh	nom|sg|masc|pos	NK	10
10	Krieges-Schall	Krieges-Schall	NN	Krieges-Schall	nom|sg|masc	SB	5
11	/	/	$,	/	_	--	10
