

1	III.	III.	CARD	3	*|*|*	PNC	2
4	der	der	ART	d	nom|sg|masc	NK	6
5	treue	treue	ADJA	treu	nom|sg|masc|pos	NK	6
6	Heyland	Heiland	NN	Heiland	nom|sg|masc	SB	3
7	das	das	ART	d	acc|sg|neut	NK	19
8	einige	einige	PIS	einig	acc|sg|neut	NK	17
9	/	/	$,	/	_	--	8
10	eigentliche	eigentliche	ADJA	eigentlich	nom|sg|fem|pos	NK	19
11	/	/	$,	/	_	--	10
12	warhafftige	wahrhaftige	ADJA	wahrhaftige	nom|sg|fem|pos	NK	19
13	/	/	$,	/	_	--	12
14	uns	uns	PRF	wir	dat|pl|*|1	DA	18
15	vom	vom	APPRART	vom	dat|sg|masc	SBP	18
16	himmlischen	himmlischen	ADJA	himmlisch	dat|sg|masc|pos	NK	17
17	Vater	Vater	NN	Vater	dat|sg|masc	NK	15
18	geschenckte	geschenckte	ADJA	geschenckte	nom|sg|fem|pos	NK	19
19	Lebens-Licht	Lebens-Licht	NN	Lebens-Licht	nom|sg|fem	PD	3
20	;	;	SENT	;	_	--	19

1	wie	wie	KOUS	wie	_	MO	8
2	er	er	PPER	er	nom|sg|masc|3	SB	12
3	selbst	selbst	PRF	selbst	_	MNR	2
4	mit	mit	APPR	mit	_	MO	8
5	seinen	seinen	PPOSAT	sein	dat|pl|fem	NK	7
6	warhafftigen	wahrhaftigen	ADJA	wahrhaftigen	dat|pl|fem|pos	NK	7
7	Lippen	Lippen	NN	Lippe	dat|pl|fem	NK	4
8	versichert	versichert	VVPP	versichern	sg|3|pres|ind	--	0
9	/	/	$,	/	_	--	8
10	da	da	KOUS	da	_	CP	12
11	er	er	PPER	er	nom|sg|masc|3	SB	12
12	spricht	spricht	VVFIN	sprechen	sg|3|pres|ind	MO	8
13	:	:	SENT	:	_	--	12

1	Ich	Ich	PPER	ich	nom|sg|*|1	SB	2
2	bin	bin	VAFIN	sein	sg|1|pres|ind	--	0
3	das	das	ART	d	nom|sg|neut	NK	4
4	Licht	Licht	NN	Licht	acc|sg|neut	PD	2
5	der	der	ART	d	gen|sg|fem	NK	6
6	Welt	Welt	NN	Welt	gen|sg|fem	AG	4
7	/	/	$,	/	_	--	6
8	(	(	$(	(	_	--	7
9	der	der	ART	d	dat|sg|fem	NK	17
10	verkehrten	verkehrten	ADJA	verkehrt	dat|sg|fem|pos	NK	17
11	/	/	$,	/	_	--	10
12	argen	argen	ADJA	arg	_	NK	17
13	/	/	$,	/	_	--	12
14	blinden	blinden	ADJA	blind	_	OC	12
15	und	und	KON	und	_	CD	12
16	verfinsterten	verfinsterten	ADJA	verfinsterten	dat|sg|fem|pos	CJ	15
17	Welt	Welt	NN	Welt	dat|sg|fem	AG	6
18	/	/	$,	/	_	--	17
19	)	)	$)	)	_	--	18
20	wer	wer	PWS	wer	nom|sg|masc	SB	22
21	mir	mir	PPER	ich	dat|sg|*|1	DA	22
22	nachfolget	nachfolget	VVFIN	nachfolgen	sg|3|pres|ind	RE	24
23	/	/	$,	/	_	--	22
24	der	der	PDS	d	nom|sg|masc	SB	25
25	wird	wird	VAFIN	werden	sg|3|pres|ind	PAR	17
26	nicht	nicht	PTKNEG	nicht	_	NG	27
27	wandeln	wandeln	VVFIN	wandeln	_	OC	25
28	im	im	APPRART	im	dat|sg|masc	MO	27
29	Finsternuß	Finsternuß	NN	Finsternuß	dat|sg|masc	NK	28
30	/	/	$,	/	_	--	29
31	sondern	sondern	KON	sondern	_	CD	25
32	wird	wird	VAFIN	werden	sg|3|pres|ind	CJ	31
33	das	das	ART	d	nom|sg|neut	NK	34
34	Licht	Licht	NN	Licht	nom|sg|neut	OA	37
35	des	des	ART	d	gen|sg|neut	NK	36
36	Lebens	Lebens	NN	Leben	gen|sg|neut	AG	34
37	haben	haben	VAFIN	haben	pl|3|pres|ind	CJ	2
38	/	/	$,	/	_	--	37
39	Joh.	Joh.	NE	Johannes	*|*|*	PNC	40
40	IIX,	IIX,	NE	IIX,	nom|sg|*	SB	42
41	12.	12.	CARD	@ord@	_	MO	42
42	Ist	Ist	VAFIN	sein	sg|3|pres|ind	OC	51
43	JEsus	JEsus	NE	Jesus	nom|sg|masc	SB	42
44	unser	unser	PPOSAT	unser	acc|sg|neut	NK	45
45	Licht	Licht	NN	Licht	acc|sg|neut	PD	42
46	/	/	$,	/	_	--	45
47	wo	wo	PWAVREL	wo	_	MO	51
48	soll	soll	VMFIN	sollen	sg|3|pres|ind	RE	50
49	er	er	PPER	er	nom|sg|masc|3	SB	48
50	dann	dann	ADV	dann	_	MO	51
51	erscheinen	erscheinen	VVFIN	erscheinen	_	OC	32
52	und	und	KON	und	_	CD	51
53	sich	sich	PRF	er|es|sie	acc|pl|3	OA	54
54	offenbaren	offenbaren	VVINF	offenbaren	_	CJ	52
55	?	?	SENT	?	_	--	54

1	Ich	Ich	PPER	ich	nom|sg|*|1	SB	2
2	antworte	antworte	VVFIN	antworten	sg|1|pres|ind	--	0
3	:	:	SENT	:	_	--	2

1	In	In	APPR	in	_	--	0
2	uns	uns	PPER	wir	dat|pl|*|1	NK	1
3	.	.	SENT	.	_	--	2

1	Warum	Warum	PWAV	warum	_	MO	2
2	in	in	APPR	in	_	--	0
3	uns	uns	PPER	wir	dat|pl|*|1	NK	2
4	?	?	SENT	?	_	--	3

1	Darum	Darum	PAV	darum	_	OP	16
2	/	/	$,	/	_	--	1
3	daß	daß	KOUS	daß	_	CP	8
4	die	die	ART	d	nom|sg|fem	NK	5
5	Finsternuß	Finsternuß	NN	Finsternuß	nom|sg|fem	SB	8
6	in	in	APPR	in	_	MO	8
7	uns	uns	PPER	wir	dat|pl|*|1	NK	6
8	ist	ist	VAFIN	sein	sg|3|pres|ind	RE	1
9	/	/	$,	/	_	--	8
10	welche	welche	PRELS	welch	nom|sg|masc|pos	NK	11
11	JEsus	JEsus	NE	Jesus	nom|sg|masc	OA	14
12	von	von	APPR	von	_	MO	14
13	uns	uns	PPER	wir	dat|pl|*|1	NK	12
14	nehmen	nehmen	VVINF	nehmen	_	OC	8
15	/	/	$,	/	_	--	14
16	vertreiben	vertreiben	VVINF	vertreiben	_	OC	27
17	und	und	KON	und	_	CD	16
18	uns	uns	PPER	wir	dat|pl|*|1	OA	26
19	dargegen	dagegen	PAV	dagegen	_	MO	26
20	in	in	APPR	in	_	MO	26
21	das	das	ART	d	acc|sg|neut	NK	22
22	Reich	Reich	NN	Reich	acc|sg|neut	NK	20
23	des	des	ART	d	gen|sg|masc	NK	24
24	Lichts	Lichts	NN	Lichts	gen|sg|masc	AG	22
25	wieder	wieder	ADV	wieder	_	MO	26
26	versetzen	versetzen	VVINF	versetzen	_	CJ	17
27	wil	will	VMFIN	wollen	sg|3|pres|ind	--	0
28	/	/	$,	/	_	--	27
29	welches	welches	PRELS	welch	nom|sg|neut	OA	33
30	inwendig	inwendig	ADJD	inwendig	pos	MO	33
31	in	in	APPR	in	_	MO	33
32	uns	uns	PPER	wir	dat|pl|*|1	NK	31
33	verschlossen	verschlossen	VVPP	verschließen	_	OC	34
34	ist	ist	VAFIN	sein	sg|3|pres|ind	OC	27
35	/	/	$,	/	_	--	34

1	Gleichwie	Gleichwie	ADV	gleichwie	nom|sg|fem	SB	7
2	nun	nun	ADV	nun	_	MO	7
3	dieses	dieses	PDS	dies	nom|sg|neut	NK	6
4	eine	eine	ART	ein	nom|sg|fem	NK	6
5	ewige	ewige	ADJA	ewig	nom|sg|fem|pos	NK	6
6	Warheit	Wahrheit	NN	Wahrheit	nom|sg|fem	SB	7
7	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
8	/	/	$,	/	_	--	7
9	also	also	ADV	also	_	MO	10
10	versichere	versichere	VVFIN	versichern	sg|1|pres|ind	PAR	7
11	ich	ich	PPER	ich	nom|sg|*|1	SB	10
12	dich	dich	PPER	du	acc|sg|*|2	OA	10
13	/	/	$,	/	_	--	12
14	mein	mein	PPOSAT	mein	nom|sg|neut	NK	15
15	Hertz	Herz	NN	Herz	nom|sg|neut	SB	10
16	!	!	SENT	!	_	--	15

1	daß	daß	KOUS	daß	_	CP	34
2	alle	alle	PIAT	all	nom|pl|fem	NK	3
3	Einleuchtungen	Einleuchtungen	NN	Einleuchtungen	nom|pl|fem	SB	34
4	aus	aus	APPR	aus	_	MNR	3
5	dem	dem	ART	d	dat|sg|neut	NK	7
6	ewigen	ewigen	ADJA	ewig	dat|sg|neut|pos	NK	7
7	Licht	Licht	NN	Licht	dat|sg|neut	NK	4
8	JEsu	JEsu	NE	Jesus	nom|sg|masc	NK	7
9	in	in	APPR	in	_	MO	34
10	deine	deine	PPOSAT	dein	acc|sg|fem	NK	12
11	innere	innere	ADJA	innere	acc|sg|fem|pos	NK	12
12	Finsternuß	Finsternuß	NN	Finsternuß	acc|sg|fem	NK	9
13	/	/	$,	/	_	--	12
14	alle	alle	PIAT	all	acc|pl|fem	NK	15
15	Anstralungen	Anstrahlungen	NN	Anstrahlungen	acc|pl|fem	SB	34
16	/	/	$,	/	_	--	15
17	alle	alle	PIAT	all	acc|pl|fem	NK	18
18	Erinnerungen	Erinnerungen	NN	Erinnerung	acc|pl|fem	CJ	15
19	/	/	$,	/	_	--	18
20	alle	alle	PIAT	all	acc|pl|fem	NK	21
21	Bestraffungen	Bestraffungen	NN	Bestraffungen	acc|pl|fem	SB	34
22	in	in	APPR	in	_	MO	34
23	deinem	deinem	PPOSAT	dein	dat|sg|neut	NK	24
24	Gewissen	Gewissen	NN	Gewissen	dat|sg|neut	NK	22
25	/	/	$,	/	_	--	24
26	alle	alle	PIAT	all	acc|pl|fem	NK	27
27	Entdeckungen	Entdeckungen	NN	Entdeckung	acc|pl|fem	SB	34
28	der	der	ART	d	gen|sg|fem	NK	30
29	verborgenen	verborgenen	ADJA	verborgen	gen|pl|masc|pos	NK	30
30	Greuel	Greuel	NN	Greuel	gen|pl|masc	AG	27
31	/	/	$,	/	_	--	30
32	lauter	lauter	PIAT	lauter	*|*|*	NK	33
33	Liebes-Zuͤge	Liebes-Züge	NN	Liebes-Züge	nom|pl|masc	SB	34
34	sind	sind	VAFIN	sein	pl|3|pres|ind	--	0
35	/	/	$,	/	_	--	34
36	durch	durch	APPR	durch	_	MO	44
37	welche	welche	PRELS	welch	acc|pl|neut	NK	36
38	der	der	ART	d	gen|pl|masc	NK	40
39	guͤtige	gütige	ADJA	gütige	nom|sg|masc|pos	NK	40
40	Heyland	Heiland	NN	Heiland	nom|sg|neut	AG	37
41	sich	sich	PRF	er|es|sie	acc|sg|3	DA	44
42	den	den	ART	d	acc|sg|masc	NK	43
43	Weg	Weg	NN	Weg	acc|sg|masc	OA	44
44	bereiten	bereiten	VVINF	bereiten	_	OC	45
45	wil	will	VMFIN	wollen	sg|3|pres|ind	PAR	34
46	/	/	$,	/	_	--	45
47	um	um	KOUI	um	_	CP	81
48	als	als	KOKOM	als	_	CM	51
49	das	das	ART	d	nom|sg|neut	NK	51
50	wahre	wahre	ADJA	wahr	nom|sg|neut|pos	NK	51
51	LICHT	Licht	NN	Licht	nom|sg|neut	NK	47
52	und	und	KON	und	_	CD	47
53	als	als	KOUS	als	_	CP	61
54	die	die	ART	d	acc|sg|fem	NK	55
55	SONNE	Sonne	NN	Sonne	acc|sg|fem	OA	61
56	der	der	ART	d	gen|sg|fem	NK	57
57	Gerechtigkeit	Gerechtigkeit	NN	Gerechtigkeit	gen|sg|fem	AG	55
58	inwendig	inwendig	ADJD	inwendig	pos	MO	61
59	in	in	APPR	in	_	MO	61
60	uns	uns	PRF	wir	dat|pl|*|1	NK	59
61	auffzugehen	aufzugehen	VVIZU	aufzugehen	_	CJ	52
62	/	/	$,	/	_	--	61
63	uns	uns	PRF	wir	dat|pl|*|1	DA	81
64	von	von	APPR	von	_	SBP	81
65	einer	einer	ART	ein	dat|sg|fem	NK	66
66	Klarheit	Klarheit	NN	Klarheit	dat|sg|fem	NK	64
67	zur	zur	APPRART	zur	dat|sg|fem	MNR	66
68	andern	anderen	ADJA	ander	dat|sg|fem|pos	NK	67
69	/	/	$,	/	_	--	68
70	von	von	APPR	von	_	PG	68
71	einer	einer	ART	ein	dat|sg|fem	NK	72
72	Erleuchtung	Erleuchtung	NN	Erleuchtung	dat|sg|fem	NK	70
73	zur	zur	APPRART	zur	dat|sg|fem	MNR	72
74	andern	anderen	ADJA	ander	dat|sg|fem|pos	NK	73
75	/	/	$,	/	_	--	74
76	in	in	APPR	in	_	MO	81
77	sein	sein	PPOSAT	sein	acc|sg|neut	NK	79
78	himmlisches	himmlisches	ADJA	himmlisches	acc|sg|neut|pos	NK	79
79	Bild	Bild	NN	Bild	acc|sg|neut	NK	76
80	zu	zu	PTKZU	zu	_	PM	81
81	verklaͤren	verklären	VVINF	verklären	_	MO	45
82	/	/	$,	/	_	--	81
83	und	und	KON	und	_	CD	81
84	in	in	APPR	in	_	MO	89
85	seine	seine	PPOSAT	sein	acc|sg|fem	NK	87
86	ewige	ewige	ADJA	ewig	acc|sg|fem|pos	NK	87
87	Gemeinschafft	Gemeinschaft	NN	Gemeinschaft	acc|sg|fem	NK	84
88	zu	zu	PTKZU	zu	_	PM	89
89	bringen	bringen	VVINF	bringen	_	CJ	83
90	;	;	SENT	;	_	--	89

1	O	O	ITJ	O	_	NK	3
2	selige	selige	ADJA	selige	acc|sg|fem|pos	NK	3
3	Erscheinung	Erscheinung	NN	Erscheinung	acc|sg|fem	--	0
4	des	des	ART	d	gen|sg|masc	NK	5
5	HErrn	Herrn	NN	Herr	gen|sg|masc	AG	3
6	JEsu	JEsu	NE	Jesus	nom|sg|masc	NK	5
7	!	!	SENT	!	_	--	6

1	Unsere	Unsere	PPOSAT	unser	nom|sg|fem	NK	2
2	Selige	Selige	ADJA	Selige	nom|sg|fem	SB	26
3	Gräffin	Greffin	NN	Greffin	nom|sg|fem	NK	2
4	/	/	$,	/	_	--	3
5	ob	ob	KOUS	ob	_	CP	9
6	IHR	ihr	PPER	Ihr	dat|sg|fem|3	DA	7
7	gleich	gleich	ADV	gleich	_	MO	9
8	der	der	ART	d	nom|sg|masc	NK	9
9	Heyland	Heiland	NN	Heiland	nom|sg|neut	CJ	3
10	/	/	$,	/	_	--	9
11	was	was	PWREL	was	nom|sg|neut	SB	18
12	den	den	ART	d	acc|sg|masc	NK	14
13	besondern	besonderen	ADJA	besonder	acc|sg|masc|pos	NK	14
14	Liebes-Umgang	Liebes-Umgang	NN	Liebes-Umgang	acc|sg|masc	OA	18
15	und	und	KON	und	_	CD	14
16	suͤsse	süße	ADJA	süß	dat|pl|fem|pos	NK	17
17	Empfindungen	Empfindungen	NN	Empfindung	dat|pl|fem	CJ	15
18	betrifft	betrifft	VVFIN	betreffen	sg|3|pres|ind	RC	9
19	/	/	$,	/	_	--	18
20	meistentheils	meistenteils	ADV	meistenteils	_	MNR	9
21	als	als	KOKOM	als	_	CM	22
22	von	von	APPR	von	_	CC	20
23	fernen	fernen	ADJA	fern	dat|pl|fem|pos	NK	24
24	erschienen	erschienen	VVPP	erscheinen	dat|pl|fem|pos	NK	22
25	/	/	$,	/	_	--	24
26	hat	hat	VAFIN	haben	sg|3|pres|ind	--	0
27	dannoch	dannoch	ADV	dannoch	_	MO	41
28	von	von	APPR	von	_	OP	41
29	den	den	ART	d	dat|pl|masc	NK	31
30	inneren	inneren	ADJA	innere	dat|pl|fem|pos	NK	31
31	Uberzeugungen	Überzeugungen	NN	Überzeugung	dat|pl|fem	NK	28
32	und	und	KON	und	_	CD	31
33	Bestraffungen	Bestraffungen	NN	Bestraffungen	dat|pl|fem	CJ	32
34	dieses	dieses	PDAT	dies	gen|sg|neut	NK	36
35	inneren	inneren	ADJA	innere	gen|sg|neut|pos	NK	36
36	Lichts	Lichts	NN	Lichts	gen|sg|neut	AG	31
37	JEsu	JEsu	NE	Jesus	nom|sg|neut	NK	36
38	viel	viel	ADV	viel	*|*|*	OA	41
39	zu	zu	PTKZU	zu	_	PM	40
40	sagen	sagen	VVINF	sagen	_	OC	41
41	gewust	gewußt	VVPP	wissen	_	OC	26
42	;	;	SENT	;	_	--	41

1	weil	weil	KOUS	weil	_	CP	8
2	SIE	sie	PPER	Sie	nom|pl|*|3	SB	8
3	in	in	APPR	in	_	MO	8
4	CHristi	CHristi	NE	Christus	dat|pl|neut	AG	5
5	Augen	Augen	NN	Auge	dat|pl|neut	NK	3
6	so	so	ADV	so	_	MO	7
7	lieb	lieb	ADJD	lieb	pos	PD	8
8	war	war	VAFIN	sein	sg|3|past|ind	--	0
9	:	:	SENT	:	_	--	8

1	Der	Der	ART	d	nom|sg|masc	SB	7
2	zwar	zwar	ADV	zwar	_	MO	7
3	Anfangs	Anfangs	ADV	anfangs	gen|sg|masc	MO	7
4	dem	dem	ART	d	dat|sg|neut	NK	5
5	Geliebten	Geliebten	NA	Geliebte	dat|sg|neut	DA	7
6	vieles	vieles	PIS	viel	nom|sg|neut	OA	7
7	uͤbersiehet	übersieht	VVFIN	übersehen	sg|3|pres|ind	--	0
8	/	/	$,	/	_	--	7
9	hernach	hernach	ADV	hernach	_	MO	7
10	aber	aber	ADV	aber	_	MO	7
11	alles	alles	PIS	all	nom|sg|neut	SB	7
12	auffdecket	aufdecket	VVFIN	aufdecket	_	MO	7
13	;	;	SENT	;	_	--	12

1	darum	darum	PAV	darum	_	MO	2
2	konte	konnte	VMFIN	können	sg|3|past|ind	--	0
3	SIE	sie	PPER	Sie	nom|sg|fem|3	SB	2
4	ohne	ohne	APPR	ohne	_	MO	2
5	dergleichen	dergleichen	PIAT	dergleiche	dat|pl|fem|pos	NK	6
6	Bestraffungen	Bestraffungen	NN	Bestraffungen	dat|pl|fem	NK	4
7	nicht	nicht	PTKNEG	nicht	_	NG	2
8	bleiben	bleiben	VVINF	bleiben	_	OC	2
9	.	.	SENT	.	_	--	8

1	Wie	Wie	PWAV	wie	_	MO	3
2	manchmal	manchmal	ADV	manchmal	_	MO	3
3	hiesse	hieße	VVFIN	heißen	sg|3|past|subj	--	0
4	es	es	PPER	es	nom|sg|neut|3	EP	3
5	bey	bei	APPR	bei	_	MO	3
6	IHR	ihr	PPER	Ihr	dat|sg|fem|3	NK	5
7	:	:	SENT	:	_	--	6

1	O	O	ITJ	O	_	NK	2
2	Taͤubgen	Täubgen	NE	Täubgen	nom|sg|neut	--	0
3	!	!	SENT	!	_	--	2

1	flieg	fliege	VVFIN	fliege	sg|3|pres|subj	OC	10
2	zu	zu	APPR	zu	_	MO	1
3	deinen	deinen	PPOSAT	dein	dat|pl|neut	NK	4
4	Fenstern	Fenstern	NN	Fenster	dat|pl|neut	NK	2
5	/	/	$,	/	_	--	4
6	Kehr	Kehr	NN	Kehr	nom|sg|masc	SB	1
7	wieder	wieder	ADV	wieder	_	MO	1
8	heim	heim	PTKVZ	heim	_	SVP	1
9	/	/	$,	/	_	--	8
10	verkriech	verkriech	NE	verkriech	_	--	0
11	dich	dich	PPER	du	acc|sg|*|2	NK	10
12	doch	doch	ADV	doch	_	MO	10
13	/	/	$,	/	_	--	12
14	Entzieh	Entzieh	VVFIN	Entzieh	pl|2|imp	CJ	10
15	dich	dich	PPER	du	acc|sg|*|2	DA	10
16	allem	allem	PIAT	all	dat|sg|neut	NK	15
17	Menschen-Joch	Menschen-Joch	NN	Menschen-Joch	acc|sg|masc	OA	10
18	;	;	SENT	;	_	--	17

1	Du	Du	PPER	du	nom|sg|*|2	SB	2
2	hast	hast	VAFIN	haben	sg|2|pres|ind	--	0
3	bey	bei	APPR	bei	_	MO	11
4	so	so	ADV	so	_	MO	5
5	viel	viel	PIAT	viel	*|*|*	NK	6
6	Nacht-Gespenstern	Nacht-Gespenstern	NN	Nacht-Gespenstern	dat|pl|masc	NK	3
7	Genug	Genug	NN	Genug	acc|sg|masc	OA	8
8	verziehn	verziehen	VVPP	verzeihen	_	OC	11
9	und	und	KON	und	_	CD	8
10	sitzen	sitzen	VVINF	sitzen	_	CJ	9
11	muͤssen	müssen	VMFIN	müssen	_	OC	2
12	.	.	SENT	.	_	--	11

1	Sieh	Siehe	VVIMP	sehen	sg|2|imp	--	0
2	deine	deine	PPOSAT	dein	acc|sg|fem	NK	4
3	sichre	sichre	NN	sichre	acc|pl|fem|pos	NK	4
4	Hoͤlen	Höhlen	NN	Höhle	acc|pl|fem	OA	1
5	an	an	PTKVZ	an	_	SVP	1
6	/	/	$,	/	_	--	5
7	Da	Da	KOUS	da	_	CP	16
8	dich	dich	PPER	du	acc|sg|*|2	SB	16
9	dein	dein	PPOSAT	dein	nom|sg|masc	NK	10
10	Liebster	Liebster	NN	liebe	gen|pl|masc	OA	15
11	wieder	wieder	ADV	wieder	_	MO	16
12	kuͤssen	küssen	VVINF	küssen	pos	MO	15
13	Und	Und	KON	und	_	CD	12
14	ungestoͤrt	ungestört	ADJD	ungestört	pos	CJ	13
15	umfassen	umfassen	VVINF	umfassen	_	OC	16
16	kan	kann	VMFIN	können	sg|3|pres|ind	OC	1
17	;	;	SENT	;	_	--	16

1	Mein	Mein	PPOSAT	mein	nom|sg|neut	NK	2
2	Biengen	Biengen	NN	Biengen	nom|sg|neut	--	0
3	!	!	SENT	!	_	--	2

1	du	du	PPER	du	nom|sg|*|2	SB	2
2	bist	bist	VAFIN	sein	sg|2|pres|ind	--	0
3	ausgeflogen	ausgeflogen	VVPP	ausfliegen	_	OC	2
4	/	/	$,	/	_	--	3
5	Fleuch	Fleuch	NN	Fleuch	nom|sg|masc	CJ	3
6	wieder	wieder	ADV	wieder	_	MO	5
7	ein	ein	ART	ein	_	SVP	5
8	ins	ins	APPRART	ins	acc|sg|neut	MO	3
9	rechte	rechte	ADJA	recht	acc|sg|neut|pos	NK	10
10	Hauß	Haus	NN	Haus	acc|sg|neut	NK	8
11	;	;	SENT	;	_	--	10

1	Es	Es	PPER	es	nom|sg|neut|3	SB	2
2	moͤcht	möchte	VMFIN	mögen	sg|3|pres|ind	--	0
3	die	die	ART	d	acc|sg|fem	NK	4
4	Wespe	Wespe	NN	Wespe	acc|sg|fem	OA	9
5	dir	dir	PPER	du	dat|sg|*|2	DA	10
6	daraus	daraus	PAV	daraus	_	MO	10
7	Das	Das	ART	d	nom|sg|neut	NK	8
8	Honig	Honig	NN	Honig	dat|sg|masc	SB	9
9	haben	haben	VAFIN	haben	pl|3|pres|ind	OC	2
10	ausgesogen	ausgesogen	VVPP	ausgesogen	_	OC	9
11	/	/	$,	/	_	--	10
12	Das	Das	ART	d	nom|sg|neut	NK	13
13	CHristus	CHristus	NN	CHristus	_	SB	15
14	dir	dir	PPER	du	dat|sg|*|2	DA	16
15	hat	hat	VAFIN	haben	sg|3|pres|ind	CJ	9
16	eingeleget	eingelegt	VVPP	einlegen	_	OC	15
17	;	;	SENT	;	_	--	16

1	Komm	Komm	VVIMP	kommen	nom|sg|masc	SB	2
2	setz	setz	VVFIN	setz	sg|3|past|ind	--	0
3	dich	dich	PPER	du	acc|sg|*|2	OA	2
4	wieder	wieder	ADV	wieder	_	MO	2
5	auff	auf	APPR	auf	_	MO	2
6	die	die	ART	d	acc|sg|fem	NK	7
7	Blum	Blum	NE	Blum	acc|sg|fem	NK	5
8	/	/	$,	/	_	--	7
9	Die	Die	ART	d	acc|sg|fem	NK	17
10	dich	dich	PPER	du	acc|sg|*|2	OA	12
11	so	so	ADV	so	_	MO	12
12	offte	offte	ADJA	oft	sg|3|past|ind	NK	17
13	speist	speist	VVFIN	speist	pos	MO	12
14	und	und	KON	und	_	CD	13
15	heget	heget	VVFIN	heget	pos	CJ	14
16	/	/	$,	/	_	--	15
17	Bleib	Bleib	NN	Bleib	acc|sg|masc	OA	2
18	ewig	ewig	ADJD	ewig	pos	MO	2
19	JEsus	JEsus	NE	Jesus	gen|sg|masc	AG	20
20	Eigenthum	Eigentum	NN	Eigentum	acc|sg|neut	OA	2
21	.	.	SENT	.	_	--	20

1	O	O	ITJ	O	_	NK	2
2	Braut	Braut	NN	Braut	nom|sg|neut	--	0
3	!	!	SENT	!	_	--	2

1	kehr	kehre	VVIMP	kehren	sg|3|pres|subj	MO	11
2	wieder	wieder	ADV	wieder	_	MO	1
3	in	in	APPR	in	_	MO	1
4	die	die	ART	d	acc|sg|fem	NK	5
5	Stille	Stille	NN	Stille	acc|sg|fem	NK	3
6	/	/	$,	/	_	--	5
7	Laß	Laß	VVIMP	lassen	sg|2|imp	NK	5
8	dich	dich	PPER	du	acc|sg|*|2	OA	11
9	zur	zur	APPRART	zur	dat|sg|fem	MO	11
10	Hochzeit	Hochzeit	NN	Hochzeit	dat|sg|fem	NK	9
11	schmuͤcken	schmücken	VVINF	schmücken	pl|3|pres|ind	--	0
12	mehr	mehr	ADV	mehr	*|*|*	MO	11
13	;	;	SENT	;	_	--	12

1	Du	Du	PPER	du	nom|sg|*|2	SB	2
2	kanst	kannst	VMFIN	können	sg|2|pres|ind	--	0
3	dem	dem	ART	d	dat|sg|masc	NK	4
4	Braͤutgam	Bräutigam	NN	Bräutigam	dat|sg|masc	DA	19
5	nie	nie	ADV	nie	_	MO	2
6	zu	zu	APPR	zu	_	MO	7
7	sehr	sehr	ADV	sehr	_	MO	8
8	Gefallen	Gefallen	NN	Gefallen	_	MO	2
9	/	/	$,	/	_	--	8
10	daß	daß	KOUS	daß	_	CP	15
11	nicht	nicht	PTKNEG	nicht	_	NG	2
12	seine	seine	PPOSAT	sein	nom|sg|fem	NK	13
13	Fuͤlle	Fülle	NN	Fülle	nom|sg|fem	SB	15
14	Dich	Dich	PRF	sich	nom|sg|masc	NK	13
15	koͤnnte	könnte	VMFIN	können	sg|3|past|subj	CJ	2
16	noch	noch	ADV	noch	_	MO	17
17	wohl	wohl	ADV	wohl	_	MO	15
18	schoͤner	schöner	ADJD	schön	comp	MO	19
19	zieren	zieren	VVFIN	zieren	_	OC	15
20	;	;	SENT	;	_	--	19

1	Er	Er	PPER	Er	nom|sg|masc|3	SB	2
2	liebet	liebt	VVFIN	lieben	sg|3|pres|ind	--	0
3	die	die	ART	d	acc|sg|fem	NK	4
4	Verborgenheit	Verborgenheit	NN	Verborgenheit	acc|sg|fem	OA	2
5	/	/	$,	/	_	--	4
6	Darinn	Darin	PAV	darin	_	MO	7
7	wil	will	VMFIN	wollen	sg|3|pres|ind	CJ	2
8	er	er	PPER	er	nom|sg|masc|3	SB	7
9	die	die	ART	d	acc|sg|fem	NK	10
10	Liebste	Liebste	NN	Liebste	acc|sg|fem	OA	11
11	fuͤhren	führen	VVINF	führen	_	OC	7
12	/	/	$,	/	_	--	11
13	Durch	Durch	APPR	durch	_	MO	11
14	lauter	lauter	PIAT	lauter	*|*|*	NK	15
15	Abgeschiedenheit	Abgeschiedenheit	NN	Abgeschiedenheit	dat|sg|fem	NK	13
16	.	.	SENT	.	_	--	15

1	Es	Es	PPER	es	nom|sg|neut|3	PH	2
2	fanden	fanden	VVFIN	finden	pl|3|past|ind	--	0
3	aber	aber	ADV	aber	_	MO	2
4	diese	diese	PDAT	dies	acc|pl|masc	NK	6
5	zuͤchtigende	züchtigende	ADJA	züchtigende	acc|pl|fem|pos	NK	6
6	Einleuchtungen	Einleuchtungen	NN	Einleuchtungen	acc|pl|fem	OA	2
7	des	des	ART	d	gen|sg|masc	NK	8
8	Lichtes	Lichtes	NN	Lichtes	gen|sg|masc	AG	6
9	JEsu	JEsu	NE	Jesus	nom|sg|masc	NK	8
10	so	so	ADV	so	_	MO	11
11	viel	viel	PIAT	viel	*|*|*	NK	12
12	Raum	Raum	NN	Raum	acc|sg|masc	OA	2
13	und	und	KON	und	_	CD	12
14	Platz	Platz	NN	Platz	acc|sg|masc	CJ	13
15	an	an	APPR	an	_	MO	2
16	IHR	ihr	PPER	Ihr	acc|sg|neut	NK	15
17	/	/	$,	/	_	--	16
