

1	PNC	CAPVT.	FM	CAPVT.	abbr	CAPVT.	2
38	SVP	zu	PTKVZ	zu	word	zu	35
39	--	,	$,	,	punctuation	,	38
40	MO	wobei	KOUS	wobei	word	wobey	55
41	MO	aber	ADV	aber	word	aber	55
42	MO	zum	APPRART	zum	word	zum	55
43	NK	größten	ADJA	groß	word	groͤsten	44
44	NK	Glücke	NN	Glück	word	Gluͤcke	42
45	NK	meiner	PPOSAT	mein	word	meiner	48
46	NK	verfehlte	ADJA	verfehlt	word	verfehlete	48
47	--	,	$,	,	punctuation	,	46
48	AG	Massen	KOUS	maßen	word	massen	44
49	NK	die	ART	d	word	die	50
50	OA	Kugel	NN	Kugel	word	Kugel	55
51	MO	vor	APPR	vor	word	vor	55
52	NK	meinen	PPOSAT	mein	word	meinen	53
53	NK	Ohren	NN	Ohr	word	Ohren	51
54	MO	vorbei	PTKVZ	vorbei	word	vorbey	55
55	OC	sauste	VVFIN	sausen	word	sausete	35
56	CD	und	KON	und	word	und	55
57	CJ	brauste	VVFIN	brauste	word	brausete	56
58	--	,	$,	,	punctuation	,	57
59	SB	welches	PRELS	welch	word	welches	65
60	MO	ganz	ADV	ganz	word	gantz	61
61	MO	genau	ADJD	genau	word	genau	62
62	OC	hören	VVINF	hören	word	hoͤren	65
63	CD	und	KON	und	word	und	62
64	CJ	vernehmen	VVINF	vernehmen	word	vernehmen	63
65	RC	konnte	VMFIN	können	word	konte	46
66	--	.	SENT	.	punctuation	.	65

1	MO	Hierüber	PAV	hierüber	word	Hieruͤber	2
2	--	beklagte	VVFIN	beklagen	word	beklagte	0
3	CD	und	KON	und	word	und	2
4	CJ	beschwerte	VVFIN	beschweren	word	beschwerte	3
5	OA	mich	PPER	ich	word	mich	4
6	MO	nun	ADV	nun	word	nun	4
7	MO	höchlich	ADJD	höchlich	word	hoͤchlich	4
8	MO	bei	APPR	bei	word	bey	4
9	NK	dem	ART	d	word	dem	10
10	NK	Kaiser	NN	Kaiser	word	Kayser	8
11	--	,	$,	,	punctuation	,	10
12	MO	mit	APPR	mit	word	mit	24
13	NK	dieser	PDAT	dies	word	dieser	14
14	NK	Anmeldung	NN	Anmeldung	word	Anmeldung	12
15	CD	und	KON	und	word	und	14
16	CJ	Ankündigung	NN	Ankündigung	word	Ankuͤndigung	15
17	--	,	$,	,	punctuation	,	16
18	CP	daß	KOUS	daß	word	daß	42
19	SB	einer	PIS	ein	word	einer	42
20	NK	seiner	PPOSAT	sein	word	seiner	21
21	AG	Bedienten	NA	Bediente	word	Bedienten	19
22	MO	nach	APPR	nach	word	nach	24
23	NK	mir	PPER	ich	word	mir	22
24	OC	geschossen	VVPP	schießen	word	geschossen	42
25	--	,	$,	,	punctuation	,	24
26	MO	in	APPR	in	word	in	41
27	NK	der	ART	d	word	der	28
28	NK	Absicht	NN	Absicht	word	Absicht	26
29	--	,	$,	,	punctuation	,	28
30	OA	mich	PPER	ich	word	mich	32
31	PM	zu	PTKZU	zu	word	zu	32
32	OC	erlegen	VVINF	erliegen	word	erlegen	28
33	CD	und	KON	und	word	und	32
34	MO	danieder	ADV	danieder	word	darnieder	36
35	PM	zu	PTKZU	zu	word	zu	36
36	CJ	schießen	VVINF	schießen	word	schiessen	33
37	--	,	$,	,	punctuation	,	36
38	DA	meiner	PPOSAT	mein	word	meiner	36
39	MO	aber	ADV	aber	word	aber	41
40	MO	glücklich	ADJD	glücklich	word	gluͤcklich	41
41	CJ	verfehlet	VVPP	verfehlen	word	verfehlet	24
42	OC	habe	VAFIN	haben	word	habe	4
43	--	.	SENT	.	punctuation	.	42

1	MO	Als	KOUS	als	word	Als	6
2	NK	derselbe	PDS	derselbe	word	derselbe	5
3	NK	solche	PIAT	solch	word	solche	5
4	NK	begangene	ADJA	begangen	word	begangene	5
5	NK	Tat	NN	Tat	word	That	1
6	PD	vernommen	VVPP	vernehmen	word	vernommen	28
7	--	,	$,	,	punctuation	,	6
8	--	erteilte	VVFIN	erteilen	word	ertheilete	0
9	MO	alsobald	ADV	alsbald	word	alsobald	8
10	MO	in	APPR	in	word	in	8
11	NK	größtem	ADJA	groß	word	groͤstem	12
12	NK	Grimm	NN	Grimm	word	Grimm	10
13	CD	und	KON	und	word	und	12
14	CJ	Eifer	NN	Eifer	word	Eifer	13
15	NK	diesen	PDAT	dies	word	diesen	17
16	NK	gestrengen	ADJA	gestrengen	word	gestrengen	17
17	OA	Befehl	NN	Befehl	word	Befehl	8
18	--	,	$,	,	punctuation	,	17
19	CP	daß	KOUS	daß	word	daß	29
20	SB	keiner	PIS	kein	word	keiner	29
21	PG	von	APPR	von	word	von	20
22	NK	seinen	PPOSAT	sein	word	seinen	23
23	NK	Bedienten	NA	Bediente	word	Bedienten	21
24	--	,	$,	,	punctuation	,	23
25	SB	wer	PWS	wer	word	wer	29
26	OA	es	PPER	es	word	es	33
27	MO	auch	ADV	auch	word	auch	29
28	OC	sein	VAINF	sein	word	seyn	29
29	OC	möge	VMFIN	mögen	word	moͤge	17
30	--	,	$,	,	punctuation	,	29
31	OA	sich	PRF	er|es|sie	word	sich	33
32	MO	fernerhin	ADV	fernerhin	word	fernerhin	33
33	OC	unterstehen	VVINF	unterstehen	word	unterstehen	34
34	CJ	solle	VMFIN	sollen	word	solle	29
35	--	,	$,	,	punctuation	,	34
36	OA	Gewehr	NN	Gewehr	word	Gewehr	38
37	PM	zu	PTKZU	zu	word	zu	38
38	RE	laden	VVINF	laden	word	laden	26
39	--	,	$,	,	punctuation	,	38
40	MO	noch	ADV	noch	word	noch	43
41	OA	viel	ADV	viel	word	vielweniger	43
42	NK	dasselbe	PDS	derselbe	word	dasselbe	46
43	CJ	loszuschießen	VVIZU	loszuschießen	word	loszuschiessen	38
44	--	,	$,	,	punctuation	,	43
45	NK	welches	PRELS	welch	word	welches	46
46	SB	Verbot	NN	Verbot	word	Verbot	54
47	OA	denenselben	PDS	derselbe	word	denenselben	69
48	MO	bei	APPR	bei	word	bey	53
49	NK	einer	ART	ein	word	einer	52
50	NK	harten	ADJA	hart	word	harten	52
51	NK	Leibes	TRUNC	Leibes-	word	Leibes	52
52	NK	Straffe	NN	Strafe	word	Straffe	48
53	OC	auferleget	VVPP	auferleget	word	auferleget	54
54	RC	wurde	VAFIN	werden	word	wurde	20
55	--	,	$,	,	punctuation	,	54
56	DA	mir	PPER	ich	word	mir	61
57	MO	aber	ADV	aber	word	aber	61
58	MO	anbei	PAV	anbei	word	anbey	61
59	MO	hinwiederum	ADV	hinwiederum	word	hinwiederum	61
60	MO	gnädigst	ADJD	gnädig	word	gnaͤdigst	61
61	CJ	antrug	VVFIN	antrug	word	antrug	54
62	--	,	$,	,	punctuation	,	61
63	CP	daß	KOUS	daß	word	daß	70
64	MO	nur	ADV	nur	word	nur	67
65	NK	meine	PPOSAT	mein	word	meine	67
66	NK	vorige	ADJA	vorig	word	vorige	67
67	SB	Veränderung	NN	Veränderung	word	Veraͤnderung	70
68	MO	immer	ADV	immer	word	immer	69
69	OC	fortführen	VVINF	fortführen	word	fortfuͤhren	70
70	OC	möchte	VMFIN	mögen	word	moͤchte	61
71	--	,	$,	,	punctuation	,	70
72	MO	mit	APPR	mit	word	mit	43
73	NK	der	ART	d	word	der	76
74	NK	grausamen	ADJA	grausam	word	grausamen	76
75	NK	hohen	ADJA	hoch	word	hohen	76
76	NK	Versicherung	NN	Versicherung	word	Versicherung	72
77	--	,	$,	,	punctuation	,	76
78	CP	daß	KOUS	daß	word	daß	95
79	DA	mir	PPER	ich	word	mir	92
80	MO	hierfür	PAV	hierfür	word	hinfuͤhro	92
81	NK	kein	PIAT	kein	word	kein	82
82	SB	Leid	NN	Leid	word	Leid	95
83	CD	weder	KON	weder	word	weder	84
84	MO	mit	APPR	mit	word	mit	92
85	NK	Schiesen	NE	Schiesen	word	Schiesen	84
86	MO	noch	ADV	noch	word	noch	87
87	MO	sonsten	ADV	sonst	word	sonsten	92
88	MO	auf	APPR	auf	word	auf	92
89	NK	eine	ART	ein	word	eine	91
90	NK	andere	ADJA	ander	word	andere	91
91	NK	Art	NN	Art	word	Art	88
92	OC	geschehen	VVINF	geschehen	word	geschehen	95
93	CD	und	KON	und	word	und	92
94	CJ	widerfahren	VVINF	widerfahren	word	wiederfahren	93
95	OC	solle	VMFIN	sollen	word	solle	76
96	--	.	SENT	.	punctuation	.	95

1	MO	Hierauf	PAV	hierauf	word	Hierauf	2
2	--	setzte	VVFIN	setzen	word	setzte	0
3	MO	nun	ADV	nun	word	nun	2
4	MO	nochmals	ADV	nochmals	word	nochmals	2
5	MO	mit	APPR	mit	word	mit	2
6	NK	einer	ART	ein	word	einer	8
7	NK	anderen	ADJA	ander	word	andern	8
8	NK	Veränderung	NN	Veränderung	word	Veraͤnderung	5
9	CD	und	KON	und	word	und	8
10	CJ	Verstellung	NN	Verstellung	word	Verstellung	9
11	SVP	an	PTKVZ	an	word	an	2
12	--	,	$,	,	punctuation	,	11
13	CP	um	KOUI	um	word	um	19
14	NK	meines	PPOSAT	mein	word	meines	16
15	NK	gnädigsten	ADJA	gnädig	word	gnaͤdigsten	16
16	OA	Herrn	NN	Herr	word	Herrn	19
17	NK	Befehl	NN	Befehl	word	Befehl	16
18	PM	zu	PTKZU	zu	word	zu	19
19	MO	vollziehen	VVINF	vollziehen	word	vollziehen	2
20	--	,	$,	,	punctuation	,	19
21	CJ	veränderte	VVFIN	verändern	word	veraͤnderte	2
22	OA	mich	PPER	ich	word	mich	21
23	CD	und	KON	und	word	und	21
24	CJ	nahm	VVFIN	nehmen	word	nahm	23
25	NK	die	ART	d	word	die	26
26	OA	Gestalt	NN	Gestalt	word	Gestalt	24
27	NK	eines	ART	ein	word	eines	28
28	AG	Wolffs	NE	Wolff	word	Wolffs	26
29	SVP	an	PTKVZ	an	word	an	24
30	--	,	$,	,	punctuation	,	29
31	CP	indem	KOUS	indem	word	indem	34
32	NK	meiner	PPOSAT	mein	word	meiner	33
33	SB	Wurzel	NN	Wurzel	word	Wurtzel	34
34	MO	zuruffte	VVFIN	zuruffte	word	zuruffte	24
35	--	:	SENT	:	punctuation	:	34

1	--	Wurzel	NN	Wurzel	word	Wurtzel	0
2	NK	Wolff	NE	Wolff	word	Wolff	1
3	--	!	SENT	!	punctuation	!	2

1	NK	Viele	PIAT	viel	word	Viele	3
2	NK	wilde	ADJA	wild	word	wilde	3
3	SB	Tier	NN	Tier	word	Thiere	7
4	PG	von	APPR	von	word	von	3
5	NK	unterschiedlicher	ADJA	unterschiedlich	word	unterschiedlicher	6
6	NK	Art	NN	Art	word	Art	4
7	--	waren	VAFIN	sein	word	waren	0
8	MO	in	APPR	in	word	in	7
9	NK	diesem	PDAT	dies	word	diesem	10
10	NK	Walde	NE	Walde	word	Walde	8
11	MO	zugegen	ADV	zugegen	word	zugegen	7
12	CD	und	KON	und	word	und	11
13	CJ	beisammen	ADV	beisammen	word	beysammen	12
14	--	,	$,	,	punctuation	,	13
15	CD	und	KON	und	word	und	7
16	CJ	gedachte	ADJA	gedacht	word	gedachte	15
17	MO	durch	APPR	durch	word	durch	16
18	NK	diese	PDAT	dies	word	diese	19
19	NK	Wolffs-Gestalt	NN	Wolffs-Gestalt	word	Wolffs-Gestalt	17
20	--	,	$,	,	punctuation	,	19
21	SB	welche	PRELS	welch	word	welche	41
22	MO	an	APPR	an	word	an	24
23	NK	mir	PPER	ich	word	mir	22
24	OC	genommen	VVPP	nehmen	word	genommen	41
25	--	,	$,	,	punctuation	,	24
26	NK	die	ART	d	word	die	28
27	NK	anderen	ADJA	ander	word	andern	28
28	OA	Tier	NN	Tier	word	Thiere	31
29	MO	daraus	PAV	daraus	word	daraus	31
30	PM	zu	PTKZU	zu	word	zu	31
31	OC	verjagen	VVINF	verjagen	word	verjagen	24
32	SB	welches	PRELS	welch	word	welches	38
33	MO	auch	ADV	auch	word	auch	34
34	MO	endlich	ADV	endlich	word	endlich	38
35	MO	nach	APPR	nach	word	nach	38
36	NK	meinem	PPOSAT	mein	word	meinem	37
37	NK	Wunsche	NN	Wunsche	word	Wunsche	35
38	OC	anging	VVFIN	anging	word	angieng	31
39	CD	und	KON	und	word	und	38
40	CJ	vollbracht	VVPP	vollbringen	word	vollbracht	39
41	RC	wurde	VAFIN	werden	word	wurde	19
42	--	:	SENT	:	punctuation	:	41

1	JU	Denn	KON	denn	word	Denn	8
2	CM	als	KOUS	als	word	als	8
3	OA	mich	PPER	ich	word	mich	8
4	MO	in	APPR	in	word	in	8
5	NK	solcher	PIAT	solch	word	solcher	6
6	NK	Verstellung	NN	Verstellung	word	Verstellung	4
7	MO	hinein	PTKVZ	hinein	word	hinein	8
8	--	begeben	VVFIN	begeben	word	begeben	0
9	MO	in	APPR	in	word	in	8
10	NK	den	ART	d	word	den	14
11	NK	rauschenden	ADJA	rauschenden	word	rauschenden	14
12	CD	und	KON	und	word	und	11
13	CJ	angenehmen	ADJA	angenehm	word	angenehmen	12
14	NK	Wald	NN	Wald	word	Wald	9
15	--	,	$,	,	punctuation	,	14
16	NK	die	PRELS	d	word	die	17
17	SB	anderen	PIS	ander	word	andern	19
18	MO	aber	ADV	aber	word	aber	19
19	CJ	darinnen	PAV	darin	word	darinnen	8
20	NK	befindlichen	ADJA	befindlich	word	befindlichen	21
21	SB	Tier	NN	Tier	word	Thiere	19
22	NK	meiner	PPOSAT	mein	word	meiner	61
23	PD	gewahr	ADJD	gewahr	word	gewahr	24
24	OC	worden	VAPP	werden	word	worden	19
25	--	,	$,	,	punctuation	,	24
26	CP	daß	KOUS	daß	word	daß	34
27	MO	nämlich	ADV	nämlich	word	nemlich	31
28	MO	hier	ADV	hier	word	hier	31
29	NK	ein	ART	ein	word	ein	30
30	SB	Wolff	NE	Wolff	word	Wolff	31
31	OC	gerännet	VVPP	gerännet	word	gerennet	34
32	CD	und	KON	und	word	und	31
33	CJ	gelaufen	VVPP	laufen	word	gelauffen	32
34	OC	kommen	VVINF	kommen	word	kommen	19
35	--	,	$,	,	punctuation	,	34
36	SB	Sprüngen	VVFIN	springen	word	sprungen	19
37	MNR	aus	APPR	aus	word	aus	36
38	NK	großer	ADJA	groß	word	grosser	39
39	NK	Furcht	NN	Furcht	word	Furcht	37
40	CD	und	KON	und	word	und	39
41	CJ	Schrecken	NN	Schreck	word	Schrecken	40
42	MO	ganz	ADV	ganz	word	gantz	43
43	MO	schnell	ADJD	schnell	word	schnell	44
44	PAR	vor	APPR	vor	word	vor	39
45	NK	mir	PPER	ich	word	mir	44
46	AC	her	PTKVZ	her	word	her	44
47	--	,	$,	,	punctuation	,	46
48	CD	und	KON	und	word	und	19
49	CJ	wollten	VMFIN	wollen	word	wolten	48
50	OA	sich	PRF	er|es|sie	word	sich	54
51	MO	hier	ADV	hier	word	hier	54
52	CD	und	KON	und	word	und	51
53	CJ	dar	PTKVZ	dar	word	dar	52
54	OC	verlaufen	VVINF	verlaufen	word	verlauffen	49
55	CD	und	KON	und	word	und	54
56	CJ	verkriechen	VVINF	verkriechen	word	verkriechen	55
57	--	,	$,	,	punctuation	,	56
58	SB	welchen	PRELS	welch	word	welchen	62
59	MO	aber	ADV	aber	word	aber	62
60	MO	ganz	ADV	ganz	word	gantz	61
61	OA	behende	ADJA	behende	word	behende	62
62	CJ	nacheilte	ADJA	nacheilte	word	nacheilete	49
63	--	,	$,	,	punctuation	,	62
64	CP	bis	KOUS	bis	word	bis	72
65	SB	dieselbe	PDS	derselbe	word	dieselbe	72
66	MO	gegen	APPR	gegen	word	gegen	71
67	NK	meinen	PPOSAT	mein	word	meinen	69
68	NK	gnädigsten	ADJA	gnädig	word	gnaͤdigsten	69
69	NK	Herrn	NN	Herr	word	Herrn	66
70	PM	zu	PTKZU	zu	word	zu	71
71	OC	treiben	VVINF	treiben	word	treiben	72
72	MO	brachte	VVFIN	bringen	word	brachte	62
73	--	,	$,	,	punctuation	,	72
74	MO	bei	APPR	bei	word	bey	91
75	NK	welcher	PRELAT	welch	word	welcher	76
76	NK	Gelegenheit	NN	Gelegenheit	word	Gelegenheit	74
77	MO	derselbe	PDS	derselbe	word	derselbe	91
78	NK	ein	ART	ein	word	ein	79
79	OA	Stück	NN	Stück	word	Stuͤck	84
80	MNR	nach	APPR	nach	word	nach	79
81	NK	dem	ART	d	word	dem	82
82	NK	anderen	PIS	ander	word	andern	80
83	MO	danieder	ADV	danieder	word	darnieder	84
84	OC	legen	VVINF	legen	word	legen	91
85	--	,	$,	,	punctuation	,	84
86	CD	und	KON	und	word	und	84
87	NK	seine	PPOSAT	sein	word	seine	88
88	OA	Freude	NN	Freude	word	Freude	90
89	OP	darüber	PAV	darüber	word	daruͤber	90
90	CJ	bezeigen	VVFIN	bezeigen	word	bezeigen	86
91	OC	konnte	VMFIN	können	word	konte	71
92	--	,	$,	,	punctuation	,	91
93	CD	und	KON	und	word	und	91
94	NK	diese	PDAT	dies	word	diese	95
95	SB	Lustbarkeit	NN	Lustbarkeit	word	Lustbarkeit	96
96	CJ	wurde	VAFIN	werden	word	wurde	93
97	MO	nun	ADV	nun	word	nun	106
98	MO	hiermit	PAV	hiermit	word	hiermit	106
99	NK	den	ART	d	word	den	101
100	NK	ganzen	ADJA	ganz	word	gantzen	101
101	OA	Tag	NN	Tag	word	Tag	106
102	AC	bis	KON	bis	word	bis	103
103	MO	auf	APPR	auf	word	auf	106
104	NK	den	ART	d	word	den	105
105	NK	Abend	NN	Abend	word	Abend	103
106	OC	zugebracht	VVPP	zubringen	word	zugebracht	96
107	--	.	SENT	.	punctuation	.	106

1	RE	Weilen	KOUS	weil	word	Weilen	13
2	MO	aber	ADV	aber	word	aber	1
3	NK	solche	PIAT	solch	word	solche	4
4	PD	Lustbarkeit	NN	Lustbarkeit	word	Lustbarkeit	1
5	SVP	vorbei	PTKVZ	vorbei	word	vorbey	1
6	--	,	$,	,	punctuation	,	5
7	CD	und	KON	und	word	und	1
8	SB	dieselbe	PDS	derselbe	word	dieselbe	11
9	OA	sich	PRF	er|es|sie	word	sich	10
10	OC	geendigt	VVPP	endigen	word	geendiget	11
11	CJ	hatte	VAFIN	haben	word	hatte	7
12	--	,	$,	,	punctuation	,	11
13	MO	so	ADV	so	word	so	22
14	--	wurde	VAFIN	werden	word	wurde	0
15	NK	die	ART	d	word	die	16
16	SB	Reise	NN	Reise	word	Reise	14
17	MO	wiederum	ADV	wiederum	word	wiederum	22
18	MO	nach	APPR	nach	word	nach	22
19	NK	dem	ART	d	word	dem	21
20	NK	kaiserlichen	ADJA	kaiserlich	word	Kayserlichen	21
21	NK	Schlosse	NN	Schloß	word	Schlosse	18
22	OC	beschleiniget	VVFIN	beschleiniget	word	beschleiniget	14
23	--	,	$,	,	punctuation	,	22
24	MO	wobei	KOUS	wobei	word	wobey	42
25	MO	unterwegs	ADV	unterwegs	word	unterweges	26
26	MO	bald	ADV	bald	word	bald	42
27	NK	diesen	PDS	dies	word	diesen	30
28	MO	bald	ADV	bald	word	bald	30
29	NK	jenen	PDAT	jen	word	jenen	30
30	OA	Bedienten	NA	Bediente	word	Bedienten	42
31	MO	wieder	ADV	wieder	word	wieder	42
32	MO	durch	APPR	durch	word	durch	42
33	NK	meine	PPOSAT	mein	word	meine	34
34	NK	Kunst	NN	Kunst	word	Kunst	32
35	NK	Evette	NE	Evette	word	aͤffete	34
36	--	,	$,	,	punctuation	,	35
37	DA	weswegen	PWAV	weswegen	word	weswegen	41
38	NK	dieselben	PDS	derselbe	word	dieselben	41
39	DA	mir	PPER	ich	word	mir	41
40	MO	sehr	ADV	sehr	word	sehr	41
41	PD	aufsässig	ADJD	aufsässig	word	aufsaͤssig	42
42	CJ	wurden	VAFIN	werden	word	wurden	14
43	--	,	$,	,	punctuation	,	42
44	CD	und	KON	und	word	und	42
45	NK	einen	ART	ein	word	einen	46
46	OA	Possen	NN	Posse	word	Possen	51
47	MO	nach	APPR	nach	word	nach	51
48	NK	dem	ART	d	word	dem	49
49	NK	anderen	PIS	ander	word	andern	47
50	PM	zu	PTKZU	zu	word	zu	51
51	OC	spielen	VVINF	spielen	word	spielen	52
52	CJ	trachteten	VVFIN	trachten	word	trachteten	44
53	--	.	SENT	.	punctuation	.	52

1	SB	Ich	PPER	ich	word	Ich	22
2	MO	aber	ADV	aber	word	aber	1
3	--	,	$,	,	punctuation	,	2
4	SB	der	PRELS	d	word	der	13
5	OA	mich	PPER	ich	word	mich	13
6	MO	aus	APPR	aus	word	aus	13
7	NK	solcher	PIAT	solch	word	solcher	8
8	AG	Bedienten	NA	Bediente	word	Bedienten	9
9	NK	Bedrohung	NN	Bedrohung	word	Bedrohung	6
10	MO	im	APPRART	im	word	im	13
11	NK	geringsten	NA	Geringste	word	geringsten	10
12	OA	nichts	PIS	nichts	word	nichts	13
13	RC	machte	VVFIN	machen	word	machte	1
14	--	,	$,	,	punctuation	,	13
15	CP	ob	KOUS	ob	word	ob	18
16	OA	mich	PPER	ich	word	mich	18
17	OA	dieselben	PDAT	derselbe	word	dieselben	18
18	CJ	liebeten	ADJA	liebeten	word	liebeten	13
19	CD	oder	KON	oder	word	oder	18
20	CJ	hasseten	ADJA	hasseten	word	hasseten	19
21	--	,	$,	,	punctuation	,	20
22	--	verließ	VVFIN	verlassen	word	verließ	0
23	OA	mich	PPER	ich	word	mich	22
24	MO	auf	APPR	auf	word	auf	22
25	NK	meine	PPOSAT	mein	word	meine	26
26	NK	Wurzel	NN	Wurzel	word	Wurtzel	24
27	CD	und	KON	und	word	und	24
28	CJ	auf	APPR	auf	word	auf	27
29	NK	die	ART	d	word	die	30
30	NK	Gnade	NN	Gnade	word	Gnade	28
31	NK	meines	PPOSAT	mein	word	meines	32
32	AG	Kaisers	NN	Kaiser	word	Kaysers	30
33	--	,	$,	,	punctuation	,	32
34	CP	indem	KOUS	indem	word	indem	46
35	AG	dessen	PDAT	d	word	dessen	37
36	NK	ganzes	ADJA	ganz	word	gantzes	37
37	SB	Herz	NN	Herz	word	Hertz	46
38	MO	gleichsam	ADV	gleichsam	word	gleichsam	46
39	MO	wegen	APPR	wegen	word	wegen	46
40	NK	meiner	PPOSAT	mein	word	meiner	42
41	NK	wunderbaren	ADJA	wunderbar	word	wunderbaren	42
42	NK	Kunst	NN	Kunst	word	Kunst	39
43	MNR	in	APPR	in	word	in	42
44	NK	den	ART	d	word	den	45
45	NK	Händen	NN	Hand	word	Haͤnden	43
46	MO	hatte	VAFIN	haben	word	hatte	60
47	--	,	$,	,	punctuation	,	46
48	MO	auch	ADV	auch	word	auch	49
49	SB	alles	PIAT	all	word	alles	60
50	OA	dasjenige	PDS	derjenige	word	dasjenige	59
51	--	,	$,	,	punctuation	,	50
52	SB	was	PWREL	was	word	was	55
53	MO	nur	ADV	nur	word	nur	55
54	MO	immer	ADV	immer	word	immer	55
55	RC	verlangte	VVFIN	verlangen	word	verlangete	50
56	CD	und	KON	und	word	und	55
57	CJ	begehrte	VVFIN	begehren	word	begehrete	56
58	--	,	$,	,	punctuation	,	57
59	OC	erhalten	VVINF	erhalten	word	erhalten	60
60	RC	konnte	VMFIN	können	word	konte	17
61	--	.	SENT	.	punctuation	.	60

1	NK	Solche	PIAT	solcher	word	Solche	2
2	SB	Freude	NN	Freude	word	Freude	6
3	MO	aber	ADV	aber	word	aber	2
4	CD	und	KON	und	word	und	2
5	CJ	Vergbüglichkeit	NN	Vergbüglichkeit	word	Vergbuͤglichkeit	4
6	--	dauerte	VVFIN	dauern	word	dauerte	0
7	MO	bei	APPR	bei	word	bey	6
8	NK	mir	PPER	ich	word	mir	7
9	NG	nicht	PTKNEG	nicht	word	nicht	10
10	MO	allzulange	ADV	allzulange	word	allzulange	6
11	--	,	$,	,	punctuation	,	10
12	CD	sondern	KON	sondern	word	sondern	6
13	CJ	nahm	VVFIN	nehmen	word	nahm	12
14	MO	in	APPR	in	word	in	13
15	NK	kurzen	ADJA	kurz	word	kurtzen	14
16	NK	ein	ART	ein	word	ein	20
17	NK	betrübtes	ADJA	betrübtes	word	betruͤbtes	20
18	CD	und	KON	und	word	und	17
19	CJ	trauriges	ADJA	traurig	word	trauriges	18
20	OA	Ende	NN	Ende	word	Ende	13
21	--	,	$,	,	punctuation	,	20
22	SB	welches	PRELS	welch	word	welches	25
23	MO	nun	ADV	nun	word	nun	25
24	MO	kürzlich	ADJD	kürzlich	word	kuͤrtzlich	25
25	RC	erwägen	VVINF	erwägen	word	erwegen	20
26	CD	und	KON	und	word	und	25
27	OC	erzählen	VVINF	erzählen	word	erzehlen	28
28	CJ	werde	VAFIN	werden	word	werde	26
29	--	.	SENT	.	punctuation	.	28

1	SB	Es	PPER	es	word	Es	2
2	--	geschahe	VVFIN	geschehen	word	geschahe	0
3	MO	nämlich	ADV	nämlich	word	nemlich	2
4	--	,	$,	,	punctuation	,	3
5	CP	daß	KOUS	daß	word	daß	22
6	SB	einsmalen	ADV	einsmalen	word	einsmalen	25
7	NK	dieser	PDAT	dies	word	dieser	9
8	NK	türkische	ADJA	türkisch	word	tuͤrckische	9
9	SB	Kaiser	NN	Kaiser	word	Kayser	22
10	NK	mein	PPOSAT	mein	word	mein	12
11	NK	gnädigster	ADJA	gnädigster	word	gnaͤdigster	12
12	SB	Herr	NN	Herr	word	Herr	22
13	--	,	$,	,	punctuation	,	12
14	NK	seinen	PPOSAT	sein	word	seinen	16
15	NK	sämtlichen	PIAT	sämtlicher	word	saͤmtlichen	16
16	APP	Bedienten	NA	Bediente	word	Bedienten	12
17	--	,	$,	,	punctuation	,	16
18	SB	worunter	ADV	worunter	word	worunter	22
19	MO	ebenfalls	ADV	ebenfalls	word	ebenfalls	22
20	MO	mit	ADV	mit	word	mit	21
21	PD	begriffen	VVPP	begreifen	word	begriffen	22
22	RE	war	VAFIN	sein	word	war	1
23	--	,	$,	,	punctuation	,	22
24	OC	erlaubet	VVPP	erlauben	word	erlaubet	25
25	CJ	hatte	VAFIN	haben	word	hatte	22
26	--	,	$,	,	punctuation	,	25
27	DA	sich	PRF	er|es|sie	word	sich	40
28	MO	unter	APPR	unter	word	unter	35
29	NK	einander	PRF	einander	word	einander	28
30	NK	einige	PIAT	einig	word	einige	31
31	OA	Lust	NN	Lust	word	Lust	35
32	CD	und	KON	und	word	und	31
33	CJ	Vergnügen	NN	Vergnügen	word	Vergnuͤgen	32
34	PM	zu	PTKZU	zu	word	zu	35
35	OC	machen	VVINF	machen	word	machen	21
36	--	,	$,	,	punctuation	,	35
37	MO	auch	ADV	auch	word	auch	40
38	MO	dabei	PAV	dabei	word	darbey	40
39	MO	allergnädigst	ADJD	allergnädigst	word	allergnaͤdigst	40
40	OC	versprochen	VVPP	versprechen	word	versprochen	25
41	--	,	$,	,	punctuation	,	40
42	CP	daß	KOUS	daß	word	daß	51
43	MO	zu	APPR	zu	word	zu	51
44	NK	solcher	PIAT	solch	word	solcher	45
45	NK	Lustbarkeit	NN	Lustbarkeit	word	Lustbarkeit	43
46	NK	Bier	NN	Bier	word	Bier	45
47	CD	und	KON	und	word	und	46
48	CJ	Wein	NN	Wein	word	Wein	47
49	MNR	im	APPRART	im	word	im	45
50	NK	Überfluß	NN	Überfluß	word	Ueberfluß	49
51	OC	sollte	VMFIN	sollen	word	solte	40
52	MO	herbei	PTKVZ	herbei	word	herbey	51
53	OC	geschafft	VVPP	schaffen	word	geschaffet	54
54	OC	werden	VAINF	werden	word	werden	51
55	--	,	$,	,	punctuation	,	54
56	SB	welches	PRELS	welch	word	welches	71
57	MO	auch	ADV	auch	word	auch	62
58	MO	nachgehend	ADJA	nachgehend	word	nachgehends	62
59	NK	seinen	PPOSAT	sein	word	seinen	61
60	NK	glücklichen	ADJA	glücklich	word	gluͤcklichen	61
61	OA	Fortgang	NN	Fortgang	word	Fortgang	62
62	OC	gewohne	VVFIN	gewohne	word	gewonne	71
