Gesetzsammlung	NN	Gesetzsammlung
verpflichtet	VVPP	verpflichten
,	$,	,
den	PRELS	die
innerhalb	APPR	innerhalb
ihrer	PPOSAT	ihr
Zuständigkeit	NN	Zuständigkeit
gegebenen	ADJA	gegeben
Anordnungen	NN	Anordnung
der	ART	die
Gemeinschaftsorgane	NN	Gemeinschaftsorgan
Folge	NN	Folge
zu	PTKZU	zu
leisten	VVINF	leisten
.	$.	.
Die	ART	die
innerhalb	APPR	innerhalb
der	ART	die
Zuständigkeit	NN	Zuständigkeit
erlassenen	ADJA	erlassen
Gemeinschaftsgesetze	NN	Gemeinschaftsgesetze
und	KON	und
=	$(	=
Verordnungen	NN	Verordnung
haben	VAFIN	haben
verbindliche	ADJA	verbindlich
Kraft	NN	Kraft
für	APPR	für
das	ART	die
gesamte	ADJA	gesamt
Gebiet	NN	Gebiet
aller	PIAT	alle
Einzelstaaten	NN	Einzelstaat
;	$.	;
sie	PPER	sie
gehen	VVFIN	gehen
den	ART	die
Landesgesetzen	NN	Landesgesetz
und	KON	und
=	$(	=
Verordnungen	NN	Verordnung
dieser	PDAT	dies
Staaten	NN	Staat
vor	PTKVZ	vor
.	$.	.
Artikel	NN	Artikel
17	CARD	@card@
.	$.	.
Der	ART	die
Volksrat	NN	Volksrat
ist	VAFIN	sein
zuständig	ADJD	zuständig
zur	APPRART	zu+die
Beilegung	NN	Beilegung
und	KON	und
Entscheidung	NN	Entscheidung
aller	PIAT	alle
Streitfälle	NN	Streitfall
zwischen	APPR	zwischen
den	ART	die
Einzelstaaten	NN	Einzelstaat
mit	APPR	mit
Ausnahme	NN	Ausnahme
der	ART	die
Streitfälle	NN	Streitfall
nach	APPR	nach
Artikel	NN	Artikel
3	CARD	@card@
.	$.	.
Artikel	NN	Artikel
18	CARD	@card@
.	$.	.
Eine	ART	eine
Abänderung	NN	Abänderung
dieses	PDAT	dies
Vertrags	NN	Vertrag
oder	KON	oder
die	ART	die
Aufhebung	NN	Aufhebung
der	ART	die
Gemeinschaft	NN	Gemeinschaft
kann	VMFIN	können
nur	ADV	nur
im	APPRART	in+die
Einverständnis	NN	Einverständnis
aller	PIAT	alle
Staaten	NN	Staat
oder	KON	oder
durch	APPR	durch
einstimmigen	ADJA	einstimmig
Beschluß	NN	Beschluss
des	ART	die
Volksrates	NN	Volksrates
erfolgen	VVINF	erfolgen
.	$.	.
Artikel	NN	Artikel
19	CARD	@card@
.	$.	.
Dieser	PDAT	dies
Gemeinschaftsvertrag	NN	Gemeinschaftsvertrag
tritt	VVFIN	treten
am	APPRART	an+die
1	CARD	@card@
.	$.	.
Juli	NN	Juli
1919	CARD	@card@
in	APPR	in
Kraft	NN	Kraft
.	$.	.
Alle	PIAT	alle
entgegenstehenden	ADJA	entgegenstehend
gesetzlichen	ADJA	gesetzlich
Vorschriften	NN	Vorschrift
und	KON	und
vertraglichen	ADJA	vertraglich
Bindungen	NN	Bindung
der	ART	die
Einzelstaaten	NN	Einzelstaat
treten	VVFIN	treten
außer	APPR	außer
Kraft	NN	Kraft
.	$.	.
Artikel	NN	Artikel
20	CARD	@card@
.	$.	.
An	APPR	an
Stelle	NN	Stelle
der	ART	die
Ratifikation	NN	Ratifikation
legt	VVFIN	legen
die	ART	die
Regierung	NN	Regierung
jedes	PIAT	jede
Einzelstaates	NN	Einzelstaates
eine	ART	eine
Ausfertigung	NN	Ausfertigung
des	ART	die
Gemeinschaftsvertrages	NN	Gemeinschaftsvertrages
bei	APPR	bei
der	ART	die
Staatsregierung	NN	Staatsregierung
in	APPR	in
Weimar	NE	Weimar
nieder	PTKVZ	nieder
.	$.	.
Sobald	KOUS	sobald
sämtliche	PIAT	sämtliche
Urkunden	NN	Urkunde
niedergelegt	VVPP	niederlegen
sind	VAFIN	sein
,	$,	,
teilt	VVFIN	teilen
die	ART	die
Staatsregierung	NN	Staatsregierung
in	APPR	in
Weimar	NE	Weimar
dies	PDAT	dies
den	ART	die
Regierungen	NN	Regierung
der	ART	die
Einzelstaaten	NN	Einzelstaat
mit	PTKVZ	mit
.	$.	.
Der	ART	die
Abschluß	NN	Abschluss
des	ART	die
Vertrages	NN	Vertrag
wird	VAFIN	werden
von	APPR	von
den	ART	die
Regierungen	NN	Regierung
bekanntgegeben	VVPP	bekanntgeben
.	$.	.
Anlage	NN	Anlage
B.	NE	B.
Nachtrag	NN	Nachtrag
zum	APPRART	zu+die
Gemeinschaftsvertrag	NN	Gemeinschaftsvertrag
über	APPR	über
den	ART	die
Zusammenschluß	NN	Zusammenschluss
der	ART	die
thüringischen	ADJA	thüringisch
Staaten	NN	Staat
.	$.	.
Nachdem	KOUS	nachdem
der	ART	die
Gemeinschaftsvertrag	NN	Gemeinschaftsvertrag
von	APPR	von
den	ART	die
Volksvertretungen	NN	Volksvertretung
von	APPR	von
Sachsen	NE	Sachsen
=	$(	=
Weimar	NE	Weimar
=	$(	=
Eisenach	NE	Eisenach
,	$,	,
Sachsen	NE	Sachsen
=	$(	=
Altenburg	NN	Altenburg
,	$,	,
Sachsen	NE	Sachsen
=	$(	=
Gotha	NE	Gotha
,	$,	,
Schwarzburg	NN	Schwarzburg
=	$(	=
Rudolfstadt	NN	Rudolfstadt
,	$,	,
Schwarzburg	NN	Schwarzburg
=	$(	=
Sondershausen	NN	Sondershausen
und	KON	und
Reuß	NN	Reuß
angenommen	VVPP	annehmen
worden	VAPP	werden
ist	VAFIN	sein
,	$,	,
aber	KON	aber
die	ART	die
Zustimmung	NN	Zustimmung
der	ART	die
Volksvertretungen	NN	Volksvertretung
von	APPR	von
Sachsen	NE	Sachsen
=	$(	=
Meiningen	NE	Meiningen
und	KON	und
Sachsen	NE	Sachsen
=	$(	=
Coburg	NN	Coburg
noch	ADV	noch
nicht	PTKNEG	nicht
gefunden	VVPP	finden
hat	VAFIN	haben
,	$,	,
haben	VAFIN	haben
die	ART	die
erstgenannten	ADJA	erstgenannt
thüringischen	ADJA	thüringisch
Staaten	NN	Staat
folgenden	ADJA	folgend
Nachtrag	NN	Nachtrag
zum	APPRART	zu+die
Gemeinschaftsvertrag	NN	Gemeinschaftsvertrag
abgeschlossen	VVPP	abschließen
,	$,	,
der	ART	die
hiermit	PAV	hiermit
zugleich	ADV	zugleich
die	ART	die
verfassungsmäßige	ADJA	verfassungsmäßig
Genehmigung	NN	Genehmigung
des	ART	die
Landtags	NN	Landtag
erhält	VVFIN	erhalten
:	$.	:
§	NN	§
1	CARD	@card@
.	$.	.
Der	ART	die
Gemeinschaftsvertrag	NN	Gemeinschaftsvertrag
gilt	VVFIN	gelten
als	KOKOM	als
zwischen	APPR	zwischen
den	ART	die
Staaten	NN	Staat
Sachsen	NE	Sachsen
=	$(	=
Weimar	NE	Weimar
=	$(	=
Eisenach	NE	Eisenach
,	$,	,
Sachsen	NE	Sachsen
=	$(	=
Altenburg	NN	Altenburg
,	$,	,
Sachsen	NE	Sachsen
=	$(	=
Gotha	NE	Gotha
,	$,	,
Schwarzburg	NN	Schwarzburg
=	$(	=
Rudolfstadt	NN	Rudolfstadt
,	$,	,
Schwarzburg	NN	Schwarzburg
=	$(	=
Sondershausen	NN	Sondershausen
und	KON	und
Reuß	NN	Reuß
abgeschlossen	VVPP	abschließen
.	$.	.
Sachsen	NE	Sachsen
=	$(	=
Meiningen	NE	Meiningen
und	KON	und
Sachsen	NE	Sachsen
=	$(	=
Coburg	NN	Coburg
bleibt	VVFIN	bleiben
der	ART	die
Beitritt	NN	Beitritt
zu	APPR	zu
dem	ART	die
Gemeinschaftsvertrage	NN	Gemeinschaftsvertrage
offen	ADJD	offen
.	$.	.
Solange	KOUS	solange
Sachsen	NE	Sachsen
=	$(	=
Meiningen	NE	Meiningen
und	KON	und
Sachsen	NE	Sachsen
=	$(	=
Coburg	NN	Coburg
noch	ADV	noch
nicht	PTKNEG	nicht
beigetreten	VVPP	beitreten
sind	VAFIN	sein
,	$,	,
haben	VAFIN	haben
ihre	PPOSAT	ihr
Regierungsvertreten	NN	Regierungsvertreten
im	APPRART	in+die
Staatsrat	NN	Staatsrat
und	KON	und
ihre	PPOSAT	ihr
Volksvertreter	NN	Volksvertreter
im	APPRART	in+die
Volksrat	NN	Volksrat
beratende	ADJA	beratend
Stimme	NN	Stimme
.	$.	.
Der	ART	die
Volksrat	NN	Volksrat
kann	VMFIN	können
diese	PDAT	dies
Vorschrift	NN	Vorschrift
aufheben	VVINF	aufheben
oder	KON	oder
abändern	VVINF	abändern
,	$,	,
auch	ADV	auch
eine	ART	eine
Frist	NN	Frist
für	APPR	für
ihre	PPOSAT	ihr
Geltungsdauer	NN	Geltungsdauer
setzen	VVFIN	setzen
.	$.	.
