Wer	PWS	wer
der	ART	die
Nachweis	NN	Nachweis
geführt	VVPP	führen
,	$,	,
daß	KOUS	dass
diese	PDAT	dies
Strahlung	NN	Strahlung
von	APPR	von
oben	ADV	oben
kommt	VVFIN	kommen
.	$.	.
Andere	PIAT	andere
Herren	NN	Herr
(	$(	(
Heß	NE	Heß
,	$,	,
Kolhörster	NN	Kolhörster
)	$(	)
,	$,	,
die	PRELS	die
sich	PRF	sich
in	APPR	in
noch	ADV	noch
größere	ADJA	groß
Höhen	NN	Höhe
erheben	VVINF	erheben
konnten	VMFIN	können
,	$,	,
der	ART	die
letztere	ADJA	letzt
bis	KON	bis
10,000	ADJA	@card@
M.	NE	M.
,	$,	,
haben	VAFIN	haben
dann	ADV	dann
weiter	ADV	weiter
gefunden	VVPP	finden
,	$,	,
daß	KOUS	dass
diese	PDAT	dies
Strahlung	NN	Strahlung
mit	APPR	mit
der	ART	die
Höhe	NN	Höhe
sogar	ADV	sogar
noch	ADV	noch
recht	ADJD	recht
beträchtlich	ADJD	beträchtlich
zunimmt	VVFIN	zunehmen
.	$.	.
In	APPR	in
1000	CARD	@card@
M.	APPR	m.
Höhe	NN	Höhe
wird	VAFIN	werden
pro	APPR	pro
Sekunde	NN	Sekunde
im	APPRART	in+die
Kubikzentimeter	NN	Kubikzentimeter
Luft	NN	Luft
etwa	ADV	etwa
ein	ART	eine
Ionenpaar	NN	Ionenpaar
weniger	ADV	weniger
erzeugt	VVPP	erzeugen
als	KOKOM	als
in	APPR	in
der	ART	die
Nähe	NN	Nähe
des	ART	die
Erdbodens	NN	Erdboden
,	$,	,
in	APPR	in
4000	CARD	@card@
M.	APPR	m.
Höhe	NN	Höhe
aber	ADV	aber
schon	ADV	schon
mindestens	ADV	mindestens
4	CARD	@card@
mehr	ADV	mehr
,	$,	,
und	KON	und
von	APPR	von
da	ADV	da
an	APZR	an
geht	VVFIN	gehen
die	ART	die
Zunahme	NN	Zunahme
so	ADV	so
rasch	ADJD	rasch
,	$,	,
daß	KOUS	dass
Kolhörster	NN	Kolhörster
in	APPR	in
9000	CARD	@card@
M.	APPR	m.
Höhe	NN	Höhe
schon	ADV	schon
eine	ART	eine
Mehrerzeugung	NN	Mehrerzeugung
von	APPR	von
80	CARD	@card@
Ionenpaaren	NN	Ionenpaaren
pro	APPR	pro
Kubikzentimeter	NN	Kubikzentimeter
und	KON	und
Sekunde	NN	Sekunde
fand	VVFIN	finden
.	$.	.
Der	ART	die
Apparat	NN	Apparat
,	$,	,
dessen	PRELS	die
man	PIS	man
sich	PRF	sich
jetzt	ADV	jetzt
bei	APPR	bei
diesen	PDAT	dies
Untersuchungen	NN	Untersuchung
bedient	VVPP	bedienen
,	$,	,
ist	VAFIN	sein
von	APPR	von
Professor	NN	Professor
Wulf	NE	Wulf
,	$,	,
S.	NE	S.
J.	NE	J.
konstruiert	VVPP	konstruieren
worden	VAPP	werden
.	$.	.
Ich	PPER	ich
habe	VAFIN	haben
mit	APPR	mit
demselben	PDAT	dieselb
Apparat	NN	Apparat
und	KON	und
mit	APPR	mit
teilweiser	ADJA	teilweise
freundlicher	ADJA	freundlich
Beihilfe	NN	Beihilfe
von	APPR	von
Herrn	NN	Herr
Wulf	NE	Wulf
Untersuchungen	NN	Untersuchung
im	APPRART	in+die
Gebirge	NN	Gebirge
vorgenommen	VVPP	vornehmen
.	$.	.
Wir	PPER	wir
haben	VAFIN	haben
den	ART	die
Apparat	NN	Apparat
in	APPR	in
Gletscherspalten	NN	Gletscherspalte
versenkt	VVPP	versenken
,	$,	,
um	KOUI	um
die	ART	die
Absorption	NN	Absorption
der	ART	die
Strahlung	NN	Strahlung
durch	APPR	durch
das	ART	die
Eis	NN	Eis
zu	PTKZU	zu
messen	VVINF	messen
.	$.	.
Zum	APPRART	zu+die
gleichen	ADJA	gleich
Zweck	NN	Zweck
,	$,	,
d.	PDS	d.
h.	VVFIN	heißen
Messung	NN	Messung
der	ART	die
Absorption	NN	Absorption
in	APPR	in
Wasser	NN	Wasser
,	$,	,
wurde	VAFIN	werden
er	PPER	er
später	ADJD	spät
mit	APPR	mit
freundlicher	ADJA	freundlich
Beihilfe	NN	Beihilfe
des	ART	die
Direktors	NN	Direktor
der	ART	die
Friedrichshafener	ADJA	Friedrichshafener
Drachenstation	NN	Drachenstation
,	$,	,
Kleinschmidt	NE	Kleinschmidt
,	$,	,
im	APPRART	in+die
Bodensee	NE	Bodensee
bis	KON	bis
zu	APPR	zu
Tiefen	NN	Tiefe
von	APPR	von
8	CARD	@card@
m.	APPR	m.
versenkt	VVPP	versenken
.	$.	.
Derselbe	PDAT	derselb
Herr	NN	Herr
hatte	VAFIN	haben
auf	APPR	auf
mein	PPOSAT	mein
Ersuchen	NN	Ersuchen
hin	ADV	hin
auch	ADV	auch
die	ART	die
Freundlichkeit	NN	Freundlichkeit
,	$,	,
längere	ADJA	lang
Zeit	NN	Zeit
hindurch	ADV	hindurch
Messungen	NN	Messung
in	APPR	in
einem	ART	eine
kleinen	ADJA	klein
Boot	NN	Boot
auf	APPR	auf
dem	ART	die
Bodensee	NE	Bodensee
auszuführen	VVIZU	ausführen
.	$.	.
Da	KOUS	da
Wasser	NN	Wasser
nur	ADV	nur
ganz	ADV	ganz
unbedeutende	ADJA	unbedeutend
Mengen	NN	Menge
radioaktiver	ADJA	radioaktiv
Materie	NN	Materie
enthält	VVFIN	enthalten
,	$,	,
so	ADV	so
kam	VVFIN	kommen
bei	APPR	bei
diesen	PDAT	dies
Beobachtungen	NN	Beobachtung
fast	ADV	fast
ausschließlich	ADV	ausschließlich
der	ART	die
von	APPR	von
oben	ADV	oben
kommende	ADJA	kommend
Anteil	NN	Anteil
der	ART	die
Strahlung	NN	Strahlung
zur	APPRART	zu+die
Messung	NN	Messung
.	$.	.
Dasselbe	PDS	dasselbe
war	VAFIN	sein
in	APPR	in
noch	ADV	noch
höherem	ADJA	hoch
Maße	NN	Maß
der	ART	die
Fall	NN	Fall
bei	APPR	bei
den	ART	die
Messungen	NN	Messung
auf	APPR	auf
Gletschern	NN	Gletscher
.	$.	.
Auch	ADV	auch
diese	PDAT	dies
Beobachtungen	NN	Beobachtung
führten	VVFIN	führen
zu	APPR	zu
dem	ART	die
Resultat	NN	Resultat
,	$,	,
daß	KOUS	dass
die	ART	die
von	APPR	von
oben	ADV	oben
kommende	ADJA	kommend
Strahlung	NN	Strahlung
mit	APPR	mit
der	ART	die
Höhe	NN	Höhe
zunimmt	VVFIN	zunehmen
;	$.	;
auf	APPR	auf
dem	ART	die
Aletschgletscher	NE	Aletschgletscher
machte	VVFIN	machen
sich	PRF	sich
diese	PDAT	dies
Zunahme	NN	Zunahme
schon	ADV	schon
bei	APPR	bei
einer	ART	eine
Erhebung	NN	Erhebung
um	APPR	um
etwa	ADV	etwa
500	CARD	@card@
M.	NE	M.
bemerkbar	ADJD	bemerkbar
.	$.	.
Bemerkenswert	ADJD	bemerkenswert
war	VAFIN	sein
auch	ADV	auch
,	$,	,
daß	KOUS	dass
,	$,	,
als	KOUS	als
der	ART	die
Apparat	NN	Apparat
mit	APPR	mit
Hilfe	NN	Hilfe
eines	ART	eine
Fesselballons	NN	Fesselballon
3	CARD	@card@
-	$(	-
500	CARD	@card@
m.	APPR	m.
über	APPR	über
den	ART	die
Bodensee	NE	Bodensee
erhoben	VVPP	erheben
wurde	VAFIN	werden
,	$,	,
keine	PIAT	keine
oder	KON	oder
nur	ADV	nur
eine	ART	eine
geringe	ADJA	gering
Abnahme	NN	Abnahme
der	ART	die
Strahlung	NN	Strahlung
festgestellt	VVPP	feststellen
wurde	VAFIN	werden
,	$,	,
da	KOUS	da
die	ART	die
Strahlung	NN	Strahlung
vom	APPRART	von+die
Wasser	NN	Wasser
her	APZR	her
nur	ADV	nur
ganz	ADV	ganz
unbedeutend	ADJD	unbedeutend
ist	VAFIN	sein
,	$,	,
und	KON	und
die	ART	die
Strahlung	NN	Strahlung
vom	APPRART	von+die
Ufer	NN	Ufer
her	APZR	her
einen	ART	eine
längeren	ADJA	lang
Weg	NN	Weg
in	APPR	in
der	ART	die
Atmosphäre	NN	Atmosphäre
zurückzulegen	VVIZU	zurücklegen
hatte	VAFIN	haben
.	$.	.
Über	APPR	über
drei	CARD	drei
Wochen	NN	Woche
sich	PRF	sich
erstreckende	ADJA	erstreckend
Untersuchungen	NN	Untersuchung
auf	APPR	auf
dem	ART	die
Gipfel	NN	Gipfel
des	ART	die
3000	CARD	@card@
m.	APPR	m.
hohen	ADJA	hoch
Piz	NN	Piz
Languard	NE	Languard
,	$,	,
die	PRELS	die
auf	APPR	auf
mein	PPOSAT	mein
Ersuchen	NN	Ersuchen
Sekundarlehrer	NN	Sekundarlehrer
Meyer	NE	Meyer
ausführte	VVFIN	ausführen
,	$,	,
ergaben	VVFIN	ergeben
eine	ART	eine
merkwürdige	ADJA	merkwürdig
zeitliche	ADJA	zeitlich
Konstanz	NN	Konstanz
der	ART	die
durchdringenden	ADJA	durchdringend
Strahlung	NN	Strahlung
,	$,	,
ein	ART	eine
Resultat	NN	Resultat
,	$,	,
das	PRELS	die
später	ADJD	spät
durch	APPR	durch
sich	PRF	sich
über	APPR	über
I	FM	I
Jahr	NN	Jahr
erstreckende	ADJA	erstreckend
Messungen	NN	Messung
von	APPR	von
Heß	NE	Heß
auf	APPR	auf
dem	ART	die
Obir	NN	Obir
,	$,	,
in	APPR	in
2000	CARD	@card@
M.	APPR	m.
Höhe	NN	Höhe
,	$,	,
bestätigt	VVPP	bestätigen
wurde	VAFIN	werden
.	$.	.
Für	APPR	für
vielfache	ADJA	vielfach
Förderung	NN	Förderung
meiner	PPOSAT	mein
Arbeiten	NN	Arbeit|Arbeiten
bin	VAFIN	sein
ich	PPER	ich
der	ART	die
schweizerischen	ADJA	schweizerisch
naturforschenden	ADJA	naturforschenden
Gesellschaft	NN	Gesellschaft
zu	APPR	zu
Dank	NN	Dank
verpﬂichtet	VVFIN	verpﬂichtet
.	$.	.
Was	PWS	was
ist	VAFIN	sein
nun	ADV	nun
die	ART	die
Ursache	NN	Ursache
dieser	PDAT	dies
merkwürdigen	ADJA	merkwürdig
Strahlung	NN	Strahlung
?	$.	?
Der	ART	die
nächstliegende	ADJA	nächstliegend
Gedanke	NN	Gedanke
war	VAFIN	sein
,	$,	,
ihren	PPOSAT	ihr
Ursprung	NN	Ursprung
auf	APPR	auf
der	ART	die
Sonne	NN	Sonne
zu	PTKZU	zu
suchen	VVINF	suchen
.	$.	.
Aber	KON	aber
dieser	PDAT	dies
Vermutung	NN	Vermutung
stellen	VVFIN	stellen
sich	PRF	sich
Schwierigkeiten	NN	Schwierigkeit
entgegen	PTKVZ	entgegen
.	$.	.
Wie	KOKOM	wie
schon	ADV	schon
meine	PPOSAT	mein
Messungen	NN	Messung
in	APPR	in
Freiburg	NE	Freiburg
,	$,	,
besser	ADJD	gut
aber	KON	aber
noch	ADV	noch
die	ART	die
auf	APPR	auf
dem	ART	die
Piz	NN	Piz
Languard	NE	Languard
,	$,	,
wo	PWAV	wo
die	ART	die
von	APPR	von
oben	ADV	oben
kommende	ADJA	kommend
Strahlung	NN	Strahlung
stärker	ADJD	stark
ist	VAFIN	sein
,	$,	,
zeigten	VVFIN	zeigen
,	$,	,
weist	VVFIN	weisen
die	ART	die
durchdringende	ADJA	durchdringend
Strahlung	NN	Strahlung
keine	PIAT	keine
tägliche	ADJA	täglich
Schwankung	NN	Schwankung
auf	PTKVZ	auf
;	$.	;
selbst	ADV	selbst
zwischen	APPR	zwischen
Tag	NN	Tag
und	KON	und
Nacht	NN	Nacht
zeigt	VVFIN	zeigen
sich	PRF	sich
nicht	PTKNEG	nicht
der	ART	die
geringste	ADJA	gering
Unterschied	NN	Unterschied
,	$,	,
und	KON	und
auch	ADV	auch
Sonnenﬁnsternisse	NN	Sonnenﬁnsternisse
üben	VVFIN	üben
keinen	PIAT	keine
Einﬂuß	NN	Einﬂuß
auf	APPR	auf
dieselbe	PDS	dieselbe
aus	PTKVZ	aus
.	$.	.
Nun	ADV	nun
kennen	VVFIN	kennen
wir	PPER	wir
wohl	ADV	wohl
eine	ART	eine
von	APPR	von
der	ART	die
Sonne	NN	Sonne
ausgehende	ADJA	ausgehend
Strahlung	NN	Strahlung
,	$,	,
die	PRELS	die
auch	ADV	auch
auf	APPR	auf
die	ART	die
Nachtseite	NN	Nachtseite
der	ART	die
Erde	NN	Erde
gelangt	VVPP	gelangen|langen
:	$.	:
es	PPER	es
ist	VAFIN	sein
die	ART	die
Polarlichtstrahlung	NN	Polarlichtstrahlung
—	$,	—
ich	PPER	ich
werde	VAFIN	werden
gleich	ADJD	gleich
davon	PAV	davon
reden	VVINF	reden
—	$,	—
aber	KON	aber
diese	PDAT	dies
Strahlung	NN	Strahlung
ist	VAFIN	sein
derart	ADV	derart
beschaffen	VVINF	beschaffen
,	$,	,
daß	KOUS	dass
sie	PPER	sie
durch	APPR	durch
das	ART	die
magnetische	ADJA	magnetisch
Erdfeld	NN	Erdfeld
aus	APPR	aus
ihrer	PPOSAT	ihr
geraden	ADJA	gerade
Richtung	NN	Richtung
abgelenkt	VVPP	ablenken
und	KON	und
auf	APPR	auf
die	ART	die
von	APPR	von
der	ART	die
Sonne	NN	Sonne
abgewandte	ADJA	abgewandt
Seite	NN	Seite
der	ART	die
Erde	NN	Erde
geleitet	VVPP	geleiten|leiten
werden	VAINF	werden
kann	VMFIN	können
.	$.	.
Nach	APPR	nach
unseren	PPOSAT	unser
Erfahrungen	NN	Erfahrung
im	APPRART	in+die
Laboratorium	NN	Laboratorium
müssen	VMFIN	müssen
wir	PPER	wir
es	PPER	es
aber	ADV	aber
als	KOKOM	als
unmöglich	ADJD	unmöglich
ansehen	VVINF	ansehen
,	$,	,
daß	KOUS	dass
eine	ART	eine
Strahlung	NN	Strahlung
von	APPR	von
dem	ART	die
außerordentlich	ADJD	außerordentlich
hohen	ADJA	hoch
Durchdringungsvermögen	NN	Durchdringungsvermögen
der	ART	die
in	APPR	in
Rede	NN	Rede
stehenden	ADJA	stehend
magnetisch	ADJD	magnetisch
ablenkbar	ADJD	ablenkbar
ist	VAFIN	sein
.	$.	.
Am	APPRART	an+die
meisten	PIAT	meist
Ähnlichkeit	NN	Ähnlichkeit
hat	VAFIN	haben
unsere	PPOSAT	unser
rätselhafte	ADJA	rätselhaft
Strahlung	NN	Strahlung
immer	ADV	immer
noch	ADV	noch
mit	APPR	mit
den	ART	die
von	APPR	von
radioaktiven	ADJA	radioaktiv
Stoffen	NN	Stoff
ausgehenden	ADJA	ausgehend
,	$,	,
durchdringenden	ADJA	durchdringend
,	$,	,
sogenannten	ADJA	sogenannt
y	NN	Y
—	$,	—
Strahlen	NN	Strahl|Strahlen
.	$.	.
Man	PIS	man
hat	VAFIN	haben
deshalb	PAV	deshalb
die	ART	die
Annahme	NN	Annahme
gemacht	VVPP	machen
,	$,	,
daß	KOUS	dass
in	APPR	in
unserer	PPOSAT	unser
Atmosphäre	NN	Atmosphäre
in	APPR	in
einer	ART	eine
Höhe	NN	Höhe
von	APPR	von
ungefähr	ADJD	ungefähr
I7	ADJA	I7
Km	NN	km
.	$.	.
radioaktive	ADJA	radioaktiv
Substanzen	NN	Substanz
schweben	VVFIN	schweben
.	$.	.
Zu	APPR	zu
Gunsten	NN	Gunst
dieser	PDAT	dies
Ansicht	NN	Ansicht
wurde	VAFIN	werden
auch	ADV	auch
der	ART	die
Umstand	NN	Umstand
hervorgehoben	VVPP	hervorheben
,	$,	,
daß	KOUS	dass
am	APPRART	an+die
18	CARD	@card@
.	$.	.
Mai	NN	Mai
1910	CARD	@card@
,	$,	,
zur	APPRART	zu+die
Zeit	NN	Zeit
des	ART	die
Durchganges	NN	Durchgang
der	ART	die
Erde	NN	Erde
durch	APPR	durch
den	ART	die
Schweif	NN	Schweif
des	ART	die
Halleyschen	NN	Halleyschen
Kometen	NN	Komet
,	$,	,
an	APPR	an
vielen	PIAT	viele
Orten	NN	Ort|Orten
der	ART	die
Erde	NN	Erde
,	$,	,
u.	KON	und
a.	APPR	a.
auch	ADV	auch
hier	ADV	hier
,	$,	,
dann	ADV	dann
aber	ADV	aber
auch	ADV	auch
in	APPR	in
Italien	NE	Italien
,	$,	,
Sibirien	NE	Sibirien
,	$,	,
Tunis	NE	Tunis
,	$,	,
Kanada	NE	Kanada
,	$,	,
teils	ADV	teils
eine	ART	eine
Erhöhung	NN	Erhöhung
der	ART	die
durchdringenden	ADJA	durchdringend
Strahlung	NN	Strahlung
,	$,	,
teils	ADV	teils
eine	ART	eine
solche	PIS	solche
der	ART	die
Ionisation	NN	Ionisation
der	ART	die
Atmosphäre	NN	Atmosphäre
beobachtet	VVPP	beobachten
wurde	VAFIN	werden
.	$.	.
Es	PPER	es
wäre	VAFIN	sein
möglich	ADJD	möglich
,	$,	,
daß	KOUS	dass
bei	APPR	bei
diesem	PDAT	dies
Anlaß	NN	Anlass
radioaktive	ADJA	radioaktiv
Stoffe	NN	Stoff
,	$,	,
von	APPR	von
der	ART	die
Art	NN	Art
derjenigen	PDS	diejenige
,	$,	,
die	PRELS	die
nach	APPR	nach
obiger	ADJA	obig
Hypothese	NN	Hypothese
ständig	ADJD	ständig
in	APPR	in
der	ART	die
Atmosphäre	NN	Atmosphäre
schweben	VVINF	schweben
sollen	VMFIN	sollen
,	$,	,
in	APPR	in
größerer	ADJA	groß
Menge	NN	Menge
in	APPR	in
dieselbe	PDS	dieselbe
eingedrungen	VVPP	eindringen
sind	VAFIN	sein
.	$.	.
Ein	ART	eine
anderer	PIAT	andere
Beweis	NN	Beweis
für	APPR	für
das	ART	die
Vorhandensein	NN	Vorhandensein
solcher	PIAT	solche
radioaktiver	ADJA	radioaktiv
Schichten	NN	Schicht
in	APPR	in
der	ART	die
Atmosphäre	NN	Atmosphäre
liegt	VVFIN	liegen
allerdings	ADV	allerdings
nicht	PTKNEG	nicht
vor	PTKVZ	vor
,	$,	,
und	KON	und
es	PPER	es
spricht	VVFIN	sprechen
gegen	APPR	gegen
die	ART	die
Hypothese	NN	Hypothese
auch	ADV	auch
der	ART	die
Umstand	NN	Umstand
,	$,	,
daß	KOUS	dass
das	ART	die
Durchdringungsvermögen	NN	Durchdringungsvermögen
unserer	PPOSAT	unser
Strahlung	NN	Strahlung
immer	ADV	immer
noch	ADV	noch
siebenmal	ADV	siebenmal
größer	ADJD	groß
ist	VAFIN	sein
als	KOKOM	als
das	PDS	die
der	ART	die
raschesten	ADJA	rasch
,	$,	,
uns	PRF	wir
bekannten	ADJA	bekannt
y	NN	Y
—	$,	—
Strahlen	NN	Strahl|Strahlen
.	$.	.
Einen	ART	eine
anderen	PIAT	andere
Weg	NN	Weg
hat	VAFIN	haben
früher	ADV	früher
schon	ADV	schon
v.	APPR	von
Schweidler	NN	Schweidler
und	KON	und
in	APPR	in
neuerer	ADJA	neu
Zeit	NN	Zeit
der	ART	die
amerikanische	ADJA	amerikanisch
Forscher	NN	Forscher
Swann	ADJD	Swann
gewiesen	VVPP	weisen
.	$.	.
Wohl	ADV	wohl
den	ART	die
wenigsten	ADV	wenigsten
unter	APPR	unter
uns	PPER	wir
wird	VAFIN	werden
es	PPER	es
vergönnt	VVPP	vergönnen
gewesen	VAPP	sein
sein	VAINF	sein
,	$,	,
die	PRELS	die
unter	APPR	unter
dem	ART	die
Namen	NN	Name
Polarlichter	NN	Polarlicht
bekannten	ADJA	bekannt
prachtvollen	ADJA	prachtvoll
Lichterscheinungen	NN	Lichterscheinung
zu	PTKZU	zu
sehen	VVINF	sehen
.	$.	.
Nur	ADV	nur
selten	ADV	selten
werden	VAFIN	werden
diese	PDAT	dies
Erscheinungen	NN	Erscheinung
in	APPR	in
unseren	PPOSAT	unser
Breiten	NN	Breite
sichtbar	ADJD	sichtbar
,	$,	,
und	KON	und
dann	ADV	dann
haben	VAFIN	haben
sie	PPER	sie
viel	ADV	viel
von	APPR	von
ihrer	PPOSAT	ihr
Schönheit	NN	Schönheit
eingebüßt	VVPP	einbüßen
.	$.	.
Sie	PPER	Sie
erscheinen	VVFIN	erscheinen
bei	APPR	bei
uns	PPER	wir
als	KOKOM	als
leuchtende	ADJA	leuchtend
Strahlen	NN	Strahl|Strahlen
am	APPRART	an+die
Nordhimmel	NN	Nordhimmel
,	$,	,
in	APPR	in
mondhellen	ADJA	mondhellen
Nächten	NN	Nacht
oft	ADV	oft
schwer	ADJD	schwer
von	APPR	von
hellen	ADJA	hell
Federwolken	NN	Federwolken
zu	PTKZU	zu
unterscheiden	VVINF	unterscheiden
.	$.	.
In	APPR	in
den	ART	die
Polargegenden	NN	Polargegenden
sind	VAFIN	sein
es	PPER	es
Lichterscheinungen	NN	Lichterscheinung
der	ART	die
mannigfaltigsten	ADJA	mannigfaltig
Art	NN	Art
,	$,	,
leuchtende	ADJA	leuchtend
Draperien	NN	Draperien
,	$,	,
Kränze	NN	Kranz
,	$,	,
Kronen	NN	Krone
,	$,	,
aus	APPR	aus
denen	PRELS	die
die	ART	die
Strahlen	NN	Strahl|Strahlen
emporschießen	VVFIN	emporschießen
.	$.	.
Eigentümlich	ADJD	eigentümlich
ist	VAFIN	sein
diesem	PDAT	dies
letzteren	ADJA	letzt
,	$,	,
daß	KOUS	dass
sie	PPER	sie
in	APPR	in
der	ART	die
Richtung	NN	Richtung
der	ART	die
Kraftlinien	NN	Kraftlinie
des	ART	die
erdmagnetischen	ADJA	erdmagnetischen
Feldes	NN	Feld
verlaufen	VVFIN	verlaufen
,	$,	,
d.	PDS	d.
h.	VVFIN	heißen
nach	APPR	nach
demselben	PDAT	dieselb
Punkte	NN	Punkt
des	ART	die
Himmels	NN	Himmel
konvergieren	VVINF	konvergieren
,	$,	,
nach	APPR	nach
dem	PRELS	die
eine	ART	eine
vollkommen	ADJD	vollkommen
freibewegliche	ADJA	freibewegliche
Magnetnadel	NN	Magnetnadel
zeigt	VVFIN	zeigen
.	$.	.
Diese	PDAT	dies
Lichterscheinungen	NN	Lichterscheinung
spielen	VVFIN	spielen
sich	PRF	sich
in	APPR	in
Höhen	NN	Höhe
von	APPR	von
100	CARD	@card@
bis	KON	bis
150	CARD	@card@
Km	NN	km
.	$.	.
ab	PTKVZ	ab
.	$.	.
Manchmal	ADV	manchmal
,	$,	,
aber	ADV	aber
nicht	PTKNEG	nicht
immer	ADV	immer
,	$,	,
treten	VVFIN	treten
in	APPR	in
ihrem	PPOSAT	ihr
Gefolge	NN	Gefolge
heftige	ADJA	heftig
magnetische	ADJA	magnetisch
Störungen	NN	Störung
auf	PTKVZ	auf
.	$.	.
Der	ART	die
Beobachter	NN	Beobachter
,	$,	,
der	PRELS	die
,	$,	,
wie	KOUS	wie
ich	PPER	ich
eingangs	APPR	eingangs
erwähnte	ADJA	erwähnt
,	$,	,
in	APPR	in
den	ART	die
erschütterungsfreien	ADJA	erschütterungsfrei
Räumen	NN	Raum|Räumen
eines	ART	eine
Observatoriums	NN	Observatorium
den	ART	die
Gang	NN	Gang
der	ART	die
Magnetnadel	NN	Magnetnadel
verfolgt	VVPP	verfolgen
,	$,	,
ist	VAFIN	sein
dann	ADV	dann
erstaunt	ADJD	erstaunt
zu	PTKZU	zu
sehen	VVINF	sehen
,	$,	,
wie	KOUS	wie
die	ART	die
Nadel	NN	Nadel
in	APPR	in
heftige	ADJA	heftig
Schwankungen	NN	Schwankung
gerät	VVFIN	geraten
,	$,	,
die	PRELS	die
zwar	ADV	zwar
allmählich	ADJD	allmählich
abﬂauen	VVFIN	abﬂauen
,	$,	,
aber	ADV	aber
stunden-	TRUNC	stunden-
und	KON	und
tagelang	ADJD	tagelang
andauern	VVINF	andauern
können	VMFIN	können
,	$,	,
und	KON	und
er	PPER	er
wird	VAFIN	werden
vielleicht	ADV	vielleicht
noch	ADV	noch
erstaunter	ADJD	erstaunt
sein	VAINF	sein
,	$,	,
wenn	KOUS	wenn
er	PPER	er
nachträglich	ADJD	nachträglich
hört	VVFIN	hören
,	$,	,
daß	KOUS	dass
diese	PDAT	dies
magnetischen	ADJA	magnetisch
Störungen	NN	Störung
,	$,	,
auch	ADV	auch
magnetische	ADJA	magnetisch
Gewitter	NN	Gewitter
genannt	VVPP	nennen
,	$,	,
über	APPR	über
weiten	ADJA	weit
Länderstrecken	NN	Länderstrecken
,	$,	,
oft	ADV	oft
in	APPR	in
ganzen	ADJA	ganz
Erdteilen	NN	Erdteil
,	$,	,
genau	ADJD	genau
zu	APPR	zu
derselben	PDAT	dieselb
Sekunde	NN	Sekunde
eingesetzt	VVPP	einsetzen
haben	VAFIN	haben
.	$.	.
Ihr	PPOSAT	ihr
Auftreten	NN	Auftreten
ist	VAFIN	sein
nicht	PTKNEG	nicht
an	APPR	an
das	PDS	die
der	ART	die
Polarlichter	NN	Polarlicht
geknüpft	VVPP	knüpfen
,	$,	,
im	APPRART	in+die
Gegenteil	NN	Gegenteil
,	$,	,
der	ART	die
Zusammenhang	NN	Zusammenhang
scheint	VVFIN	scheinen
ein	ART	eine
derartiger	ADJA	derartig
zu	PTKZU	zu
sein	VAINF	sein
,	$,	,
daß	KOUS	dass
der	ART	die
Erdmagnetismus	NN	Erdmagnetismus
die	ART	die
Polarlichter	NN	Polarlicht
,	$,	,
und	KON	und
nicht	PTKNEG	nicht
etwa	ADV	etwa
umgekehrt	ADJD	umgekehrt
,	$,	,
diese	PDAT	dies
letzteren	ADJA	letzt
den	ART	die
Erdmagnetismus	NN	Erdmagnetismus
beeinﬂussen	VVFIN	beeinﬂussen
.	$.	.
Sie	PPER	Sie
können	VMFIN	können
also	ADV	also
auch	ADV	auch
selbständig	ADJD	selbständig
auftreten	VVINF	auftreten
;	$.	;
ihr	PPOSAT	ihr
Vorkommen	NN	Vorkommen
beweist	VVFIN	beweisen
aber	ADV	aber
das	ART	die
Vorhandensein	NN	Vorhandensein
stärkerer	ADJA	stark
elektrischer	ADJA	elektrisch
Ströme	NN	Strom
in	APPR	in
den	ART	die
höchsten	ADJA	hoch
Schichten	NN	Schicht
der	ART	die
Atmosphäre	NN	Atmosphäre
,	$,	,
und	KON	und
diese	PDAT	dies
Ströme	NN	Strom
stehen	VVFIN	stehen
in	APPR	in
einem	ART	eine
ausgeprägten	ADJA	ausgeprägt
Zusammenhang	NN	Zusammenhang
mit	APPR	mit
der	ART	die
Tätigkeit	NN	Tätigkeit
der	ART	die
Sonne	NN	Sonne
.	$.	.
Daß	KOUS	dass
sie	PPER	sie
wie	KOKOM	wie
die	ART	die
Sonnenﬂecken	NN	Sonnenﬂecken
eine	ART	eine
11-jährige	ADJA	11-jährig
Periode	NN	Periode
haben	VAFIN	haben
,	$,	,
war	VAFIN	sein
schon	ADV	schon
lange	ADV	lange
bekannt	ADJD	bekannt
;	$.	;
aber	KON	aber
auch	ADV	auch
im	APPRART	in+die
Jahresverlauf	NN	Jahresverlauf
fallen	VVFIN	fallen
ihre	PPOSAT	ihr
Maxima	NN	Maximum
mit	APPR	mit
denen	PDS	die
der	ART	die
Sonnenﬂeckenzahlen	NN	Sonnenﬂeckenzahlen
zusammen	PTKVZ	zusammen
.	$.	.
Und	KON	und
sie	PPER	sie
treten	VVFIN	treten
am	APPRART	an+die
häuﬁgsten	NN	häuﬁgsten
auf	PTKVZ	auf
,	$,	,
wenn	KOUS	wenn
eine	ART	eine
große	ADJA	groß
Sonnenﬂeckengruppe	NN	Sonnenﬂeckengruppe
den	ART	die
Zentralmeridian	NN	Zentralmeridian
,	$,	,
d.	PDS	d.
h.	VVFIN	heißen
von	APPR	von
der	ART	die
Erde	NN	Erde
aus	APZR	aus
gesehen	VVPP	sehen
,	$,	,
die	ART	die
Mitte	NN	Mitte
der	ART	die
Sonnenscheibe	NN	Sonnenscheibe
passiert	VVPP	passieren
.	$.	.
Zu	APPR	zu
