I.	NE	I.
Entwicklung	NN	Entwicklung
vom	APPRART	von+die
Triebwesen	NN	Triebwesen
zum	APPRART	zu+die
Erkenntniswesen	NN	Erkenntniswesen
einhergehen	VVFIN	einhergehen
,	$,	,
sie	PPER	sie
ist	VAFIN	sein
das	ART	die
unvergleichliche	ADJA	unvergleichlich
und	KON	und
entscheidende	ADJA	entscheidend
Erlebnis	NN	Erlebnis
der	ART	die
menschlichen	ADJA	menschlich
Gattung	NN	Gattung
,	$,	,
das	ART	die
Erlebnis	NN	Erlebnis
,	$,	,
das	PRELS	die
ihre	PPOSAT	ihr
Laufbahn	NN	Laufbahn
und	KON	und
ihre	PPOSAT	ihr
Weltstellung	NN	Weltstellung
bestimmt	VVPP	bestimmen
.	$.	.
Daher	PAV	daher
,	$,	,
wenn	KOUS	wenn
man	PIS	man
von	APPR	von
Art	NN	Art
und	KON	und
Wesen	NN	Wesen
der	ART	die
menschlichen	ADJA	menschlich
Gattung	NN	Gattung
spricht	VVFIN	sprechen
,	$,	,
muß	VMFIN	müssen
man	PIS	man
den	ART	die
Gegensatz	NN	Gegensatz
von	APPR	von
Sein	NN	Sein
und	KON	und
Sollen	VMFIN	sollen
zu	APPR	zu
ihren	PPOSAT	ihr
grundlegenden	ADJA	grundlegend
Eigenschaften	NN	Eigenschaft
zählen	VVINF	zählen
.	$.	.
Daß	KOUS	dass
sich	PRF	sich
der	ART	die
Mensch	NN	Mensch
nicht	PTKNEG	nicht
begnügt	VVPP	begnügen
,	$,	,
zu	PTKZU	zu
sein	VAINF	sein
,	$,	,
wie	KOKOM	wie
er	PPER	er
ist	VAFIN	sein
,	$,	,
sondern	KON	sondern
daß	KOUS	dass
er	PPER	er
sich	PRF	sich
eine	ART	eine
Vorstellung	NN	Vorstellung
von	APPR	von
dem	ART	die
bildet	VVFIN	bilden
,	$,	,
was	PRELS	was
er	PPER	er
sein	VAINF	sein
soll	VMFIN	sollen
,	$,	,
das	PDS	die
gehört	VVFIN	gehören
zu	APPR	zu
seinen	PPOSAT	sein
spezifischen	ADJA	spezifisch
Artmerkmalen	NN	Artmerkmalen
–	$(	-
allerdings	ADV	allerdings
nicht	PTKNEG	nicht
in	APPR	in
dem	ART	die
Sinne	NN	Sinn
,	$,	,
als	KOKOM	als
ob	KOUS	ob
die	ART	die
Gegensätze	NN	Gegensatz
,	$,	,
in	APPR	in
welche	PRELS	welche
die	ART	die
menschliche	ADJA	menschlich
Natur	NN	Natur
gespalten	VVPP	spalten
ist	VAFIN	sein
,	$,	,
erst	ADV	erst
durch	APPR	durch
den	ART	die
Intellekt	NN	Intellekt
in	APPR	in
sie	PPER	sie
hineingetragen	VVPP	hineintragen
würden	VAFIN	werden
;	$.	;
sie	PPER	sie
spiegeln	VVFIN	spiegeln
sich	PRF	sich
nur	ADV	nur
im	APPRART	in+die
Intellekt	NN	Intellekt
,	$,	,
sie	PPER	sie
werden	VAFIN	werden
nicht	PTKNEG	nicht
durch	APPR	durch
ihn	PPER	er
hervorgerufen	VVPP	hervorrufen
.	$.	.
II	CARD	II
.	$.	.
Wie	KOKOM	wie
aber	ADV	aber
ist	VAFIN	sein
das	ART	die
gattungsmäßige	ADJA	gattungsmäßige
Wesen	NN	Wesen
des	ART	die
Menschen	NN	Mensch
beschaffen	VVINF	beschaffen
,	$,	,
wenn	KOUS	wenn
wir	PPER	wir
die	ART	die
Vorstellung	NN	Vorstellung
des	ART	die
Sollens	NN	Sollens
davon	PAV	davon
trennen	VVFIN	trennen
,	$,	,
wenn	KOUS	wenn
wir	PPER	wir
fragen	VVFIN	fragen
,	$,	,
was	PWS	was
dem	ART	die
Triebwesen	NN	Triebwesen
angehört	VVPP	angehören|anhören
und	KON	und
was	PRELS	was
dem	ART	die
Erkenntniswesen	NN	Erkenntniswesen
,	$,	,
das	PRELS	die
ein	ART	eine
Sollen	VMFIN	sollen
hervorbringt	VVFIN	hervorbringen
?	$.	?
Diese	PDAT	dies
Frage	NN	Frage
führt	VVFIN	führen
vorerst	ADV	vorerst
über	APPR	über
zwei	CARD	zwei
prinzipiell	ADJD	prinzipiell
verschiedene	ADJA	verschieden
Auffassungen	NN	Auffassung
der	ART	die
Gattung	NN	Gattung
Mensch	NN	Mensch
.	$.	.
Man	PIS	man
kann	VMFIN	können
sie	PPER	sie
kurz	ADJD	kurz
als	KOKOM	als
die	ART	die
alte	ADJA	alt
und	KON	und
moderne	ADJA	modern
bezeichnen	VVINF	bezeichnen
,	$,	,
oder	KON	oder
als	KOKOM	als
die	ART	die
religiöse	ADJA	religiös
und	KON	und
die	ART	die
naturwissenschaftliche	ADJA	naturwissenschaftlich
.	$.	.
In	APPR	in
Europa	NE	Europa
hat	VAFIN	haben
die	ART	die
religiöse	ADJA	religiös
Auffassung	NN	Auffassung
,	$,	,
die	PRELS	die
von	APPR	von
der	ART	die
jüdischen	ADJA	jüdisch
Schöpfungsgeschichte	NN	Schöpfungsgeschichte
ausging	VVFIN	ausgehen
,	$,	,
im	APPRART	in+die
Menschen	NN	Mensch
ein	ART	eine
vom	APPRART	von+die
Tier	NN	Tier
grundsätzlich	ADJD	grundsätzlich
verschiedenes	ADJA	verschieden
Geschöpf	NN	Geschöpf
,	$,	,
das	ART	die
Ebenbild	NN	Ebenbild
Gottes	NN	Gott
,	$,	,
erblickt	VVPP	erblicken
,	$,	,
während	KOUS	während
die	ART	die
naturwissenschaftliche	ADJA	naturwissenschaftlich
Auffassung	NN	Auffassung
ihm	PPER	er
nur	ADV	nur
den	ART	die
Rang	NN	Rang
eines	ART	eine
Säugetieres	NN	Säugetier
zuerkennt	VVFIN	zuerkennen
,	$,	,
ob	KOUS	ob
sie	PPER	sie
ihn	PPER	er
nun	ADV	nun
vom	APPRART	von+die
Affen	NN	Affe
abstammen	VVINF	abstammen
läßt	VVFIN	lassen
oder	KON	oder
durch	APPR	durch
Mutation	NN	Mutation
aus	APPR	aus
einer	ART	eine
Zwischenform	NN	Zwischenform
entstanden	VVPP	entstehen
denkt	VVFIN	denken
.	$.	.
Für	APPR	für
die	ART	die
abendländische	ADJA	abendländisch
Kulturmenschheit	NN	Kulturmenschheit
war	VAFIN	sein
die	ART	die
Herabsetzung	NN	Herabsetzung
vom	APPRART	von+die
Ebenbild	NN	Ebenbild
Gottes	NN	Gott
zum	APPRART	zu+die
Affenenkel	NN	Affenenkel
ein	ART	eine
empfindlicher	ADJA	empfindlich
Schlag	NN	Schlag
,	$,	,
der	PRELS	die
anfänglich	ADJD	anfänglich
einen	ART	eine
Sturm	NN	Sturm
der	ART	die
Entrüstung	NN	Entrüstung
hervorrief	VVFIN	hervorrufen
und	KON	und
noch	ADV	noch
kürzlich	ADJD	kürzlich
in	APPR	in
Amerika	NE	Amerika
Anlaß	NN	Anlass
zu	APPR	zu
dem	ART	die
berüchtigten	ADJA	berüchtigt
Affenprozeß	NN	Affenprozeß
gab	VVFIN	geben
.	$.	.
Hingegen	ADV	hingegen
stehen	VVFIN	stehen
die	ART	die
niedrigsten	ADJA	niedrig
menschlichen	ADJA	menschlich
Rassen	NN	Rasse
der	ART	die
Tierheit	NN	Tierheit
auch	ADV	auch
in	APPR	in
ihrem	PPOSAT	ihr
Selbstbewußtsein	NN	Selbstbewusstsein
noch	ADV	noch
ganz	ADV	ganz
nahe	PTKVZ	nahe
;	$.	;
bezeichnend	ADJD	bezeichnend
dafür	PAV	dafür
ist	VAFIN	sein
,	$,	,
daß	KOUS	dass
die	ART	die
Neger	NN	Neger
der	ART	die
untersten	ADJA	unter
Stufe	NN	Stufe
den	ART	die
Affen	NN	Affe
als	KOKOM	als
höheres	ADJA	hoch
Wesen	NN	Wesen
verehren	VVFIN	verehren
,	$,	,
oder	KON	oder
andere	PIAT	andere
Naturvölker	NN	Naturvolk
,	$,	,
wie	KOUS	wie
die	ART	die
Malaien	NN	Malaie
,	$,	,
an	APPR	an
eine	ART	eine
direkte	ADJA	direkt
Abstammung	NN	Abstammung
von	APPR	von
ihm	PPER	er
glauben	VVFIN	glauben
.	$.	.
In	APPR	in
alten	ADJA	alt
Kulturen	NN	Kultur
erscheinen	VVFIN	erscheinen
Tiere	NN	Tier
vergöttlicht	VVFIN	vergöttlicht
und	KON	und
mit	APPR	mit
hohen	ADJA	hoch
Ehren	NN	Ehre|Ehren
ausgestattet	VVPP	ausstatten
,	$,	,
so	ADV	so
bei	APPR	bei
den	ART	die
Ägyptern	NN	Ägypter
,	$,	,
wo	PWAV	wo
neben	APPR	neben
dem	ART	die
heiligen	ADJA	heilig
Stier	NN	Stier
eine	ART	eine
ganze	ADJA	ganz
Anzahl	NN	Anzahl
weniger	PIAT	wenige
hervorragender	ADJA	hervorragend
Tiere	NN	Tier
als	KOKOM	als
Götter	NN	Gott
über	APPR	über
den	ART	die
Menschen	NN	Mensch
erhoben	VVPP	erheben
wurden	VAFIN	werden
.	$.	.
Etwas	ADV	etwas
von	APPR	von
diesen	PDAT	dies
kultischen	ADJA	kultisch
Vorstellungen	NN	Vorstellung
dämmert	VVFIN	dämmern
noch	ADV	noch
bei	APPR	bei
den	ART	die
Griechen	NN	Grieche
,	$,	,
in	APPR	in
deren	PRELAT	die
Mythologie	NN	Mythologie
Zeus	NE	Zeus
gelegentlich	ADJD	gelegentlich
seiner	PPOSAT	sein
Liebesabenteuer	NN	Liebesabenteuer
die	ART	die
Gestalt	NN	Gestalt
eines	ART	eine
Tieres	NN	Tier
annimmt	VVFIN	annehmen
,	$,	,
ja	ADV	ja
selbst	ADV	selbst
in	APPR	in
der	ART	die
Gegenwart	NN	Gegenwart
betet	VVFIN	beten
ein	ART	eine
so	ADV	so
hochstehendes	ADJA	hochstehend
Kulturvolk	NN	Kulturvolk
wie	KOKOM	wie
die	ART	die
brahmanischen	ADJA	brahmanischen
Inder	NN	Inder
zu	APPR	zu
dem	ART	die
steinernen	ADJA	steinern
Stierkoloß	NN	Stierkoloß
von	APPR	von
Mysore	NN	Mysore
.	$.	.
Da	ADV	da
wird	VAFIN	werden
das	ART	die
Triebhaft-Elementare	NN	Triebhaft-Elementare
durch	APPR	durch
das	ART	die
Tierische	NN	Tierische
symbolisiert	VVPP	symbolisieren
,	$,	,
aber	ADV	aber
ohne	APPR	ohne
herabsetzende	ADJA	herabsetzend
Bedeutung	NN	Bedeutung
.	$.	.
Das	ART	die
Widerstreben	NN	Widerstreben
des	ART	die
abendländischen	ADJA	abendländisch
Menschen	NN	Mensch
gegen	APPR	gegen
die	ART	die
Verwandtschaft	NN	Verwandtschaft
mit	APPR	mit
dem	ART	die
Affen	NN	Affe
geht	VVFIN	gehen
darauf	PAV	darauf
zurück	PTKVZ	zurück
,	$,	,
daß	KOUS	dass
er	PPER	er
sich	PRF	sich
kraft	APPR	kraft
religiöser	ADJA	religiös
Vorstellungen	NN	Vorstellung
als	KOKOM	als
Ebenbild	NN	Ebenbild
Gottes	NN	Gott
fühlen	VVINF	fühlen
durfte	VMFIN	dürfen
.	$.	.
Allein	ADV	allein
auch	ADV	auch
die	ART	die
christliche	ADJA	christlich
Auffassung	NN	Auffassung
erkannte	VVFIN	erkennen
ihm	PPER	er
diesen	PDAT	dies
Rang	NN	Rang
nur	ADV	nur
bedingungsweise	ADJD	bedingungsweise
zu	PTKVZ	zu
.	$.	.
Sie	PPER	Sie
unterschied	VVFIN	unterscheiden
gemäß	APPR	gemäß
seiner	PPOSAT	sein
Spaltung	NN	Spaltung
in	APPR	in
Triebwesen	NN	Triebwesen
und	KON	und
Erkenntniswesen	NN	Erkenntniswesen
zwei	CARD	zwei
Naturen	NN	Natur
in	APPR	in
ihm	PPER	er
.	$.	.
Nur	ADV	nur
die	ART	die
eine	PIS	eine
davon	PAV	davon
,	$,	,
die	ART	die
geistige	ADJA	geistig
,	$,	,
war	VAFIN	sein
Gott	NN	Gott
angehörig	ADJD	angehörig
–	$(	-
die	ART	die
andere	PIAT	andere
Natur	NN	Natur
,	$,	,
die	PRELS	die
das	ART	die
primitive	ADJA	primitiv
Triebleben	NN	Triebleben
umfaßte	VVFIN	umfassen
,	$,	,
wurde	VAFIN	werden
mit	APPR	mit
der	ART	die
des	ART	die
Tieres	NN	Tier
gleichgestellt	VVPP	gleichstellen
und	KON	und
verdammt	VVPP	verdammen
.	$.	.
Aus	APPR	aus
dieser	PDAT	dies
Verdammung	NN	Verdammung
scheint	VVFIN	scheinen
die	ART	die
herabsetzende	ADJA	herabsetzend
Note	NN	Note
zu	PTKZU	zu
stammen	VVINF	stammen
,	$,	,
die	PRELS	die
dem	ART	die
Worte	NN	Wort
tierisch	ADJD	tierisch
mit	APPR	mit
Bezug	NN	Bezug
auf	APPR	auf
den	ART	die
Menschen	NN	Mensch
seither	ADV	seither
anhaftet	VVFIN	anhaften
.	$.	.
Betrachtet	VVFIN	betrachten
man	PIS	man
unvoreingenommen	ADJD	unvoreingenommen
das	ART	die
gattungsmäßige	ADJA	gattungsmäßige
Wesen	NN	Wesen
des	ART	die
Menschen	NN	Mensch
,	$,	,
wie	KOUS	wie
es	PPER	es
sich	PRF	sich
als	KOKOM	als
seine	PPOSAT	sein
reale	ADJA	real
Beschaffenheit	NN	Beschaffenheit
losgelöst	VVPP	loslösen
von	APPR	von
den	ART	die
Vorstellungen	NN	Vorstellung
des	ART	die
Sollens	NN	Sollens
in	APPR	in
seinem	PPOSAT	sein
Triebleben	NN	Triebleben
äußert	VVFIN	äußern
,	$,	,
so	ADV	so
wird	VAFIN	werden
man	PIS	man
kaum	ADV	kaum
einen	ART	eine
Vorzug	NN	Vorzug
vor	APPR	vor
seinen	PPOSAT	sein
Stammverwandten	NN	Stammverwandten
im	APPRART	in+die
Tierreich	NN	Tierreich
an	APPR	an
ihm	PPER	er
finden	VVINF	finden
.	$.	.
Und	KON	und
die	ART	die
Versuche	NN	Versuch
des	ART	die
Menschen	NN	Mensch
,	$,	,
seine	PPOSAT	sein
Instinktverminderung	NN	Instinktverminderung
durch	APPR	durch
intellektuelle	ADJA	intellektuell
Einsichten	NN	Einsicht
zu	PTKZU	zu
kompensieren	VVINF	kompensieren
,	$,	,
sind	VAFIN	sein
bisher	ADV	bisher
äußerst	ADV	äußerst
unzulänglich	ADJD	unzulänglich
geblieben	VVPP	bleiben
.	$.	.
Überall	ADV	überall
,	$,	,
wo	PWAV	wo
der	ART	die
Intellekt	NN	Intellekt
an	APPR	an
Stelle	NN	Stelle
des	ART	die
Instinktes	NN	Instinktes
die	ART	die
Lebenszustände	NN	Lebenszustand
bestimmt	VVPP	bestimmen
,	$,	,
herrscht	VVFIN	herrschen
Unsicherheit	NN	Unsicherheit
,	$,	,
Verworrenheit	NN	Verworrenheit
,	$,	,
ja	ADV	ja
Verwirrung	NN	Verwirrung
.	$.	.
Besonders	ADV	besonders
abstoßend	ADJD	abstoßend
aber	ADV	aber
wird	VAFIN	werden
die	ART	die
Menschlichkeit	NN	Menschlichkeit
des	ART	die
Seins	NN	Sein
durch	APPR	durch
den	ART	die
Mißbrauch	NN	Missbrauch
des	ART	die
Triebhaften	NN	Triebhafte
;	$.	;
da	ADV	da
bewirkt	VVFIN	bewirken
die	ART	die
Mangelhaftigkeit	NN	Mangelhaftigkeit
der	ART	die
intellektuellen	ADJA	intellektuell
Kompensation	NN	Kompensation
schwere	ADJA	schwer
Entartungserscheinungen	NN	Entartungserscheinungen
,	$,	,
wie	KOKOM	wie
Trunksucht	NN	Trunksucht
und	KON	und
Völlerei	NN	Völlerei
,	$,	,
von	APPR	von
den	ART	die
geschlechtlichen	ADJA	geschlechtlich
Exzessen	NN	Exzess
ganz	ADV	ganz
zu	PTKZU	zu
schweigen	VVINF	schweigen
.	$.	.
Auf	APPR	auf
anderen	PIAT	andere
Gebieten	NN	Gebiet
steigert	VVFIN	steigern
sich	PRF	sich
die	ART	die
Unzulänglichkeit	NN	Unzulänglichkeit
des	ART	die
Intellektes	NN	Intellekt
zusammen	ADV	zusammen
mit	APPR	mit
den	ART	die
Abwehrinstinkten	NN	Abwehrinstinkten
gegen	APPR	gegen
fremde	ADJA	fremd
Lebensansprüche	NN	Lebensanspruch
bis	KON	bis
zu	APPR	zu
jener	PDAT	jen
Unduldsamkeit	NN	Unduldsamkeit
,	$,	,
Händelsucht	NN	Händelsucht
und	KON	und
Mißgunst	NN	Missgunst
,	$,	,
die	PRELS	die
das	ART	die
Gemeinschaftsleben	NN	Gemeinschaftsleben
so	ADV	so
unheilvoll	ADJD	unheilvoll
beeinflussen	VVFIN	beeinflussen
.	$.	.
Rechnet	VVFIN	rechnen
man	PIS	man
dazu	PAV	dazu
die	ART	die
Wertblindheit	NN	Wertblindheit
,	$,	,
die	PRELS	die
in	APPR	in
allen	PIAT	alle
Angelegenheiten	NN	Angelegenheit
der	ART	die
Menschen	NN	Mensch
untereinander	ADV	untereinander
die	ART	die
Hauptsache	NN	Hauptsache
nicht	PTKNEG	nicht
von	APPR	von
der	ART	die
Nebensache	NN	Nebensache
zu	PTKZU	zu
unterscheiden	VVINF	unterscheiden
vermag	VVFIN	vermag
und	KON	und
die	ART	die
instinktive	ADJA	instinktiv
Gehässigkeit	NN	Gehässigkeit
noch	ADV	noch
durch	APPR	durch
Dummheit	NN	Dummheit
vermehrt	VVPP	vermehren
,	$,	,
so	ADV	so
gewinnt	VVFIN	gewinnen
man	PIS	man
ein	ART	eine
Bild	NN	Bild
,	$,	,
das	PRELS	die
die	ART	die
menschliche	ADJA	menschlich
Lebensgestaltung	NN	Lebensgestaltung
von	APPR	von
der	ART	die
tierischen	ADJA	tierisch
nicht	PTKNEG	nicht
vorteilhaft	ADJD	vorteilhaft
unterscheidet	VVFIN	unterscheiden
.	$.	.
Zu	APPR	zu
der	ART	die
intellektuellen	ADJA	intellektuell
Unzulänglichkeit	NN	Unzulänglichkeit
in	APPR	in
der	ART	die
Kompensierung	NN	Kompensierung
der	ART	die
Instinkte	NN	Instinkt
gesellt	VVFIN	gesellen
sich	PRF	sich
noch	ADV	noch
das	ART	die
menschliche	ADJA	menschlich
Instinktleben	NN	Instinktleben
selbst	ADV	selbst
.	$.	.
Die	ART	die
Abwehrinstinkte	NN	Abwehrinstinkt
gegen	APPR	gegen
fremde	ADJA	fremd
Lebensansprüche	NN	Lebensanspruch
,	$,	,
die	PRELS	die
ich	PPER	ich
eben	ADV	eben
erwähnte	VVFIN	erwähnen
,	$,	,
gehen	VVFIN	gehen
so	ADV	so
weit	ADJD	weit
,	$,	,
daß	KOUS	dass
der	ART	die
Mensch	NN	Mensch
in	APPR	in
der	ART	die
Regel	NN	Regel
nicht	PTKNEG	nicht
geneigt	VVPP	neigen
ist	VAFIN	sein
,	$,	,
seinen	PPOSAT	sein
Nebenmenschen	NN	Nebenmensch
als	KOKOM	als
artgleiches	ADJA	artgleiches
Wesen	NN	Wesen
zu	PTKZU	zu
behandeln	VVINF	behandeln
.	$.	.
Je	ADV	je
mehr	ADV	mehr
die	ART	die
Kultur	NN	Kultur
sich	PRF	sich
verfeinert	VVPP	verfeinern
,	$,	,
je	ADV	je
differenzierter	ADJD	differenziert
das	ART	die
Empfinden	NN	Empfinden
wird	VAFIN	werden
,	$,	,
desto	KON	desto
ungünstiger	ADJD	ungünstig
sind	VAFIN	sein
die	ART	die
Einflüsse	NN	Einfluss
der	ART	die
einzelnen	ADJA	einzeln
aufeinander	ADV	aufeinander
.	$.	.
Schon	ADV	schon
der	ART	die
fromme	ADJA	fromm
Thomas	NE	Thomas
a	FM	a
Kempis	NE	Kempis
räumt	VVFIN	räumen
ein	PTKVZ	ein
,	$,	,
daß	KOUS	dass
man	PIS	man
,	$,	,
so	ADV	so
oft	ADV	oft
man	PIS	man
unter	APPR	unter
Menschen	NN	Mensch
war	VAFIN	sein
,	$,	,
beim	APPRART	bei+die
Heimgang	NN	Heimgang
weniger	PIAT	wenige
Mensch	NN	Mensch
ist	VAFIN	sein
!	$.	!
Die	ART	die
reale	ADJA	real
Menschlichkeit	NN	Menschlichkeit
erweckt	VVFIN	erwecken
beinahe	ADV	beinahe
den	ART	die
Eindruck	NN	Eindruck
,	$,	,
daß	KOUS	dass
die	ART	die
Beziehungen	NN	Beziehung
der	ART	die
Menschen	NN	Mensch
untereinander	ADV	untereinander
mehr	ADV	mehr
durch	APPR	durch
Haß	NN	Hass
als	KOKOM	als
durch	APPR	durch
Mitgefühl	NN	Mitgefühl
bestimmt	VVPP	bestimmen
werden	VAFIN	werden
.	$.	.
Selbst	ADV	selbst
auf	APPR	auf
jenem	PDAT	jen
Gebiete	NN	Gebiet
,	$,	,
wo	PWAV	wo
am	PTKA	am
ehesten	ADJD	ehesten
Liebe	NN	Liebe
vermutet	VVPP	vermuten
werden	VAINF	werden
könnte	VMFIN	können
,	$,	,
auf	APPR	auf
dem	ART	die
erotischen	ADJA	erotisch
,	$,	,
gibt	VVFIN	geben
es	PPER	es
Erscheinungen	NN	Erscheinung
,	$,	,
die	PRELS	die
den	ART	die
paradoxen	ADJA	paradox
Ausspruch	NN	Ausspruch
Nietzsches	NE	Nietzsche
hervorgerufen	VVPP	hervorrufen
haben	VAFIN	haben
,	$,	,
daß	KOUS	dass
die	ART	die
Anziehung	NN	Anziehung
,	$,	,
welche	PRELS	welche
die	ART	die
beiden	PIAT	beide
Geschlechter	NN	Geschlecht
miteinander	ADV	miteinander
verbindet	VVFIN	verbinden
,	$,	,
im	APPRART	in+die
Grunde	NN	Grund
der	ART	die
Todhaß	NN	Todhaß
der	ART	die
Geschlechter	NN	Geschlecht
sei	VAFIN	sein
.	$.	.
Im	APPRART	in+die
kleinen	ADJA	klein
wie	KOKOM	wie
im	APPRART	in+die
großen	ADJA	groß
ist	VAFIN	sein
der	ART	die
Mensch	NN	Mensch
dem	ART	die
Menschen	NN	Mensch
eher	ADV	eher
feindlich	ADJD	feindlich
gesinnt	ADJD	gesinnt
.	$.	.
Nach	APPR	nach
der	ART	die
Auffassung	NN	Auffassung
primitiver	ADJA	primitiv
Völker	NN	Volk
endet	VVFIN	enden
der	ART	die
Mensch	NN	Mensch
an	APPR	an
der	ART	die
Grenze	NN	Grenze
des	ART	die
eigenen	ADJA	eigen
Stammes	NN	Stamm
;	$.	;
der	ART	die
Fremde	NN	Fremde
ist	VAFIN	sein
etwas	PIAT	etwas
Außermenschliches	NN	Außermenschliches
,	$,	,
Dämonisches	NN	Dämonische
,	$,	,
Schädliches	NN	Schädliche
,	$,	,
das	PRELS	die
ausgerottet	VVPP	ausrotten
oder	KON	oder
doch	ADV	doch
ferngehalten	VVPP	fernhalten
werden	VAINF	werden
muß	VMFIN	müssen
.	$.	.
Eine	ART	eine
verwandte	ADJA	verwandt
Auffassung	NN	Auffassung
begegnet	VVFIN	begegnen
uns	PPER	wir
noch	ADV	noch
auf	APPR	auf
hohen	ADJA	hoch
Kulturstufen	NN	Kulturstufe
:	$.	:
Für	APPR	für
den	ART	die
Griechen	NN	Grieche
war	VAFIN	sein
jeder	PIAT	jede
Nichtgrieche	NN	Nichtgrieche
Barbar	NN	Barbar
;	$.	;
die	ART	die
Juden	NN	Jude
–	$(	-
die	ART	die
sich	PRF	sich
in	APPR	in
besonderem	ADJA	besonder
Maße	NN	Maß
für	APPR	für
ein	ART	eine
auserwähltes	ADJA	auserwählt
Volk	NN	Volk
hielten	VVFIN	halten
–	$(	-
betrachteten	VVFIN	betrachten
den	ART	die
Nichtjuden	NN	Nichtjude
sogar	ADV	sogar
als	KOKOM	als
unrein	ADJD	unrein
;	$.	;
und	KON	und
daß	KOUS	dass
der	ART	die
moderne	ADJA	modern
nationale	ADJA	national
Chauvinismus	NN	Chauvinismus
mit	APPR	mit
ähnlichen	ADJA	ähnlich
Wertsatzungen	NN	Wertsatzungen
einhergeht	VVFIN	einhergehen
,	$,	,
ist	VAFIN	sein
bekannt	ADJD	bekannt
genug	ADV	genug
.	$.	.
Da	ADV	da
wird	VAFIN	werden
jede	PIAT	jede
Abweichung	NN	Abweichung
vom	APPRART	von+die
Typus	NN	Typus
der	ART	die
eigenen	ADJA	eigen
Rasse	NN	Rasse
als	KOKOM	als
Zeichen	NN	Zeichen
der	ART	die
Minderwertigkeit	NN	Minderwertigkeit
,	$,	,
als	KOKOM	als
unangenehm	ADJD	unangenehm
,	$,	,
als	KOKOM	als
verächtlich	ADJD	verächtlich
empfunden	VVPP	empfinden
,	$,	,
ganz	ADJD	ganz
als	KOKOM	als
ob	KOUS	ob
die	ART	die
Gattung	NN	Gattung
Mensch	NN	Mensch
sich	PRF	sich
nur	ADV	nur
in	APPR	in
der	ART	die
eigenen	ADJA	eigen
Rasse	NN	Rasse
verwirklicht	VVPP	verwirklichen
hätte	VAFIN	haben
.	$.	.
Diese	PDAT	dies
Eigenheit	NN	Eigenheit
,	$,	,
die	PRELS	die
man	PIS	man
für	APPR	für
eine	ART	eine
verzeihliche	ADJA	verzeihlich
Schwäche	NN	Schwäche
aus	APPR	aus
Selbstgefälligkeit	NN	Selbstgefälligkeit
halten	VVINF	halten
könnte	VMFIN	können
,	$,	,
steht	VVFIN	stehen
aber	ADV	aber
in	APPR	in
engem	ADJA	eng
Zusammenhang	NN	Zusammenhang
mit	APPR	mit
den	ART	die
dunkelsten	ADJA	dunkel
Nachtseiten	NN	Nachtseite
der	ART	die
menschlichen	ADJA	menschlich
Natur	NN	Natur
.	$.	.
Die	ART	die
feindliche	ADJA	feindlich
Haltung	NN	Haltung
gegenüber	APPR	gegenüber
den	ART	die
eigenen	ADJA	eigen
Artgenossen	NN	Artgenosse
,	$,	,
verbunden	ADJD	verbunden
mit	APPR	mit
der	ART	die
Neigung	NN	Neigung
zur	APPRART	zu+die
Grausamkeit	NN	Grausamkeit
,	$,	,
macht	VVFIN	machen
aus	APPR	aus
dem	ART	die
Menschen	NN	Mensch
das	ART	die
bösartigste	ADJA	bösartig
Tier	NN	Tier
der	ART	die
Erde	NN	Erde
.	$.	.
Voltaire	NN	Voltaire
hat	VAFIN	haben
den	ART	die
Menschen	NN	Mensch
einen	ART	eine
Tigeraffen	NN	Tigeraffen
genannt	VVPP	nennen
;	$.	;
und	KON	und
in	APPR	in
der	ART	die
Tat	NN	Tat
übertrifft	VVFIN	übertreffen
der	ART	die
Mensch	NN	Mensch
an	APPR	an
Grausamkeit	NN	Grausamkeit
alle	PIAT	alle
anderen	PIS	andere
Tiergattungen	NN	Tiergattung
durch	APPR	durch
den	ART	die
Trieb	NN	Trieb
zur	APPRART	zu+die
Vernichtung	NN	Vernichtung
der	ART	die
eigenen	ADJA	eigen
Artgenossen	NN	Artgenosse
.	$.	.
Zwar	ADV	zwar
ist	VAFIN	sein
Tötung	NN	Tötung
der	ART	die
Artgenossen	NN	Artgenosse
unter	APPR	unter
den	ART	die
männlichen	ADJA	männlich
Angehörigen	NN	Angehörige
der	ART	die
Tierwelt	NN	Tierwelt
auch	ADV	auch
verbreitet	VVPP	verbreiten
,	$,	,
doch	KON	doch
geschieht	VVFIN	geschehen
sie	PPER	sie
nur	ADV	nur
als	KOKOM	als
Affekthandlung	NN	Affekthandlung
aus	APPR	aus
Eifersucht	NN	Eifersucht
oder	KON	oder
als	KOKOM	als
Verzweiflungsakt	NN	Verzweiflungsakt
aus	APPR	aus
Hunger	NN	Hunger
;	$.	;
Mord	NN	Mord
innerhalb	APPR	innerhalb
der	ART	die
eigenen	ADJA	eigen
Gattung	NN	Gattung
,	$,	,
wie	KOUS	wie
er	PPER	er
aus	APPR	aus
den	ART	die
verschiedensten	ADJA	verschieden
Anlässen	NN	Anlass
in	APPR	in
der	ART	die
Menschheit	NN	Menschheit
geübt	VVPP	üben
wird	VAFIN	werden
,	$,	,
gehört	VVFIN	gehören
ihr	PPER	ihr
allein	ADV	allein
an	PTKVZ	an
.	$.	.
Der	ART	die
Trieb	NN	Trieb
zum	APPRART	zu+die
Mord	NN	Mord
kennzeichnet	VVFIN	kennzeichnen
