IV	NE	IV
welchem	PRELS	welche
der	ART	die
Muskelnerv	NN	Muskelnerv
abgeht	VVFIN	abgehen
.	$.	.
Es	PPER	es
genügt	VVFIN	genügen
,	$,	,
daß	KOUS	dass
man	PIS	man
ein	ART	eine
fein	ADJD	fein
abgeschnittenes	ADJA	abgeschnitten
Stückchen	NN	Stückchen
Rückenmark	NE	Rückenmark
mit	APPR	mit
den	ART	die
entsprechenden	ADJA	entsprechend
sensiblen	ADJA	sensibel
und	KON	und
motorischen	ADJA	motorisch
Nerven	NN	Nerv|Nerven
(	$(	(
motorischer	ADJA	motorisch
Nerv	NN	Nerv
heißt	VVFIN	heißen
Bewegungsnerv	NN	Bewegungsnerv
und	KON	und
sensibler	ADJA	sensibel
Nerv	NN	Nerv
,	$,	,
der	ART	die
Nerv	NN	Nerv
,	$,	,
der	PRELS	die
einen	ART	eine
Sinnesreiz	NN	Sinnesreiz
zum	APPRART	zu+die
Rückenmark	NE	Rückenmark
oder	KON	oder
zum	APPRART	zu+die
Gehirn	NN	Gehirn
führt	VVFIN	führen
)	$(	)
in	APPR	in
Zusammenhang	NN	Zusammenhang
läßt	VVFIN	lassen
,	$,	,
damit	KOUS	damit
die	ART	die
eben	ADV	eben
erwähnte	ADJA	erwähnt
sogenannte	ADJA	sogenannt
Reflexbewegung	NN	Reflexbewegung
erfolgt	VVPP	erfolgen
.	$.	.
Man	PIS	man
kann	VMFIN	können
aber	ADV	aber
,	$,	,
so	ADV	so
lang	ADJD	lang
das	ART	die
Rückenmark	NN	Rückenmark
mit	APPR	mit
verschiedenen	ADJA	verschieden
Haut	NN	Haut
=	$(	=
und	KON	und
Muskelabteilungen	NN	Muskelabteilungen
beider	PIAT	beide
Körperseiten	NN	Körperseiten
in	APPR	in
Zusammenhang	NN	Zusammenhang
bleibt	VVFIN	bleiben
,	$,	,
wenn	KOUS	wenn
man	PIS	man
eine	ART	eine
Pfote	NN	Pfote
reizt	VVFIN	reizen
,	$,	,
sogar	ADV	sogar
Bewegungen	NN	Bewegung
der	ART	die
andern	PIAT	andere
Körperseite	NN	Körperseite
hervorrufen	VVFIN	hervorrufen
.	$.	.
Die	ART	die
genannte	ADJA	genannt
Erscheinung	NN	Erscheinung
ist	VAFIN	sein
dasjenige	PDS	dasjenige
,	$,	,
was	PRELS	was
der	ART	die
Physiologe	NN	Physiologe
Reflex	NN	Reflex
nennt	VVFIN	nennen
.	$.	.
Zum	APPRART	zu+die
Begriff	NN	Begriff
des	ART	die
Reflexes	NN	Reflex
gehört	VVFIN	gehören
,	$,	,
daß	KOUS	dass
er	PPER	er
maschinenmäßig	ADJD	maschinenmäßig
,	$,	,
unwillkürlich	ADJD	unwillkürlich
(	$(	(
scheinbar	ADJD	scheinbar
unbewußt	ADJD	unbewusst
)	$(	)
,	$,	,
und	KON	und
zwar	ADV	zwar
auf	APPR	auf
den	ART	die
gleichen	ADJA	gleich
Reiz	NN	Reiz
hin	PTKVZ	hin
,	$,	,
immer	ADV	immer
in	APPR	in
der	ART	die
gleichen	ADJA	gleich
Weise	NN	Weise
eintritt	VVFIN	eintreten
.	$.	.
Wenn	KOUS	wenn
ein	ART	eine
Mensch	NN	Mensch
die	ART	die
Beine	NN	Bein
kreuzt	VVFIN	kreuzen
und	KON	und
man	PIS	man
schlägt	VVFIN	schlagen
kurz	ADJD	kurz
auf	APPR	auf
die	ART	die
unterhalb	APPR	unterhalb
der	ART	die
Kniescheibe	NN	Kniescheibe
des	ART	die
in	APPR	in
der	ART	die
Luft	NN	Luft
hängenden	ADJA	hängend
Beines	NN	Bein
liegende	ADJA	liegend
Sehne	NN	Sehne
,	$,	,
erfolgt	VVFIN	erfolgen
der	ART	die
sogenannte	ADJA	sogenannt
Kniescheibenreflex	NN	Kniescheibenreflex
:	$.	:
unwillkürlich	ADJD	unwillkürlich
und	KON	und
unausbleiblich	ADJD	unausbleiblich
(	$(	(
wenn	KOUS	wenn
man	PIS	man
nicht	PTKNEG	nicht
durch	APPR	durch
starke	ADJA	stark
Muskelspannung	NN	Muskelspannung
die	ART	die
Sache	NN	Sache
verhindert	VVPP	verhindern
)	$(	)
,	$,	,
schnellt	VVFIN	schnellen
der	ART	die
Unterschenkel	NN	Unterschenkel
in	APPR	in
die	ART	die
Höhe	NN	Höhe
.	$.	.
Eine	ART	eine
gewisse	ADJA	gewiss
Krankheit	NN	Krankheit
,	$,	,
bei	APPR	bei
welcher	PRELS	welche
einige	PIAT	einige
Faserverbindungen	NN	Faserverbindungen
des	ART	die
Lendenteils	NN	Lendenteils
des	ART	die
Rückenmarks	NN	Rückenmark
zerstört	VVPP	zerstören
werden	VAFIN	werden
,	$,	,
zerstört	VVFIN	zerstören
vollständig	ADJD	vollständig
diese	PDAT	dies
Reflexbewegung	NN	Reflexbewegung
.	$.	.
Es	PPER	es
ist	VAFIN	sein
somit	ADV	somit
ganz	ADV	ganz
klar	ADJD	klar
,	$,	,
daß	KOUS	dass
die	ART	die
Reizung	NN	Reizung
der	ART	die
Kniescheibensehne	NN	Kniescheibensehne
,	$,	,
von	APPR	von
sensiblen	ADJA	sensibel
Nerven	NN	Nerv|Nerven
aus	PTKVZ	aus
,	$,	,
durch	APPR	durch
Vermittlung	NN	Vermittlung
der	ART	die
betreffenden	ADJA	betreffend
Stelle	NN	Stelle
des	ART	die
Rückenmarks	NE	Rückenmark
(	$(	(
Lissauer´sche	NE	Lissauer´sche
Zone	NN	Zone
)	$(	)
den	ART	die
Bewegungsnerven	NN	Bewegungsnerven
des	ART	die
Beines	NN	Bein
übermittelt	VVPP	übermitteln
wird	VAFIN	werden
.	$.	.
Dies	PDS	dies
geschieht	VVFIN	geschehen
also	ADV	also
ohne	APPR	ohne
Vermittlung	NN	Vermittlung
des	ART	die
Gehirns	NN	Gehirn
.	$.	.
Es	PPER	es
gibt	VVFIN	geben
eine	ART	eine
Unzahl	NN	Unzahl
solcher	PIAT	solche
Reflexe	NN	Reflex
.	$.	.
Ich	PPER	ich
nenne	VVFIN	nennen
nur	ADV	nur
noch	ADV	noch
die	ART	die
Zusammenziehung	NN	Zusammenziehung
(	$(	(
Verkleinerung	NN	Verkleinerung
)	$(	)
der	ART	die
Pupille	NN	Pupille
des	ART	die
Auges	NN	Auge
auf	APPR	auf
Lichteinfall	NN	Lichteinfall
.	$.	.
Wenn	KOUS	wenn
die	ART	die
Reflexbewegung	NN	Reflexbewegung
in	APPR	in
einer	ART	eine
einfachen	ADJA	einfach
Zuckung	NN	Zuckung
,	$,	,
wie	KOUS	wie
der	ART	die
Kniescheibenreflex	NN	Kniescheibenreflex
,	$,	,
besteht	VVFIN	bestehen
,	$,	,
so	ADV	so
spricht	VVFIN	sprechen
man	PIS	man
von	APPR	von
einfachem	ADJA	einfach
Reflex	NN	Reflex
und	KON	und
dieser	PDAT	dies
einfache	ADJA	einfach
Reflex	NN	Reflex
ist	VAFIN	sein
der	ART	die
Hauptbegriff	NN	Hauptbegriff
der	ART	die
Physiologen	NN	Physiologe
zur	APPRART	zu+die
Erklärung	NN	Erklärung
des	ART	die
Mechanismus	NN	Mechanismus
des	ART	die
Zentralnervensystems	NN	Zentralnervensystem
.	$.	.
Sobald	KOUS	sobald
man	PIS	man
jedoch	ADV	jedoch
die	ART	die
Sache	NN	Sache
weiter	ADV	weiter
verfolgt	VVPP	verfolgen
,	$,	,
wird	VAFIN	werden
das	PDS	die
Einfach	ADJD	einfach
sehr	ADV	sehr
kompliziert	VVPP	komplizieren
.	$.	.
Mit	APPR	mit
dem	ART	die
Ausdruck	NN	Ausdruck
koordinierter	ADJA	koordiniert
Reflex	NN	Reflex
bezeichnet	VVFIN	bezeichnen
man	PIS	man
eine	ART	eine
Zusammensetzung	NN	Zusammensetzung
von	APPR	von
Reflexzuckungen	NN	Reflexzuckungen
,	$,	,
welche	PRELS	welche
bereits	ADV	bereits
zweckmäßige	ADJA	zweckmäßig
Bewegungen	NN	Bewegung
,	$,	,
wie	KOKOM	wie
z.	APPRART	zu+die
B.	NN	B.
die	ART	die
Abwehrbewegung	NN	Abwehrbewegung
des	ART	die
oben	ADV	oben
genannten	ADJA	genannt
Frosches	NN	Frosch
mit	APPR	mit
dem	ART	die
Bein	NN	Bein
,	$,	,
bewirken	VVFIN	bewirken
.	$.	.
Eigentlich	ADV	eigentlich
sollte	VMFIN	sollen
man	PIS	man
das	PDS	die
gar	ADV	gar
nicht	PTKNEG	nicht
mehr	PIAT	mehr
Reflex	NN	Reflex
nennen	VVINF	nennen
,	$,	,
denn	KON	denn
es	PPER	es
setzt	VVFIN	setzen
eine	ART	eine
Reihe	NN	Reihe
komplizierter	ADJA	kompliziert
Neurokymkombinationen	NN	Neurokymkombinationen
im	APPRART	in+die
Rückenmark	NN	Rückenmark
voraus	PTKVZ	voraus
und	KON	und
es	PPER	es
müssen	VMFIN	müssen
verschiedene	ADJA	verschieden
Neuronengruppen	NN	Neuronengruppen
dabei	PAV	dabei
beteiligt	VVPP	beteiligen
sein	VAINF	sein
.	$.	.
Immerhin	ADV	immerhin
erfolgt	VVFIN	erfolgen
der	ART	die
koordinierte	ADJA	koordiniert
Reflex	NN	Reflex
noch	ADV	noch
unausweichlich	ADJD	unausweichlich
auf	APPR	auf
den	ART	die
entsprechenden	ADJA	entsprechend
Reiz	NN	Reiz
und	KON	und
besitzt	VVFIN	besitzen
daher	PAV	daher
immer	ADV	immer
noch	ADV	noch
den	ART	die
Charakter	NN	Charakter
des	ART	die
mechanischen	ADJA	mechanisch
Zwanges	NN	Zwang
.	$.	.
4	CARD	@card@
.	$.	.
Vererbter	ADJA	Vererbter
Automatismus	NN	Automatismus
.	$.	.
Eine	ART	eine
höhere	ADJA	hoch
Stufe	NN	Stufe
bildet	VVFIN	bilden
dasjenige	PDS	dasjenige
,	$,	,
was	PRELS	was
man	PIS	man
vererbter	ADJA	vererbter
Automatismus	NN	Automatismus
oder	KON	oder
Instinkt	NN	Instinkt
nennt	VVFIN	nennen
.	$.	.
Hier	ADV	hier
handelt	VVFIN	handeln
es	PPER	es
sich	PRF	sich
nicht	PTKNEG	nicht
nur	ADV	nur
um	APPR	um
zweckmäßige	ADJA	zweckmäßig
Reflexbewegungen	NN	Reflexbewegung
,	$,	,
sondern	KON	sondern
um	APPR	um
eine	ART	eine
in	APPR	in
einander	PRF	einander
folgenden	ADJA	folgend
Zeitpunkten	NN	Zeitpunkt
sich	PRF	sich
abspielende	ADJA	abspielende
Verkettung	NN	Verkettung
einander	PRF	einander
lösender	ADJD	lösend
koordinierter	ADJA	koordiniert
Reflexe	NN	Reflex
.	$.	.
Auf	APPR	auf
solche	PIAT	solche
Weise	NN	Weise
wird	VAFIN	werden
nicht	PTKNEG	nicht
nur	ADV	nur
eine	ART	eine
zweckmäßige	ADJA	zweckmäßig
Bewegung	NN	Bewegung
,	$,	,
sondern	KON	sondern
werden	VAFIN	werden
eine	ART	eine
Reihe	NN	Reihe
zu	APPR	zu
einem	ART	eine
bestimmten	ADJA	bestimmt
Zweck	NN	Zweck
angepaßte	ADJA	angepasst
Handlungen	NN	Handlung
vollführt	VVFIN	vollführen
.	$.	.
Wenn	KOUS	wenn
man	PIS	man
einer	ART	eine
männlichen	ADJA	männlich
Feldgrille	NN	Feldgrille
den	ART	die
Kopf	NN	Kopf
(	$(	(
somit	ADV	somit
das	ART	die
Gehirn	NN	Gehirn
)	$(	)
abschneidet	VVFIN	abschneiden
und	KON	und
legt	VVFIN	legen
ein	ART	eine
Weibchen	NN	Weibchen
unter	APPR	unter
sie	PPER	sie
,	$,	,
so	ADV	so
vollführt	VVFIN	vollführen
sie	PPER	sie
die	ART	die
Begattung	NN	Begattung
,	$,	,
somit	ADV	somit
eine	ART	eine
Reihe	NN	Reihe
zweckmäßiger	ADJA	zweckmäßig
Bewegungen	NN	Bewegung
in	APPR	in
vollständig	ADJD	vollständig
zweckmäßiger	ADJA	zweckmäßig
Weise	NN	Weise
bis	KON	bis
zum	APPRART	zu+die
Schluß	NN	Schluss
.	$.	.
Wenn	KOUS	wenn
man	PIS	man
einer	ART	eine
Taube	NN	Taube
das	ART	die
ganze	ADJA	ganz
Großhirn	NN	Großhirn
wegnimmt	VVFIN	wegnehmen
und	KON	und
sie	PPER	sie
in	APPR	in
die	ART	die
Luft	NN	Luft
wirft	VVFIN	werfen
,	$,	,
so	ADV	so
fliegt	VVFIN	fliegen
sie	PPER	sie
ganz	ADV	ganz
geordnet	VVPP	ordnen
bis	KON	bis
zum	APPRART	zu+die
nächsten	ADJA	nah
Gegenstand	NN	Gegenstand
,	$,	,
wo	PWAV	wo
sie	PPER	sie
sich	PRF	sich
ebenso	ADV	ebenso
geordnet	VVPP	ordnen
setzt	VVFIN	setzen
.	$.	.
Die	ART	die
gleiche	ADJA	gleich
Taube	NN	Taube
schluckt	VVFIN	schlucken
auch	ADV	auch
vollständig	ADJD	vollständig
richtig	ADJD	richtig
die	ART	die
Körner	NN	Korn
,	$,	,
die	PRELS	die
man	PIS	man
ihr	PPOSAT	ihr
in	APPR	in
den	ART	die
Schnabel	NN	Schnabel
setzt	VVFIN	setzen
,	$,	,
verhungert	VVFIN	verhungern
jedoch	ADV	jedoch
,	$,	,
allein	ADV	allein
neben	APPR	neben
diesen	PDAT	dies
Körnern	NN	Korn
gelassen	VVPP	lassen
,	$,	,
indem	KOUS	indem
sie	PPER	sie
nicht	PTKNEG	nicht
imstande	ADV	imstande
ist	VAFIN	sein
,	$,	,
den	ART	die
Reiz	NN	Reiz
,	$,	,
den	PRELS	die
die	ART	die
Körner	NN	Korn
auf	APPR	auf
ihre	PPOSAT	ihr
Augen	NN	Auge
oder	KON	oder
auf	APPR	auf
ihren	PPOSAT	ihr
Geruchssinn	NN	Geruchssinn
ausüben	VVFIN	ausüben
,	$,	,
mit	APPR	mit
dem	ART	die
Hungergefühl	NN	Hungergefühl
zu	PTKZU	zu
assoziieren	VVINF	assoziieren
.	$.	.
Sperrt	VVFIN	sperren
man	PIS	man
männliche	ADJA	männlich
und	KON	und
weibliche	ADJA	weiblich
enthirnte	VVFIN	enthirnte
Tauben	NN	Taube
zusammen	PTKVZ	zusammen
,	$,	,
so	ADV	so
geben	VVFIN	geben
sie	PPER	sie
unzweideutige	ADJA	unzweideutig
Zeichen	NN	Zeichen
der	ART	die
Brunst	NN	Brunst
,	$,	,
begatten	VVFIN	begatten
sich	PRF	sich
aber	ADV	aber
nicht	PTKNEG	nicht
,	$,	,
weil	KOUS	weil
eben	ADV	eben
die	ART	die
gleiche	ADJA	gleich
Assoziation	NN	Assoziation
zwischen	APPR	zwischen
Gesehenem	NN	Gesehene
und	KON	und
Gerochenem	NN	Gerochenem
einerseits	ADV	einerseits
und	KON	und
den	ART	die
zur	APPRART	zu+die
Befriedigung	NN	Befriedigung
des	ART	die
Triebes	NN	Trieb
nötigen	ADJA	nötig
Bewegungsimpulsen	NN	Bewegungsimpuls
andererseits	ADV	andererseits
fehlt	VVFIN	fehlen
.	$.	.
Es	PPER	es
sind	VAFIN	sein
also	ADV	also
in	APPR	in
beiden	PIAT	beide
Fällen	NN	Fall|Fällen
zwei	CARD	zwei
Ketten	NN	Kette
von	APPR	von
Automatismen	NN	Automatismus
vorhanden	ADJD	vorhanden
,	$,	,
welche	PRELS	welche
jedoch	ADV	jedoch
nicht	PTKNEG	nicht
miteinander	ADV	miteinander
verbunden	VVPP	verbinden
werden	VAFIN	werden
,	$,	,
offenbar	ADJD	offenbar
weil	KOUS	weil
das	ART	die
Organ	NN	Organ
fehlt	VVFIN	fehlen
,	$,	,
das	PRELS	die
sie	PPER	sie
für	APPR	für
gewöhnlich	ADJD	gewöhnlich
verknüpft	VVPP	verknüpfen
.	$.	.
Man	PIS	man
muß	VMFIN	müssen
zugeben	VVINF	zugeben
,	$,	,
daß	KOUS	dass
der	ART	die
Schritt	NN	Schritt
vom	APPRART	von+die
Reflex	NN	Reflex
bis	KON	bis
zum	APPRART	zu+die
Automatismus	NN	Automatismus
ein	ART	eine
gewaltiger	ADJA	gewaltig
ist	VAFIN	sein
;	$.	;
es	PPER	es
sind	VAFIN	sein
also	ADV	also
drei	CARD	drei
Hauptstufen	NN	Hauptstufen
zu	PTKZU	zu
unterscheiden	VVINF	unterscheiden
:	$.	:
1	CARD	@card@
.	$.	.
die	ART	die
einfache	ADJA	einfach
Zuckung	NN	Zuckung
,	$,	,
2	CARD	@card@
.	$.	.
die	ART	die
einfache	ADJA	einfach
zweckmäßige	ADJA	zweckmäßig
Reflexbewegung	NN	Reflexbewegung
,	$,	,
3	CARD	@card@
.	$.	.
eine	ART	eine
längere	ADJA	lang
Kette	NN	Kette
zweckmäßiger	ADJA	zweckmäßig
Handlungen	NN	Handlung
.	$.	.
Dennoch	ADV	dennoch
zögern	VVFIN	zögern
die	ART	die
Physiologen	NN	Physiologe
nicht	PTKNEG	nicht
,	$,	,
das	PDS	die
komplizierte	VVFIN	komplizieren
aus	APPR	aus
dem	ART	die
Einfachen	NN	Einfachen
abzuleiten	VVIZU	ableiten
und	KON	und
anzunehmen	VVIZU	annehmen
,	$,	,
daß	KOUS	dass
die	ART	die
Automatismen	NN	Automatismus
Kombinationen	NN	Kombination
von	APPR	von
Reflexen	NN	Reflex
sind	VAFIN	sein
.	$.	.
Gemeinschaftlich	ADJD	gemeinschaftlich
ist	VAFIN	sein
allen	PIS	alle
diesen	PDAT	dies
Erscheinungen	NN	Erscheinung
die	ART	die
gesetzmäßige	ADJA	gesetzmäßig
,	$,	,
zwangsartige	ADJA	zwangsartige
Auslösung	NN	Auslösung
von	APPR	von
Bewegungen	NN	Bewegung
durch	APPR	durch
Sinnesreize	NN	Sinnesreiz
vermittelst	VVFIN	vermitteln
komplizierter	ADJA	kompliziert
Apparate	NN	Apparat
des	ART	die
Zentralnervensystems	NN	Zentralnervensystem
,	$,	,
welche	PRELS	welche
jedoch	ADV	jedoch
vom	APPRART	von+die
Großhirn	NN	Großhirn
unabhängig	ADJD	unabhängig
sein	VAINF	sein
können	VMFIN	können
;	$.	;
ich	PPER	ich
sage	VVFIN	sagen
können	VMINF	können
,	$,	,
weil	KOUS	weil
es	PPER	es
auch	ADV	auch
Großhirnreflexe	NN	Großhirnreflexe
und	KON	und
Großhirnautomatismen	NN	Großhirnautomatismen
gibt	VVFIN	geben
.	$.	.
Hier	ADV	hier
entsteht	VVFIN	entstehen
eine	ART	eine
Frage	NN	Frage
,	$,	,
die	PRELS	die
wir	PPER	wir
schon	ADV	schon
bei	APPR	bei
Besprechung	NN	Besprechung
der	ART	die
Schmerzlosigkeit	NN	Schmerzlosigkeit
bei	APPR	bei
Großhirnzerrungen	NN	Großhirnzerrungen
angeschnitten	VVPP	anschneiden
haben	VAFIN	haben
:	$.	:
Worin	PWAV	worin
besteht	VVFIN	bestehen
eigentlich	ADV	eigentlich
der	ART	die
Unterschied	NN	Unterschied
der	ART	die
Großhirnfunktion	NN	Großhirnfunktion
von	APPR	von
den	ART	die
Funktionen	NN	Funktion
des	ART	die
Rückenmarkes	NN	Rückenmarkes
und	KON	und
der	ART	die
untergeordneten	ADJA	untergeordnet
Hirnzentren	NN	Hirnzentren
?	$.	?
Hierüber	PAV	hierüber
entscheidet	VVFIN	entscheiden
nach	APPR	nach
meiner	PPOSAT	mein
Ansicht	NN	Ansicht
die	ART	die
vergleichende	ADJA	vergleichend
Physiologie	NN	Physiologie
und	KON	und
hat	VAFIN	haben
Isidor	NE	Isidor
Steiner	NE	Steiner
durch	APPR	durch
ein	ART	eine
Experiment	NN	Experiment
den	ART	die
Nagel	NN	Nagel
auf	APPR	auf
den	ART	die
Kopf	NN	Kopf
getroffen	VVPP	treffen|triefen
.	$.	.
Wir	PPER	wir
werden	VAFIN	werden
später	ADJD	spät
bei	APPR	bei
Besprechung	NN	Besprechung
der	ART	die
Phylogenie	NN	Phylogenie
die	ART	die
Sache	NN	Sache
ganz	ADV	ganz
verstehen	VVINF	verstehen
.	$.	.
Beim	APPRART	bei+die
Menschen	NN	Mensch
und	KON	und
bei	APPR	bei
den	ART	die
Säugetieren	NN	Säugetier
und	KON	und
Vögeln	NN	Vogel
wiegt	VVFIN	wiegen
das	ART	die
Großhirn	NN	Großhirn
,	$,	,
wie	KOUS	wie
schon	ADV	schon
gesagt	VVPP	sagen
,	$,	,
über	APPR	über
alle	PIAT	alle
anderen	PIS	andere
Zentren	NN	Zentrum
weit	ADJD	weit
vor	PTKVZ	vor
.	$.	.
Bei	APPR	bei
den	ART	die
Fischen	NN	Fisch|Fischen
dagegen	PAV	dagegen
gibt	VVFIN	geben
es	PPER	es
Arten	NN	Art
,	$,	,
wo	PWAV	wo
das	ART	die
sogenannte	ADJA	sogenannt
Mittelhirn	NN	Mittelhirn
(	$(	(
Vierhügel	NN	Vierhügel
)	$(	)
viel	ADV	viel
größer	ADJD	groß
ist	VAFIN	sein
als	KOKOM	als
das	ART	die
Großhirn	NN	Großhirn
.	$.	.
Wenn	KOUS	wenn
man	PIS	man
bei	APPR	bei
jenen	PDAT	jen
Fischen	NN	Fisch|Fischen
das	ART	die
Großhirn	NN	Großhirn
wegnimmt	VVFIN	wegnehmen
,	$,	,
so	ADV	so
haben	VAFIN	haben
sie	PPER	sie
die	ART	die
Oberleitung	NN	Oberleitung
ihrer	PPOSAT	ihr
Automatismen	NN	Automatismus
nicht	PTKNEG	nicht
verloren	VVPP	verlieren
,	$,	,
erscheinen	VVFIN	erscheinen
wenn	KOUS	wenn
man	PIS	man
ihnen	PPER	sie
Futter	NN	Futter
vorlegt	VVFIN	vorlegen
,	$,	,
jagen	VVFIN	jagen
nach	APPR	nach
demselben	PDAT	dieselb
und	KON	und
benehmen	VVFIN	benehmen
sich	PRF	sich
überhaupt	ADV	überhaupt
nach	APPR	nach
Fischvernunftsmaßstab	NN	Fischvernunftsmaßstab
normal	ADJD	normal
,	$,	,
wenn	KOUS	wenn
man	PIS	man
von	APPR	von
dem	ART	die
geschädigten	ADJA	geschädigt
Geruchsapparat	NN	Geruchsapparat
absieht	VVFIN	absehen
.	$.	.
Bei	APPR	bei
allen	PIAT	alle
anderen	PIS	andere
Wirbeltieren	NN	Wirbeltier
dagegen	PAV	dagegen
und	KON	und
sogar	ADV	sogar
bei	APPR	bei
solchen	PIAT	solche
wirbellosen	ADJA	wirbellos
(	$(	(
z.	APPR	zu
B.	NE	B.
Ameisen	NN	Ameise
)	$(	)
,	$,	,
wo	PWAV	wo
das	ART	die
Großhirn	NN	Großhirn
das	ART	die
Übergewicht	NN	Übergewicht
besitzt	VVFIN	besitzen
,	$,	,
verliert	VVFIN	verlieren
das	ART	die
Tier	NN	Tier
durch	APPR	durch
Entfernung	NN	Entfernung
desselben	PDS	derselbe
seine	PPOSAT	sein
geistige	ADJA	geistig
Oberleitung	NN	Oberleitung
.	$.	.
Es	PPER	es
ist	VAFIN	sein
folglich	ADV	folglich
nicht	PTKNEG	nicht
eine	ART	eine
Spezialstruktur	NN	Spezialstruktur
des	ART	die
Großhirns	NN	Großhirn
,	$,	,
sondern	KON	sondern
das	ART	die
Übergewicht	NN	Übergewicht
des	ART	die
größten	ADJA	groß
und	KON	und
kompliziertesten	ADJA	kompliziert
übergeordneten	ADJA	übergeordnet
Nervenzentrums	NN	Nervenzentrums
,	$,	,
das	PRELS	die
die	ART	die
geistige	ADJA	geistig
Oberleitung	NN	Oberleitung
eines	ART	eine
Tieres	NN	Tier
bestimmt	VVPP	bestimmen
,	$,	,
wie	KOUS	wie
dies	PDS	dies
Steiner	NE	Steiner
folgerichtig	ADJD	folgerichtig
ausführt	VVFIN	ausführen
.	$.	.
Aus	APPR	aus
dieser	PDAT	dies
einfachen	ADJA	einfach
Tatsache	NN	Tatsache
allein	ADV	allein
erhellt	VVFIN	erhellen
der	ART	die
Unsinn	NN	Unsinn
der	ART	die
landläufigen	ADJA	landläufig
Behauptung	NN	Behauptung
,	$,	,
das	ART	die
Großhirn	NN	Großhirn
an	APZR	an
sich	PRF	sich
allein	ADV	allein
sein	PPOSAT	sein
„	$(	„
Bewußtseinsorgan	NN	Bewußtseinsorgan
“	$(	“
(	$(	(
siehe	ADV	siehe
übrigens	ADV	übrigens
3	CARD	@card@
.	$.	.
Kap.	NN	Kap.
)	$(	)
.	$.	.
Nur	ADV	nur
aus	APPR	aus
dem	ART	die
eben	ADV	eben
erwähnten	ADJA	erwähnt
Grunde	NN	Grund
ist	VAFIN	sein
das	ART	die
menschliche	ADJA	menschlich
Oberbewußtsein	NN	Oberbewußtsein
gerade	ADV	gerade
die	ART	die
innere	ADJA	inner
Spiegelung	NN	Spiegelung
der	ART	die
Haupttätigkeit	NN	Haupttätigkeit
des	ART	die
menschlichen	ADJA	menschlich
Großhirns	NN	Großhirn
geworden	VAPP	werden
.	$.	.
Wenn	KOUS	wenn
ein	ART	eine
Reiz	NN	Reiz
,	$,	,
der	PRELS	die
im	APPRART	in+die
Gehirn	NN	Gehirn
ankommt	VVFIN	ankommen
,	$,	,
dort	ADV	dort
zu	APPR	zu
keiner	PIAT	keine
Bewegung	NN	Bewegung
Anlaß	NN	Anlass
gibt	VVFIN	geben
,	$,	,
sondern	KON	sondern
in	APPR	in
Spannkraft	NE	Spannkraft
umgewandelt	VVPP	umwandeln
wird	VAFIN	werden
,	$,	,
spricht	VVFIN	sprechen
man	PIS	man
von	APPR	von
Hemmung	NN	Hemmung
.	$.	.
Die	ART	die
Ganglienzellen	NN	Ganglienzellen
und	KON	und
die	ART	die
Zwischensubstanz	NN	Zwischensubstanz
werden	VAFIN	werden
teilweise	ADV	teilweise
als	KOKOM	als
Hemmungsapparate	NN	Hemmungsapparate
betrachtet	VVPP	betrachten
.	$.	.
Wird	VAFIN	werden
umgekehrt	ADJD	umgekehrt
eine	ART	eine
starke	ADJA	stark
Bewegung	NN	Bewegung
von	APPR	von
einem	ART	eine
an	APPR	an
sich	PRF	sich
schwachen	ADJA	schwach
inneren	ADJA	inner
Reizvorgang	NN	Reizvorgang
im	APPRART	in+die
Gehirn	NN	Gehirn
hervorgerufen	VVPP	hervorrufen
,	$,	,
spricht	VVFIN	sprechen
man	PIS	man
mit	APPR	mit
Exner	NN	Exner
von	APPR	von
Bahnung	NN	Bahnung
.	$.	.
5	CARD	@card@
.	$.	.
Folgen	NN	Folge
der	ART	die
Großhirnausschneidung	NN	Großhirnausschneidung
.	$.	.
Es	PPER	es
war	VAFIN	sein
zuerst	ADV	zuerst
der	ART	die
Physiologe	NN	Physiologe
Flourens	NN	Flourens
,	$,	,
der	PRELS	die
bei	APPR	bei
Tauben	NN	Taube
das	ART	die
Großhirn	NN	Großhirn
ganz	ADV	ganz
wegnahm	VVFIN	wegnehmen
und	KON	und
die	ART	die
Tiere	NN	Tier
am	APPRART	an+die
Leben	NN	Leben
erhielt	VVFIN	erhalten
.	$.	.
Später	ADJD	spät
gelang	VVFIN	gelingen
es	PPER	es
Goltz	NE	Goltz
,	$,	,
einigen	PIAT	einige
Hunden	NN	Hund
das	ART	die
Großhirn	NN	Großhirn
mit	APPR	mit
Ausnahme	NN	Ausnahme
unwesentlicher	ADJA	unwesentlich
Teile	NN	Teil
des	ART	die
Geruchszentrums	NN	Geruchszentrums
wegzunehmen	VVIZU	wegnehmen
und	KON	und
wenigstens	ADV	wenigstens
den	ART	die
einen	ADJA	einen
Hund	NN	Hund
18	CARD	@card@
Monate	NN	Monat
lang	ADJD	lang
gesund	ADJD	gesund
am	APPRART	an+die
Leben	NN	Leben
zu	PTKZU	zu
erhalten	VVINF	erhalten
.	$.	.
Derselbe	PDS	derselbe
mußte	VMFIN	müssen
zuerst	ADV	zuerst
künstlich	ADJD	künstlich
gefüttert	VVPP	füttern
werden	VAINF	werden
,	$,	,
gewann	VVFIN	gewinnen
aber	ADV	aber
allmählich	ADJD	allmählich
die	ART	die
