Was	PWS	was
Leuten	NN	Leute
fand	VVFIN	finden
wohl	ADV	wohl
der	ART	die
Heiland	NN	Heiland
am	APPRART	an+die
Ersten	NN	Erste
das	PDS	die
,	$,	,
was	PRELS	was
zu	APPR	zu
Erlösung	NN	Erlösung
nothwendig	ADJD	nothwendig
war	VAFIN	sein
–	$(	-
nämlich	ADV	nämlich
Empfänglichkeit	NN	Empfänglichkeit
,	$,	,
Glauben	NN	Glaube
,	$,	,
Gehorsam	NN	Gehorsam
,	$,	,
Buße	NN	Buße
,	$,	,
Liebe	NN	Liebe
und	KON	und
Nachfolge	NN	Nachfolge
–	$(	-
:	$.	:
unter	APPR	unter
den	ART	die
Reichen	NN	Reich|Reiche|Reichen
oder	KON	oder
unter	APPR	unter
den	ART	die
Armen	NN	Arm|Arme
?	$.	?
Unter	APPR	unter
denen	PDS	die
,	$,	,
die	PRELS	die
da	ADV	da
alle	PIAT	alle
Tage	NN	Tag
im	APPRART	in+die
Ueberfluß	NN	Ueberfluß
schwelgten	VVFIN	schwelgen
und	KON	und
weder	KON	weder
die	ART	die
Sehnsucht	NN	Sehnsucht
noch	ADV	noch
das	ART	die
Bedürfnis	NN	Bedürfnis
nach	APPR	nach
Erleuchtung	NN	Erleuchtung
und	KON	und
Heiligung	NN	Heiligung
im	APPRART	in+die
Herzen	NN	Herz
trugen	VVINF	tragen
,	$,	,
oder	KON	oder
unter	APPR	unter
denen	PDS	die
,	$,	,
die	PRELS	die
da	ADV	da
geistlich	ADJD	geistlich
arm	ADJD	arm
waren	VAFIN	sein
,	$,	,
die	PRELS	die
da	ADV	da
,	$,	,
ausgewachsen	VVPP	auswachsen
unter	APPR	unter
Mangel	NN	Mangel
und	KON	und
Entbehrung	NN	Entbehrung
,	$,	,
und	KON	und
irregeführt	VVPP	irreführen
durch	APPR	durch
blinde	ADJA	blind
Leiter	NN	Leiter
und	KON	und
Volksverführer	NN	Volksverführer
,	$,	,
tief	ADJD	tief
hinabgesunken	VVPP	hinabsinken
waren	VAFIN	sein
in	APPR	in
die	ART	die
Sünde	NN	Sünde
,	$,	,
und	KON	und
unter	APPR	unter
Reue	NN	Reue
und	KON	und
Schmerz	NN	Schmerz
sich	PRF	sich
nach	APPR	nach
dem	ART	die
Frieden	NN	Frieden
der	ART	die
Seele	NN	Seele
sehnten	VVFIN	sehnen
,	$,	,
oder	KON	oder
die	ART	die
in	APPR	in
der	ART	die
Sünde	NN	Sünde
gar	ADV	gar
nicht	PTKNEG	nicht
verhärtet	VVPP	verhärten
,	$,	,
umherirrten	VVFIN	umherirren
ohne	APPR	ohne
Trost	NN	Trost
und	KON	und
Hilfe	NN	Hilfe
,	$,	,
wie	KOUS	wie
die	ART	die
Schafe	NN	Schaf
ohne	APPR	ohne
Hirten	NN	Hirte
?	$.	?
Die	ART	die
Gesunden	NN	Gesunde|Gesunden
bedurften	VVFIN	bedurften
wahrhaftig	ADJD	wahrhaftig
der	ART	die
Hilfe	NN	Hilfe
des	ART	die
Arztes	NN	Arzt
nicht	PTKNEG	nicht
,	$,	,
sondern	KON	sondern
die	ART	die
Kranken	NN	Kranke
!	$.	!
Die	ART	die
Uebermüthigen	NN	Uebermüthigen
und	KON	und
Stolzen	NN	Stolze
sehnten	VVFIN	sehnen
sich	PRF	sich
nicht	PTKNEG	nicht
nach	APPR	nach
dem	ART	die
Troste	NN	Trost
Israels	NE	Israel
,	$,	,
sondern	KON	sondern
die	ART	die
Demüthigen	NN	Demüthigen
und	KON	und
Bußfertigen	ADJA	bußfertig
.	$.	.
Um	APPR	um
aber	ADV	aber
da	ADV	da
Hilfe	NN	Hilfe
und	KON	und
Rettung	NN	Rettung
zu	PTKZU	zu
schaffen	VVINF	schaffen
,	$,	,
wo	PWAV	wo
sie	PPER	sie
am	APPRART	an+die
nothwendigsten	ADJA	nothwendigsten
war	VAFIN	sein
,	$,	,
um	KOUI	um
da	ADV	da
den	ART	die
Heilswahrheiten	NN	Heilswahrheiten
des	ART	die
Evangeliums	NN	Evangelium
Eingang	NN	Eingang
zu	PTKZU	zu
verschaffen	VVINF	verschaffen
,	$,	,
wo	PWAV	wo
sie	PPER	sie
nicht	PTKNEG	nicht
nur	ADV	nur
Annahme	NN	Annahme
und	KON	und
Nachfolge	NN	Nachfolge
fanden	VVFIN	finden
,	$,	,
wo	PWAV	wo
sie	PPER	sie
auch	ADV	auch
mit	APPR	mit
Freude	NN	Freude
begrüßt	VVPP	begrüßen
,	$,	,
mit	APPR	mit
Liebe	NN	Liebe
befolgt	VVPP	befolgen
,	$,	,
mit	APPR	mit
Ernst	NN	Ernst
und	KON	und
Eifer	NN	Eifer
als	KOKOM	als
die	ART	die
schönste	ADJA	schön
Himmelsgabe	NN	Himmelsgabe
hoch	ADJD	hoch
und	KON	und
heilig	ADJD	heilig
gehalten	VVPP	halten
wurden	VAFIN	werden
:	$.	:
um	KOUI	um
so	ADV	so
Großes	NN	Große
zum	APPRART	zu+die
Heile	NN	Heile
der	ART	die
ganzen	ADJA	ganz
Welt	NN	Welt
zu	PTKZU	zu
bewirken	VVINF	bewirken
,	$,	,
so	ADV	so
sollte	VMFIN	sollen
eben	ADV	eben
nach	APPR	nach
Gottes	NN	Gott
heiligem	ADJA	heilig
Rathschlusse	NN	Rathschlusse
schon	ADV	schon
durch	APPR	durch
die	ART	die
arme	ADJA	arm
Geburt	NN	Geburt
des	ART	die
Sohnes	NN	Sohn
Gottes	NN	Gott
der	ART	die
Menschheit	NN	Menschheit
ein	ART	eine
Fingerzeig	NN	Fingerzeig
von	APPR	von
der	ART	die
heiligen	ADJA	heilig
Aufgabe	NN	Aufgabe
und	KON	und
Bestimmung	NN	Bestimmung
des	ART	die
Weltheilandes	NN	Weltheilandes
gegeben	VVPP	geben
werden	VAINF	werden
.	$.	.
Alle	PIS	alle
sollten	VMFIN	sollen
einsehen	VVINF	einsehen
,	$,	,
daß	KOUS	dass
er	PPER	er
berufen	VVINF	berufen
sei	VAFIN	sein
zu	PTKZU	zu
suchen	VVINF	suchen
und	KON	und
zu	PTKZU	zu
erretten	VVINF	erretten
,	$,	,
was	PRELS	was
verloren	VVPP	verlieren
war	VAFIN	sein
.	$.	.
Die	ART	die
Ehrgeizigen	NN	Ehrgeizige
und	KON	und
Stolzen	NN	Stolze
sollten	VMFIN	sollen
von	APPR	von
ihm	PPER	er
abgehalten	VVPP	abhalten
,	$,	,
die	ART	die
Hilfsbedürftigen	NN	Hilfsbedürftige
und	KON	und
Bußfertigen	ADJA	bußfertig
aber	ADV	aber
sollten	VMFIN	sollen
durch	APPR	durch
ihn	PPER	er
angezogen	VVPP	anziehen
werden	VAINF	werden
.	$.	.
–	$(	-
Ja	NN	Ja
!	$.	!
in	APPR	in
Armuth	TRUNC	Armuth
und	KON	und
Dürftigkeit	NN	Dürftigkeit
sollte	VMFIN	sollen
der	ART	die
Herr	NN	Herr
geboren	VVPP	gebären
werden	VAINF	werden
;	$.	;
als	KOUS	als
der	ART	die
Sohn	NN	Sohn
armer	ADJA	arm
Eltern	NN	Eltern
sollte	VMFIN	sollen
er	PPER	er
unter	APPR	unter
den	ART	die
Armen	NN	Arm|Arme
und	KON	und
Hülfsbedürftigen	NN	Hülfsbedürftigen
sein	PPOSAT	sein
Evangelium	NN	Evangelium
predigen	VVINF	predigen
.	$.	.
Die	ART	die
Geburtsgeschichte	NN	Geburtsgeschichte
Jesu	NN	Jesu
ist	VAFIN	sein
uns	PPER	wir
ein	ART	eine
Spiegelbild	NN	Spiegelbild
,	$,	,
in	APPR	in
welchem	PRELS	welche
wir	PPER	wir
das	ART	die
spätere	ADJA	spät
Leben	NN	Leben
und	KON	und
Wirken	NN	Wirken
unsers	PPOSAT	unser
Heilandes	NN	Heiland
schauen	VVFIN	schauen
,	$,	,
denn	ADV	denn
:	$.	:
2	CARD	@card@
.	$.	.
Unter	APPR	unter
wunderbaren	ADJA	wunderbar
Fügungen	NN	Fügung
erfolgt	VVFIN	erfolgen
des	ART	die
Herrn	NN	Herr
Geburt	NN	Geburt
in	APPR	in
Bethlehem	NE	Bethlehem
;	$.	;
unter	APPR	unter
wunderbaren	ADJA	wunderbar
Umständen	NN	Umstand
beginnt	VVFIN	beginnen
und	KON	und
vollendet	VVFIN	vollenden
der	ART	die
Herr	NN	Herr
sein	PPOSAT	sein
Erlösungswerk	NN	Erlösungswerk
in	APPR	in
Bethlehems	NE	Bethlehem
Nähe	NN	Nähe
.	$.	.
Rom	NE	Rom
galt	VVFIN	gelten
von	APPR	von
je	ADV	je
her	APZR	her
als	KOKOM	als
der	ART	die
Sitz	NN	Sitz
des	ART	die
rohesten	ADJA	rohesten
Heidenthums	NN	Heidenthums
,	$,	,
als	KOUS	als
die	ART	die
finstere	ADJA	finster
Stätte	NN	Stätte
,	$,	,
von	APPR	von
welcher	PRELS	welche
aus	APPR	aus
nicht	PTKNEG	nicht
nur	ADV	nur
der	ART	die
schrecklichste	ADJA	schrecklich
Aberglaube	NN	Aberglaube
,	$,	,
sondern	KON	sondern
auch	ADV	auch
die	ART	die
tiefste	ADJA	tief
sittliche	ADJA	sittlich
Entartung	NN	Entartung
und	KON	und
Gesunkenheit	NN	Gesunkenheit
in	APPR	in
alle	PIAT	alle
Theile	NE	Theile
der	ART	die
alten	ADJA	alt
Welt	NN	Welt
verbreitet	VVPP	verbreiten
wurden	VAFIN	werden
.	$.	.
War	VAFIN	sein
es	PPER	es
nun	ADV	nun
nicht	PTKNEG	nicht
eine	ART	eine
wunderbare	ADJA	wunderbar
Fügung	NN	Fügung
Gottes	NN	Gott
,	$,	,
daß	KOUS	dass
ein	ART	eine
römischer	ADJA	römisch
Kaiser	NN	Kaiser
,	$,	,
der	PRELS	die
in	APPR	in
der	ART	die
Kathedrale	NN	Kathedrale
des	ART	die
Aberglaubens	NN	Aberglaube
und	KON	und
der	ART	die
Sünde	NN	Sünde
seine	PPOSAT	sein
Knie	NN	Knie
vor	APPR	vor
stummen	ADJA	stumm
Götzen	NN	Götze
beugte	VVFIN	beugen
,	$,	,
dem	ART	die
allweißen	ADJA	allweißen
Gott	NN	Gott
insofern	ADV	insofern
als	KOKOM	als
Werkzeug	NN	Werkzeug
dienen	VVINF	dienen
mußte	VMFIN	müssen
,	$,	,
als	KOUS	als
er	PPER	er
den	ART	die
berüchtigten	ADJA	berüchtigt
Befehl	NN	Befehl
zur	APPRART	zu+die
Abschätzung	NN	Abschätzung
nach	APPR	nach
Stämmen	NN	Stamm
geben	VVFIN	geben
,	$,	,
und	KON	und
jedem	PIAT	jede
Israeliten	NN	Israelit
,	$,	,
also	ADV	also
auch	ADV	auch
dem	ART	die
Joseph	NE	Joseph
,	$,	,
die	ART	die
Weisung	NN	Weisung
,	$,	,
der	ART	die
Abschätzung	NN	Abschätzung
wegen	APPO	wegen
,	$,	,
in	APPR	in
seinen	PPOSAT	sein
Stammort	NN	Stammort
zu	PTKZU	zu
wandern	VVINF	wandern
,	$,	,
ertheilen	VVINF	ertheilen
sollte	VMFIN	sollen
?	$.	?
War	VAFIN	sein
es	PPER	es
nicht	PTKNEG	nicht
wunderbar	ADJD	wunderbar
,	$,	,
daß	KOUS	dass
also	ADV	also
ein	ART	eine
heidnischer	ADJA	heidnisch
Kaiser	NN	Kaiser
,	$,	,
ein	ART	eine
erklärter	ADJA	erklärt
Feind	NN	Feind
des	ART	die
Christenthums	NN	Christenthums
,	$,	,
die	ART	die
Veranlassung	NN	Veranlassung
dazu	PAV	dazu
geben	VVINF	geben
mußte	VMFIN	müssen
,	$,	,
daß	KOUS	dass
der	ART	die
Heiland	NN	Heiland
gerade	ADV	gerade
in	APPR	in
Bethlehem	NE	Bethlehem
geboren	VVPP	gebären
wurde	VAFIN	werden
,	$,	,
in	APPR	in
der	ART	die
Stadt	NN	Stadt
Davids	NE	David
,	$,	,
in	APPR	in
welcher	PRELS	welche
er	PPER	er
nach	APPR	nach
der	ART	die
Erwartung	NN	Erwartung
des	ART	die
jüdischen	ADJA	jüdisch
Volkes	NN	Volk
zu	APPR	zu
Welt	NN	Welt
kommen	VVINF	kommen
sollte	VMFIN	sollen
,	$,	,
weil	KOUS	weil
von	APPR	von
dieser	PDAT	dies
Stadt	NN	Stadt
schon	ADV	schon
der	ART	die
Prophet	NN	Prophet
Micha	NE	Micha
geweissagt	VVPP	geweissagt
hatte	VAFIN	haben
:	$.	:
„	$(	„
Du	PPER	du
Bethlehem	NE	Bethlehem
Ephrata	NE	Ephrata
,	$,	,
du	PPER	du
bist	VAFIN	sein
mit	APPR	mit
nichten	ADJA	nichten
die	ART	die
Kleinste	NN	Kleinste
unter	APPR	unter
den	ART	die
Städten	NN	Stadt
Judas	NE	Judas
,	$,	,
denn	KON	denn
aus	APPR	aus
dir	PPER	du
soll	VMFIN	sollen
kommen	VVFIN	kommen
der	ART	die
Herzog	NN	Herzog
,	$,	,
der	PRELS	die
über	APPR	über
mein	PPOSAT	mein
Volk	NN	Volk
ein	ART	eine
Herr	NN	Herr
sei	VAFIN	sein
?	$.	?
War	VAFIN	sein
es	PPER	es
ferner	ADJD	fern
nicht	PTKNEG	nicht
eine	ART	eine
gar	ADV	gar
wunderbare	ADJA	wunderbar
Fügung	NN	Fügung
Gottes	NN	Gott
,	$,	,
daß	KOUS	dass
der	ART	die
Heiland	NN	Heiland
,	$,	,
wie	KOUS	wie
die	ART	die
Juden	NN	Jude
hofften	VVFIN	hoffen
wirklich	ADJD	wirklich
aus	APPR	aus
dem	ART	die
Stamme	NN	Stamm
Davids	NE	David
stammte	VVFIN	stammen
,	$,	,
daß	KOUS	dass
er	PPER	er
,	$,	,
berufen	VVFIN	berufen
zur	APPRART	zu+die
Verwirklichung	NN	Verwirklichung
der	ART	die
heiligsten	ADJA	heilig
Absichten	NN	Absicht
Gottes	NN	Gott
,	$,	,
den	ART	die
Verfolgungen	NN	Verfolgung
des	ART	die
um	APPR	um
seinen	PPOSAT	sein
Thron	NN	Thron
besorgten	VVFIN	besorgen
Königs	NE	König
Herodes	NN	Herodes
entging	VVFIN	entgehen
,	$,	,
und	KON	und
zuerst	ADV	zuerst
in	APPR	in
Aegyptenland	NN	Aegyptenland
,	$,	,
und	KON	und
später	ADJD	spät
in	APPR	in
Nazareth	NE	Nazareth
in	APPR	in
der	ART	die
Stille	NN	Stille
und	KON	und
Zurückgezogenheit	NN	Zurückgezogenheit
einer	ART	eine
einfachen	ADJA	einfach
Bürgersfamilie	NN	Bürgersfamilie
ungestört	ADJD	ungestört
seinen	PPOSAT	sein
Geist	NN	Geist
bilden	VVFIN	bilden
,	$,	,
sich	PRF	sich
mit	APPR	mit
den	ART	die
Schriften	NN	Schrift
des	ART	die
alten	ADJA	alt
Bundes	NN	Bund
und	KON	und
mit	APPR	mit
den	ART	die
Erwartungen	NN	Erwartung
seines	PPOSAT	sein
Volkes	NN	Volk
vertraut	ADJD	vertraut
machen	VVFIN	machen
,	$,	,
seinen	PPOSAT	sein
Plan	NN	Plan
zu	APPR	zu
seinem	PPOSAT	sein
heiligen	ADJA	heilig
Erlösungswerke	NN	Erlösungswerke
entwerfen	VVFIN	entwerfen
,	$,	,
sich	PRF	sich
selbst	ADV	selbst
aber	ADV	aber
zeitig	ADJD	zeitig
an	APPR	an
die	ART	die
Beschwerden	NN	Beschwerde
und	KON	und
Entbehrungen	NN	Entbehrung
gewöhnen	VVINF	gewöhnen
konnte	VMFIN	können
,	$,	,
die	PRELS	die
sein	PPOSAT	sein
späterer	ADJA	spät
Beruf	NN	Beruf
unumgänglich	ADJD	unumgänglich
forderte	VVFIN	fordern
?	$.	?
War	VAFIN	sein
es	PPER	es
nicht	PTKNEG	nicht
wunderbar	ADJD	wunderbar
,	$,	,
daß	KOUS	dass
der	ART	die
Herr	NN	Herr
gerade	ADV	gerade
unter	APPR	unter
dem	ART	die
Volke	NN	Volk
geboren	VVPP	gebären
wurde	VAFIN	werden
,	$,	,
unter	APPR	unter
welchem	PRELS	welche
er	PPER	er
die	ART	die
meisten	PIAT	meist
Anknüpfungspunkte	NN	Anknüpfungspunkt
,	$,	,
die	ART	die
glücklichste	ADJA	glücklich
,	$,	,
erfolgreichste	ADJA	erfolgreich
Thätigkeit	NN	Thätigkeit
eben	ADV	eben
deshalb	PAV	deshalb
fand	VVFIN	finden
,	$,	,
weil	KOUS	weil
unter	APPR	unter
demselben	PDAT	dieselb
Volke	NN	Volk
schon	ADV	schon
Moses	NE	Moses
und	KON	und
die	ART	die
Propheten	NN	Prophet
den	ART	die
einen	ADJA	einen
wahren	ADJA	wahr
Gott	NN	Gott
gelehrt	VVPP	lehren
,	$,	,
den	ART	die
Messias	NN	Messias
geweissaget	VVPP	geweissaget
,	$,	,
und	KON	und
von	APPR	von
der	ART	die
Stiftung	NN	Stiftung
eines	ART	eine
Messiasreiches	NN	Messiasreiches
,	$,	,
als	KOUS	als
eines	ART	eine
Reiches	NN	Reich
der	ART	die
ewigen	ADJA	ewig
Wahrheit	NN	Wahrheit
,	$,	,
der	ART	die
Liebe	NN	Liebe
und	KON	und
des	ART	die
Friedens	NN	Frieden
die	ART	die
deutlichsten	ADJA	deutlich
Aufschlüsse	NN	Aufschluss
gegeben	VVPP	geben
hatten	VAFIN	haben
?	$.	?
Muß	VMFIN	müssen
es	PPER	es
uns	PRF	wir
zuletzt	ADV	zuletzt
nicht	PTKNEG	nicht
wunderbar	ADJD	wunderbar
vorkommen	VVINF	vorkommen
,	$,	,
daß	KOUS	dass
die	ART	die
Natur	NN	Natur
,	$,	,
die	PRELS	die
in	APPR	in
ungewöhnlichem	ADJA	ungewöhnlich
Glanze	NN	Glanz
die	ART	die
Geburt	NN	Geburt
des	ART	die
Gottessohnes	NN	Gottessohn
begrüßt	VVPP	begrüßen
,	$,	,
später	ADJD	spät
gewissermaßen	ADV	gewissermaßen
um	APPR	um
den	ART	die
großen	ADJA	groß
Todten	NN	Todten
,	$,	,
der	PRELS	die
da	ADV	da
am	APPRART	an+die
Kreuze	NN	Kreuz
starb	VVFIN	sterben
,	$,	,
trauert	VVFIN	trauern
,	$,	,
indem	KOUS	indem
in	APPR	in
seiner	PPOSAT	sein
Sterbestunde	NN	Sterbestunde
die	ART	die
Sonne	NN	Sonne
ihren	PPOSAT	ihr
Schein	NN	Schein
verlor	VVFIN	verlieren
,	$,	,
indem	KOUS	indem
Finsterniß	NN	Finsterniß
weithin	ADV	weithin
das	ART	die
Erdreich	NN	Erdreich
bedeckte	VVFIN	bedecken
und	KON	und
ein	ART	eine
Erdbeben	NN	Erdbeben
den	ART	die
Vorhang	NN	Vorhang
des	ART	die
Allerheiligsten	NN	Allerheiligste
im	APPRART	in+die
Tempel	NN	Tempel
zerriß	VVFIN	zerreißen
?	$.	?
Ja	PTKANT	ja
,	$,	,
wir	PPER	wir
müssen	VMFIN	müssen
sagen	VVINF	sagen
:	$.	:
unter	APPR	unter
gar	ADV	gar
wunderbaren	ADJA	wunderbar
Fügungen	NN	Fügung
erfolgt	VVFIN	erfolgen
des	ART	die
Herrn	NN	Herr
Geburt	NN	Geburt
in	APPR	in
Bethlehem	NE	Bethlehem
–	$(	-
.	$.	.
Und	KON	und
wenn	KOUS	wenn
wir	PPER	wir
nun	ADV	nun
wissen	VVFIN	wissen
,	$,	,
meine	PPOSAT	mein
Lieben	NN	Liebe|Lieben
,	$,	,
daß	KOUS	dass
der	ART	die
Herr	NN	Herr
gerade	ADV	gerade
vom	APPRART	von+die
Oelberge	NN	Oelberge
aus	PTKVZ	aus
,	$,	,
in	APPR	in
dessen	PRELAT	die
Nähe	NN	Nähe
ja	ADV	ja
Bethlehem	NE	Bethlehem
lag	VVFIN	liegen
,	$,	,
und	KON	und
heute	ADV	heute
noch	ADV	noch
liegt	VVFIN	liegen
,	$,	,
seinen	PPOSAT	sein
feierlichen	ADJA	feierlich
Einzug	NN	Einzug
in	APPR	in
Jerusalem	NE	Jerusalem
hielt	VVFIN	halten
,	$,	,
wenn	KOUS	wenn
uns	PPER	wir
ferner	ADJD	fern
bekannt	VVPP	bekennen
ist	VAFIN	sein
,	$,	,
daß	KOUS	dass
er	PPER	er
nahe	APPR	nahe
bei	APPR	bei
Bethlehem	NE	Bethlehem
,	$,	,
nämlich	ADV	nämlich
in	APPR	in
der	ART	die
Wüste	NN	Wüste
,	$,	,
sich	PRF	sich
auf	APPR	auf
seinen	PPOSAT	sein
heiligen	ADJA	heilig
Stand	NN	Stand
vorbereitete	VVFIN	vorbereiten
,	$,	,
und	KON	und
nun	ADV	nun
,	$,	,
nachdem	KOUS	nachdem
er	PPER	er
als	KOKOM	als
Lehrer	NN	Lehrer
von	APPR	von
Gott	NN	Gott
vor	APPR	vor
das	ART	die
Volk	NN	Volk
getreten	VVPP	treten
war	VAFIN	sein
,	$,	,
auch	ADV	auch
in	APPR	in
der	ART	die
Nähe	NN	Nähe
von	APPR	von
Bethlehem	NE	Bethlehem
von	APPR	von
Johannes	NE	Johannes
im	APPRART	in+die
Jordan	NE	Jordan
getauft	VVPP	taufen
,	$,	,
vom	APPRART	von+die
Volke	NN	Volk
als	KOKOM	als
Messias	NN	Messias
begrüßt	VVPP	begrüßen
,	$,	,
die	PRELS	die
meisten	PIS	meiste
und	KON	und
größten	ADJA	groß
seiner	PPOSAT	sein
Thaten	NN	Thaten
und	KON	und
Werke	NN	Werk
vollbracht	VVPP	vollbringen
,	$,	,
und	KON	und
zuletzt	ADV	zuletzt
,	$,	,
als	KOUS	als
er	PPER	er
seinen	PPOSAT	sein
Feinden	NN	Feind
und	KON	und
der	ART	die
Sünde	NN	Sünde
zum	APPRART	zu+die
Opfer	NN	Opfer
fallen	VVINF	fallen
sollte	VMFIN	sollen
,	$,	,
ganz	ADV	ganz
nahe	PTKVZ	nahe
bei	APPR	bei
Bethlehem	NE	Bethlehem
,	$,	,
nämlich	ADV	nämlich
auf	APPR	auf
Golgatha	NE	Golgatha
,	$,	,
sein	PPOSAT	sein
edles	ADJA	edel
Leben	NN	Leben
aushauchte	VVFIN	aushauchen
,	$,	,
und	KON	und
die	ART	die
Worte	NN	Wort
sprechen	VVINF	sprechen
durfte	VMFIN	dürfen
:	$.	:
„	$(	„
Es	PPER	es
ist	VAFIN	sein
vollbracht	VVPP	vollbringen
,	$,	,
Vater	NN	Vater
in	APPR	in
deine	PPOSAT	dein
Hände	NN	Hand
befehle	VVFIN	befehlen
ich	PPER	ich
meinen	PPOSAT	mein
Geist	NN	Geist
“	$(	“
dürfen	VMFIN	dürfen
wir	PPER	wir
da	ADV	da
nicht	PTKNEG	nicht
sagen	VVINF	sagen
,	$,	,
meine	PPOSAT	mein
Lieben	NN	Liebe|Lieben
:	$.	:
die	ART	die
Geburtsgeschichte	NN	Geburtsgeschichte
Jesu	NN	Jesu
ist	VAFIN	sein
uns	PPER	wir
ein	ART	eine
Spiegelbild	NN	Spiegelbild
,	$,	,
in	APPR	in
welchem	PRELS	welche
wir	PPER	wir
das	ART	die
spätere	ADJA	spät
Leben	NN	Leben
und	KON	und
Wirken	NN	Wirken
unseres	PPOSAT	unser
Heilandes	NN	Heiland
schauen	VVFIN	schauen
?	$.	?
Unter	APPR	unter
wunderbaren	ADJA	wunderbar
Fügungen	NN	Fügung
erfolgt	VVFIN	erfolgen
ja	ADV	ja
des	ART	die
Herrn	NN	Herr
Geburt	NN	Geburt
in	APPR	in
Bethlehem	NE	Bethlehem
,	$,	,
unter	APPR	unter
wunderbaren	ADJA	wunderbar
Umständen	NN	Umstand
beginnt	VVFIN	beginnen
und	KON	und
vollendet	VVFIN	vollenden
der	ART	die
Herr	NN	Herr
sein	PPOSAT	sein
Erlösungswerk	NN	Erlösungswerk
in	APPR	in
Bethlehems	NE	Bethlehem
Nähe	NN	Nähe
.	$.	.
