1	CARD	@card@
.	$.	.
und	KON	und
die	ART	die
ganze	ADJA	ganz
Gruppe	NN	Gruppe
,	$,	,
welche	PRELS	welche
Ferussac	NE	Ferussac
im	APPRART	in+die
Gegensatze	NN	Gegensatz
zu	APPR	zu
den	ART	die
genannten	ADJA	genannt
haarigen	ADJA	haarig
Arten	NN	Art
(	$(	(
Hygromanes	NN	Hygromanes
Fer	VVFIN	Fer
.	$.	.
,	$,	,
Fruticicola	NE	Fruticicola
Held	NE	Held
)	$(	)
unter	APPR	unter
dem	ART	die
Namen	NN	Name
Heliomanes	NN	Heliomanes
,	$,	,
Albers	NE	Albers
unter	APPR	unter
dem	ART	die
ebenso	ADV	ebenso
bezeichnenden	ADJA	bezeichnend
Xerophila	NN	Xerophila
zusammenfasst	VVFIN	zusammenfassen
.	$.	.
Mitglieder	NN	Mitglied
dieser	PDAT	dies
Gruppe	NN	Gruppe
wie	KOKOM	wie
H.	NE	H.
ericetorum	NN	ericetorum
Mll	NE	Mll
.	$.	.
,	$,	,
candicans	NE	candicans
Z.	NE	Z.
und	KON	und
candidula	NE	candidula
Stud.	NE	Stud.
finden	VVFIN	finden
wir	PPER	wir
auf	APPR	auf
unseren	PPOSAT	unser
trockenen	ADJA	trocken
Rainen	NN	Rain
und	KON	und
Rasen	NN	Rasen
,	$,	,
andere	PIS	andere
,	$,	,
wie	KOUS	wie
H.	NE	H.
striata	NE	striata
Dr.	NN	Dr.
,	$,	,
variabilis	ADJA	variabilis
Dr.	NN	Dr.
,	$,	,
Pisana	NE	Pisana
Mll	NE	Mll
.	$.	.
trotzen	VVFIN	trotzen
in	APPR	in
Südeuropa	NE	Südeuropa
auf	APPR	auf
dürren	ADJA	dürr
Pflanzenbüschen	NN	Pflanzenbüschen
oder	KON	oder
auf	APPR	auf
kahlen	ADJA	kahl
Pfählen	NN	Pfahl|Pfählen
den	ART	die
ganzen	ADJA	ganz
Tag	NN	Tag
über	APPR	über
der	ART	die
Sonnenhitze	NN	Sonnenhitze
,	$,	,
und	KON	und
eine	ART	eine
fernerstehende	ADJA	fernerstehende
Art	NN	Art
,	$,	,
H.	NE	H.
muralis	NE	muralis
Mll	NE	Mll
.	$.	.
,	$,	,
welche	PRELS	welche
aber	ADV	aber
ähnliche	ADJA	ähnlich
Charaktere	NN	Charakter
zeigt	VVFIN	zeigen
,	$,	,
lebt	VVFIN	leben
auf	APPR	auf
den	ART	die
durchglühten	VVFIN	durchglühen
Dächern	NN	Dach
Roms	NE	Rom
in	APPR	in
Menge	NN	Menge
.	$.	.
Von	APPR	von
der	ART	die
Gattung	NN	Gattung
Bulimus	NN	Bulimus
gehört	VVFIN	gehören
namentlich	ADJD	namentlich
eine	ART	eine
Reihe	NN	Reihe
peruanischer	ADJA	peruanisch
und	KON	und
chilenischer	ADJA	chilenisch
Arten	NN	Art
(	$(	(
Rhabdotus	NE	Rhabdotus
Albers	NE	Albers
)	$(	)
hieher	NN	hieher
,	$,	,
welche	PRELS	welche
an	APPR	an
den	ART	die
dürren	ADJA	dürr
,	$,	,
regenlosen	ADJA	regenlos
Felsen	NN	Felsen
klebend	ADJD	klebend
,	$,	,
sich	PRF	sich
nur	ADV	nur
von	APPR	von
Flechten	NN	Flechte|Flechten
nähren	VVINF	nähren
und	KON	und
deren	PRELAT	die
spezifische	ADJA	spezifisch
Namen	NN	Name
wie	KOKOM	wie
erosus	NN	erosus
(	$(	(
Brod	NE	Brod
.	$.	.
)	$(	)
scabiosus	NE	scabiosus
(	$(	(
Sow	NN	Sow
.	$.	.
)	$(	)
,	$,	,
pulverulentus	NE	pulverulentus
(	$(	(
Pf.	NN	Pf.
)	$(	)
,	$,	,
albus	ADJD	albus
(	$(	(
Sow	NN	Sow
.	$.	.
)	$(	)
,	$,	,
lichenum	VVFIN	lichenum
(	$(	(
orb	NN	orb
.	$.	.
)	$(	)
diese	PDAT	dies
Gruppe	NN	Gruppe
trefflich	ADJD	trefflich
bezeichnen	VVFIN	bezeichnen
,	$,	,
auch	ADV	auch
die	ART	die
Mesembrinus	NE	Mesembrinus
Albers	NE	Albers
auf	APPR	auf
den	ART	die
Cactusstämmen	NN	Cactusstämmen
und	KON	und
andern	PIAT	andere
dürren	ADJA	dürr
Büschen	NN	Busch
der	ART	die
Ebenen	NN	Ebene
des	ART	die
südlichen	ADJA	südlich
Amerikas	NE	Amerika
sind	VAFIN	sein
hier	ADV	hier
zu	PTKZU	zu
erwähnen	VVINF	erwähnen
,	$,	,
während	KOUS	während
die	ART	die
dünnschaligen	ADJA	dünnschaligen
,	$,	,
glänzenden	ADJA	glänzend
Bulimus	NN	Bulimus
gallina	NE	gallina
sultana	NE	Sultana
Chemn	NE	Chemn
.	$.	.
,	$,	,
onza	NE	onza
Orb	NN	Orb
.	$.	.
U.	KON	und
a.	APPR	a.
die	ART	die
feuchtesten	ADJA	feuchtesten
Wälder	NN	Wald
bewohnen	VVFIN	bewohnen
.	$.	.
Selbst	ADV	selbst
die	ART	die
meisten	PIAT	meist
Clausilien	NN	Clausilien
der	ART	die
sonnigen	ADJA	sonnig
Felsen	NN	Felsen
Dalmatiens	NE	Dalmatien
sind	VAFIN	sein
glanzlos	ADJD	glanzlos
weiss	PTKVZ	weiß
,	$,	,
ja	ADV	ja
Küster	NN	Küster
fand	VVFIN	finden
bei	APPR	bei
Ragusa	NE	Ragusa
die	ART	die
glänzendste	ADJA	glänzend
unter	APPR	unter
allen	PIS	alle
,	$,	,
C.	NE	C.
laeviisima	NE	laeviisima
Z.	NE	Z.
,	$,	,
wie	KOUS	wie
alle	PIAT	alle
dortigen	ADJA	dortig
Schnecken	NN	Schnecke
,	$,	,
weiss	ADJD	weiß
,	$,	,
matt	ADJD	matt
und	KON	und
ohne	APPR	ohne
Epidermis	NN	Epidermis
.	$.	.
Eine	ART	eine
bunte	ADJA	bunt
Färbung	NN	Färbung
des	ART	die
die	ART	die
Weichtheile	NN	Weichtheile
umkleidenden	ADJA	umkleidenden
Mantels	NN	Mantel
ist	VAFIN	sein
auch	ADV	auch
für	APPR	für
die	ART	die
im	APPRART	in+die
Feuchten	NN	Feuchte|Feuchten
lebenden	ADJA	lebend
Schnecken	NN	Schnecke
charakteristisch	ADJD	charakteristisch
,	$,	,
wie	KOUS	wie
schon	ADV	schon
Hartmann	NE	Hartmann
bemerkte	VVFIN	bemerken
,	$,	,
welcher	PRELS	welche
sich	PRF	sich
auf	APPR	auf
Bulimus	NN	Bulimus
montanus	ADJA	montanus
Dr.	NN	Dr.
,	$,	,
Helix	NE	Helix
lapicida	NE	lapicida
L.	NE	L.
,	$,	,
die	ART	die
Gruppen	NN	Gruppe
von	APPR	von
H.	NE	H.
Cobresiana	NE	Cobresiana
Alten	NN	Alte
.	$.	.
,	$,	,
incarnata	NE	incarnata
Mll	NE	Mll
.	$.	.
und	KON	und
fructicum	NE	fructicum
Mll	NE	Mll
.	$.	.
,	$,	,
wie	KOUS	wie
auch	ADV	auch
auf	APPR	auf
die	ART	die
ganze	ADJA	ganz
Familie	NN	Familie
der	ART	die
Limnaeaceen	NN	Limnaeaceen
beruft	VVFIN	berufen
;	$.	;
wahrscheinlich	ADJD	wahrscheinlich
hängt	VVFIN	hängen
dieser	PDAT	dies
Charakter	NN	Charakter
mit	APPR	mit
dem	ART	die
Durchscheinen	VVFIN	durchscheinen
der	ART	die
Schale	NN	Schale
zusammen	PTKVZ	zusammen
,	$,	,
welche	PRELS	welche
Licht	NN	Licht
bis	KON	bis
zum	APPRART	zu+die
Mantel	NN	Mantel
gelangen	VVINF	gelangen
lässt	VVFIN	lassen
,	$,	,
während	KOUS	während
derselbe	PDS	derselbe
bei	APPR	bei
allen	PIAT	alle
dickschaligen	ADJA	dickschaligen
Schnecken	NN	Schnecke
einfarbig	ADJD	einfarbig
und	KON	und
in	APPR	in
der	ART	die
Regel	NN	Regel
blässer	ADJD	blässer
ist	VAFIN	sein
,	$,	,
bei	APPR	bei
denjenigen	PDAT	derjenig
dünnschaligen	ADJA	dünnschaligen
,	$,	,
welche	PRELS	welche
nie	ADV	nie
an	APPR	an
das	ART	die
Tageslicht	NN	Tageslicht
kommen	VVFIN	kommen
,	$,	,
wie	KOUS	wie
bei	APPR	bei
den	ART	die
Vitrinen	NN	Vitrine
,	$,	,
einfarbig	ADJD	einfarbig
aber	KON	aber
dunkel	ADJD	dunkel
ist	VAFIN	sein
.	$.	.
Eine	ART	eine
gekielte	ADJA	gekielte
Schale	NN	Schale
scheint	VVFIN	scheinen
häufig	ADJD	häufig
,	$,	,
wenn	KOUS	wenn
auch	ADV	auch
nicht	PTKNEG	nicht
ohne	APPR	ohne
Ausnahme	NN	Ausnahme
(	$(	(
z.	APPR	zu
B.	NE	B.
lapicida	NE	lapicida
)	$(	)
einen	ART	eine
trockeneren	ADJA	trocken
Standort	NN	Standort
anzuzeigen	VVIZU	anzeigen
,	$,	,
wahrscheinlich	ADJD	wahrscheinlich
,	$,	,
indem	KOUS	indem
sie	PPER	sie
mit	APPR	mit
dem	ART	die
Aufenthalte	NN	Aufenthalt
unter	APPR	unter
Steinen	NN	Stein
zusammenhängt	VVFIN	zusammenhängen
,	$,	,
welche	PRELS	welche
in	APPR	in
dürren	ADJA	dürr
Gegenden	NN	Gegend
allein	ADV	allein
noch	ADV	noch
vor	APPR	vor
der	ART	die
Sonne	NN	Sonne
schützen	VVFIN	schützen
,	$,	,
man	PIS	man
vergleiche	VVFIN	vergleichen
in	APPR	in
dieser	PDAT	dies
Beziehung	NN	Beziehung
z.	APPRART	zu+die
B.	NN	B.
die	ART	die
dalmatinische	ADJA	dalmatinische
Helix	NE	Helix
acies	NE	acies
Partsch	NN	Partsch
mit	APPR	mit
der	ART	die
krainischen	ADJA	krainischen
verticillus	NN	verticillus
Fer	VVFIN	Fer
.	$.	.
,	$,	,
die	ART	die
griechische	ADJA	griechisch
lens	NN	lens
Fer	VVFIN	Fer
.	$.	.
mit	APPR	mit
der	ART	die
deutschen	ADJA	deutsch
obvoluta	NE	obvoluta
Mll	NE	Mll
.	$.	.
,	$,	,
die	ART	die
algierische	ADJA	algierische
Otthiana	NE	Otthiana
Forbes	NN	Forbes
mit	APPR	mit
der	ART	die
südfranzösischen	ADJA	südfranzösisch
splendida	ADJA	splendida
Dr.	NN	Dr.
,	$,	,
die	ART	die
idumäische	ADJA	idumäische
H.	NE	H.
spiriplana	NE	spiriplana
Olivier	NE	Olivier
mit	APPR	mit
der	ART	die
italienischen	ADJA	italienisch
vermiculata	NE	vermiculata
Mll	NE	Mll
.	$.	.
,	$,	,
die	ART	die
marokkanische	ADJA	marokkanisch
planata	NE	planata
Chemn	NE	Chemn
.	$.	.
Mit	APPR	mit
der	ART	die
westeuropäischen	ADJA	westeuropäisch
Pisama	NE	Pisama
Mll	NE	Mll
.	$.	.
und	KON	und
so	ADV	so
kann	VMFIN	können
man	PIS	man
aus	APPR	aus
fast	ADV	fast
allen	PIAT	alle
Gruppen	NN	Gruppe
einzelne	ADJA	einzeln
gekielte	ADJA	gekielte
Arten	NN	Art
in	APPR	in
trockeneren	ADJA	trocken
Gegenden	NN	Gegend
finden	VVINF	finden
,	$,	,
am	PTKA	am
wenigsten	ADV	wenigsten
aber	ADV	aber
unter	APPR	unter
den	ART	die
Laubschnecken	NN	Laubschnecken
.	$.	.
Wenn	KOUS	wenn
auch	ADV	auch
die	ART	die
oben	ADV	oben
genannten	ADJA	genannt
Schnecken	NN	Schnecke
tagelang	ADJD	tagelang
die	ART	die
glühendste	ADJA	glühend
Sonnenhitze	NN	Sonnenhitze
ertragen	VVFIN	ertragen
,	$,	,
so	ADV	so
verläugnen	VVFIN	verläugnen
sie	PPER	sie
doch	ADV	doch
insofern	ADV	insofern
den	ART	die
allgemeinen	ADJA	allgemein
Charakter	NN	Charakter
der	ART	die
Mollusken	NN	Mollusken
nicht	PTKNEG	nicht
,	$,	,
als	KOUS	als
sie	PPER	sie
diese	PDAT	dies
Zeit	NN	Zeit
in	APPR	in
Unthätigkeit	NN	Unthätigkeit
,	$,	,
die	ART	die
Mündung	NN	Mündung
fest	ADJD	fest
angedrückt	VVPP	andrücken
oder	KON	oder
durch	APPR	durch
verhärteten	ADJA	verhärtet
Schleim	NN	Schleim
verschlossen	VVPP	verschließen
und	KON	und
durch	APPR	durch
beides	PIS	beide
vor	APPR	vor
Verdunstung	NN	Verdunstung
geschützt	VVPP	schützen
,	$,	,
verbringen	VVFIN	verbringen
;	$.	;
erst	ADV	erst
in	APPR	in
der	ART	die
Kühle	NN	Kühle
der	ART	die
Nacht	NN	Nacht
und	KON	und
der	ART	die
Feuchtigkeit	NN	Feuchtigkeit
des	ART	die
Morgenthaues	NN	Morgenthaues
kriechen	VVFIN	kriechen
sie	PPER	sie
umher	PTKVZ	umher
.	$.	.
Jeder	PIAT	jede
Schneckensammler	NN	Schneckensammler
weiss	PTKVZ	weiß
,	$,	,
dass	KOUS	dass
des	ART	die
Morgens	NN	Morgen
und	KON	und
nach	APPR	nach
einem	ART	eine
Regen	NN	Regen
die	ART	die
meisten	PIAT	meist
lebenden	ADJA	lebend
Schnecken	NN	Schnecke
zu	PTKZU	zu
finden	VVINF	finden
sind	VAFIN	sein
,	$,	,
in	APPR	in
Italien	NE	Italien
wird	VAFIN	werden
Helix	NE	Helix
adspersa	NE	adspersa
Mll	NE	Mll
.	$.	.
zum	APPRART	zu+die
Zwecke	NN	Zweck
des	ART	die
Verspeisens	NN	Verspeisens
Nachts	ADV	nachts
mit	APPR	mit
der	ART	die
Laterne	NN	Laterne
gesucht	VVPP	suchen
,	$,	,
und	KON	und
in	APPR	in
Spanien	NE	Spanien
findet	VVFIN	finden
der	ART	die
Caracolero	NN	Caracolero
in	APPR	in
dem	ART	die
frühsten	ADJA	frühsten
Morgengrauen	NN	Morgengrauen
die	ART	die
grosse	ADJA	groß
Helix	NE	Helix
lactea	NE	lactea
Mll	NE	Mll
.	$.	.
und	KON	und
Alonensis	NE	Alonensis
Fer	VVFIN	Fer
.	$.	.
in	APPR	in
grosser	ADJA	groß
Menge	NN	Menge
auf	APPR	auf
den	ART	die
dürrsten	ADJA	dürrsten
Sierren	NN	Sierren
,	$,	,
während	KOUS	während
in	APPR	in
der	ART	die
Mittagshitze	NN	Mittagshitze
der	ART	die
schwitzende	ADJA	schwitzend
Reisende	NN	Reisende
nichts	PIS	nichts
von	APPR	von
den	ART	die
wohl	ADV	wohl
versteckten	ADJA	versteckt
entdecken	VVINF	entdecken
kann	VMFIN	können
.	$.	.
Selbst	ADV	selbst
H.	NE	H.
desertorum	NN	desertorum
Forsk	NN	Forsk
.	$.	.
,	$,	,
welche	PRELS	welche
Ehrenberg	NE	Ehrenberg
nebst	APPR	nebst
einer	ART	eine
Lichene	NN	Lichene
und	KON	und
einer	ART	eine
Spinne	NN	Spinne
allein	ADV	allein
noch	ADV	noch
in	APPR	in
der	ART	die
Wüste	NN	Wüste
bei	APPR	bei
der	ART	die
Oase	NN	Oase
des	ART	die
Iupiter	NN	Iupiter
Ammon	NE	Ammon
traf	VVFIN	treffen
,	$,	,
lebt	VVFIN	leben
nicht	PTKNEG	nicht
ganz	ADV	ganz
ohne	APPR	ohne
Feuchtigkeit	NN	Feuchtigkeit
,	$,	,
was	PRELS	was
gerade	ADV	gerade
durch	APPR	durch
das	ART	die
gleichzeitige	ADJA	gleichzeitig
Vorkommen	NN	Vorkommen
einer	ART	eine
Pflanze	NN	Pflanze
bewiesen	VVPP	beweisen
wird	VAFIN	werden
,	$,	,
welche	PRELS	welche
nur	ADV	nur
,	$,	,
so	ADV	so
lange	ADV	lange
sie	PPER	sie
durchnässt	VVPP	durchnässen
ist	VAFIN	sein
,	$,	,
wächst	VVFIN	wachsen
;	$.	;
ebenso	ADV	ebenso
lange	ADJA	lang
und	KON	und
so	ADV	so
häufige	ADJA	häufig
Unterbrechungen	NN	Unterbrechung
ihrer	PPOSAT	ihr
Lebensthätigkeit	NN	Lebensthätigkeit
wird	VAFIN	werden
sich	PRF	sich
auch	ADV	auch
die	ART	die
Schnecke	NN	Schnecke
gefallen	VVPP	fallen|gefallen
lassen	VVINF	lassen
müssen	VMINF	müssen
und	KON	und
sie	PPER	sie
hat	VAFIN	haben
dabei	PAV	dabei
den	ART	die
Vortheil	NN	Vortheil
,	$,	,
stets	ADV	stets
dann	ADV	dann
zu	PTKZU	zu
erwachen	VVINF	erwachen
,	$,	,
wenn	KOUS	wenn
ihr	PPOSAT	ihr
Futter	NN	Futter
aufgeweicht	VVPP	aufweichen
und	KON	und
saftig	ADJD	saftig
ist	VAFIN	sein
.	$.	.
Aus	APPR	aus
Vorstehendem	NN	Vorstehendem
ergibt	VVFIN	ergeben
sich	PRF	sich
schon	ADV	schon
,	$,	,
in	APPR	in
wie	KOUS	wie
weit	ADJD	weit
die	ART	die
Wärme	NN	Wärme
den	ART	die
Gasteropoden	NN	Gasteropoden
zuträglich	ADJD	zuträglich
ist	VAFIN	sein
,	$,	,
nämlich	ADV	nämlich
so	ADV	so
lange	ADV	lange
dieselbe	PDS	dieselbe
nicht	PTKNEG	nicht
austrocknend	ADJD	austrocknend
wirkt	VVFIN	wirken
.	$.	.
Daher	PAV	daher
finden	VVFIN	finden
wir	PPER	wir
noch	ADV	noch
Schnecken	NN	Schnecke
in	APPR	in
manchen	PIAT	manche
warmen	ADJA	warm
Quellen	NN	Quelle
,	$,	,
so	ADV	so
in	APPR	in
einigen	PIAT	einige
virginischen	ADJA	virginischen
Physa	NN	Physa
heterostropha	NE	heterostropha
Say	FM	Say
und	KON	und
Paludina	NE	Paludina
Nickliniana	NE	Nickliniana
Lea	NE	Lea
,	$,	,
in	APPR	in
den	ART	die
Quellen	NN	Quelle
de	NE	de
Salut	NN	Salut
bei	APPR	bei
Bagnères	NE	Bagnères
de	NE	de
Bigorre	NE	Bigorre
(	$(	(
Pyrenäen	NN	Pyrenäen
)	$(	)
gegen	APPR	gegen
40	CARD	@card@
°	NN	°
R.	NE	R.
Planorbis	NN	Planorbis
albus	ADJA	albus
Mll	NN	Mll
.	$.	.
,	$,	,
Limnaeus	NE	Limnaeus
truncatulus	NE	truncatulus
Mll	NE	Mll
.	$.	.
,	$,	,
L.	NE	L.
ovatus	NE	ovatus
var	VVFIN	var
.	$.	.
Thermalis	NE	Thermalis
Boubée	NE	Boubée
und	KON	und
Neritina	NE	Neritina
thermalis	NE	thermalis
Boubée	NE	Boubée
,	$,	,
in	APPR	in
den	ART	die
Thermen	NN	Therme
von	APPR	von
Baden	NE	Baden
im	APPRART	in+die
Aargau	NN	Aargau
(	$(	(
37	CARD	@card@
°	NN	°
R.	NE	R.
)	$(	)
Limn	NE	Limn
.	$.	.
Ovatus	ADJA	Ovatus
Dr.	NN	Dr.
,	$,	,
in	APPR	in
warmen	ADJA	warm
Quellen	NN	Quelle
bei	APPR	bei
Constantine	NE	Constantine
(	$(	(
25	CARD	@card@
°	NN	°
R.	NE	R.
)	$(	)
Melania	NE	Melania
tuberculata	NE	tuberculata
Mll	NE	Mll
.	$.	.
,	$,	,
in	APPR	in
denen	PRELS	die
von	APPR	von
San	NE	San
Giuliano	NE	Giuliano
bei	APPR	bei
Pisa	NE	Pisa
ebenfalls	ADV	ebenfalls
eine	ART	eine
Neritina	NE	Neritina
und	KON	und
die	ART	die
schon	ADV	schon
Linné	NN	Linné
von	APPR	von
dort	ADV	dort
bekannte	ADJA	bekannt
Paludinella	NE	Paludinella
thermalis	NE	thermalis
.	$.	.
Steenstrup	NE	Steenstrup
fand	VVFIN	finden
in	APPR	in
isländischen	ADJA	isländisch
heissen	ADJA	heiß
Quellen	NN	Quelle
von	APPR	von
34	CARD	@card@
°	NN	°
R.	NE	R.
noch	ADV	noch
Limnaues	NN	Limnaues
ovatus	ADJA	ovatus
Dr.	NN	Dr.
,	$,	,
pereger	NN	pereger
Mll	NE	Mll
.	$.	.
und	KON	und
truncatulus	ADJA	truncatulus
Mll	NN	Mll
.	$.	.
,	$,	,
aber	KON	aber
in	APPR	in
solchen	PIS	solche
von	APPR	von
48	CARD	@card@
°	NN	°
R.	NE	R.
keine	PIAT	keine
Schnecken	NN	Schnecke
mehr	ADV	mehr
,	$,	,
nur	ADV	nur
noch	ADV	noch
Pflanzen	NN	Pflanze|Pflanzen
,	$,	,
noch	ADV	noch
genauere	ADJA	genau
Nachrichten	NN	Nachricht
besitzen	VVFIN	besitzen
wir	PPER	wir
über	APPR	über
das	ART	die
Vorkommen	NN	Vorkommen
der	ART	die
Paludinella	NE	Paludinella
thermalis	NE	thermalis
L.	NE	L.
in	APPR	in
den	ART	die
Thermen	NN	Therme
von	APPR	von
Abano	NE	Abano
bei	APPR	bei
Padua	NE	Padua
durch	APPR	durch
Andrejowsky	NE	Andrejowsky
:	$.	:
sie	PPER	sie
fehlt	VVFIN	fehlen
an	APPR	an
den	ART	die
heissesten	ADJA	heiß
Stellen	NN	Stelle|Stellen
,	$,	,
wo	PWAV	wo
die	ART	die
Quelle	NN	Quelle
hervorkommt	VVFIN	hervorkommen
,	$,	,
kriecht	VVFIN	kriechen
aber	ADV	aber
behaglich	ADJD	behaglich
,	$,	,
den	ART	die
meisten	PIAT	meist
Feinden	NN	Feind
unzugänglich	ADJD	unzugänglich
,	$,	,
in	APPR	in
einer	ART	eine
Temperatur	NN	Temperatur
von	APPR	von
35	CARD	@card@
°	NN	°
R.	NE	R.
herum	PTKVZ	herum
,	$,	,
welche	PRELS	welche
die	ART	die
eingetauchte	ADJA	eingetaucht
Hand	NN	Hand
des	ART	die
Menschen	NN	Mensch
schon	ADV	schon
als	KOKOM	als
lebhaften	ADJA	lebhaft
Schmerz	NN	Schmerz
empfindet	VVFIN	empfinden
;	$.	;
steigt	VVFIN	steigen
dieselbe	PDS	dieselbe
auf	APPR	auf
42	CARD	@card@
°	NN	°
oder	KON	oder
sinkt	VVFIN	sinken
sie	PPER	sie
unter	APPR	unter
+	KON	+
6	CARD	@card@
°	NN	°
,	$,	,
so	ADV	so
erstarrt	VVFIN	erstarren
die	ART	die
an	APPR	an
die	ART	die
Wärme	NN	Wärme
gewohnte	ADJA	gewohnt
Schnecke	NN	Schnecke
,	$,	,
soll	VMFIN	sollen
aber	ADV	aber
erst	ADV	erst
in	APPR	in
einer	ART	eine
Hitze	NN	Hitze
von	APPR	von
48	CARD	@card@
°	NN	°
und	KON	und
in	APPR	in
einer	ART	eine
Kälte	NN	Kälte
–	$(	-
8	CARD	@card@
°	NN	°
sterben	VVINF	sterben
.	$.	.
Wenn	KOUS	wenn
daher	PAV	daher
auch	ADV	auch
noch	ADV	noch
in	APPR	in
den	ART	die
Thermen	NN	Therme
von	APPR	von
Gastein	NN	Gastein
(	$(	(
47	CARD	@card@
°	NN	°
R.	NE	R.
)	$(	)
eine	ART	eine
lebende	ADJA	lebend
Schnecke	NN	Schnecke
,	$,	,
Limnaeus	NE	Limnaeus
pereger	NE	pereger
Mll	NE	Mll
.	$.	.
,	$,	,
angegeben	VVPP	angeben
wird	VAFIN	werden
,	$,	,
so	ADV	so
dürfte	VMFIN	dürfen
dieses	PDAT	dies
dahin	PAV	dahin
zu	PTKZU	zu
verstehen	VVINF	verstehen
sein	VAINF	sein
,	$,	,
dass	KOUS	dass
sie	PPER	sie
nur	ADV	nur
da	ADV	da
,	$,	,
wo	PWAV	wo
das	ART	die
Wasser	NN	Wasser
sich	PRF	sich
bereits	ADV	bereits
um	APPR	um
mehrere	PIAT	mehrere
Grade	NN	Grad
abgekühlt	VVPP	abkühlen
hat	VAFIN	haben
,	$,	,
sich	PRF	sich
vorfindet	VVFIN	vorfinden
,	$,	,
und	KON	und
dasselbe	PDS	dasselbe
dürfte	VMFIN	dürfen
auch	ADV	auch
bei	APPR	bei
einigen	PIAT	einige
der	ART	die
oben	ADV	oben
genannten	ADJA	genannt
Quellen	NN	Quelle
der	ART	die
Fall	NN	Fall
sein	VAINF	sein
.	$.	.
Die	ART	die
Temperatur	NN	Temperatur
,	$,	,
bei	APPR	bei
welcher	PRELS	welche
das	ART	die
Eiweiss	NN	Eiweiß
gerinnt	VVFIN	gerinnen
,	$,	,
mag	VMFIN	mögen
im	APPRART	in+die
Allgemeinen	NN	Allgemeine
die	ART	die
Gränze	NN	Gränze
der	ART	die
feuchten	ADJA	feucht
Hitze	NN	Hitze
für	APPR	für
die	ART	die
Schnecken	NN	Schnecke
(	$(	(
vielleicht	ADV	vielleicht
für	APPR	für
alle	PIAT	alle
Thiere	NN	Thiere
)	$(	)
sein	VAINF	sein
,	$,	,
und	KON	und
siedendes	ADJA	siedendes
Wasser	NN	Wasser
alle	PIS	alle
ohne	APPR	ohne
Ausnahme	NN	Ausnahme
tödten	ADJD	tödten
;	$.	;
Uebergiessen	NN	Uebergiessen
mit	APPR	mit
solchem	PIS	solche
ist	VAFIN	sein
daher	PAV	daher
das	ART	die
rascheste	ADJA	rasch
und	KON	und
sicherste	ADJA	sicher
Mittel	NN	Mittel
,	$,	,
sie	PPER	sie
zu	APPR	zu
tödten	ADJD	tödten
.	$.	.
Ob	KOUS	ob
sie	PPER	sie
vielleicht	ADV	vielleicht
,	$,	,
wohl	ADV	wohl
verschlossen	VVPP	verschließen
,	$,	,
im	APPRART	in+die
Zustande	NN	Zustand
des	ART	die
Schlafes	NN	Schlaf
,	$,	,
eine	ART	eine
höhere	ADJA	hoch
Temperatur	NN	Temperatur
in	APPR	in
der	ART	die
Trockenheit	NN	Trockenheit
ertragen	VVINF	ertragen
können	VMFIN	können
,	$,	,
wie	KOUS	wie
die	ART	die
Tardigraden	NN	Tardigraden
,	$,	,
Rotatorien	NN	Rotatorien
und	KON	und
die	ART	die
Samen	NN	Same
der	ART	die
Pflanzen	NN	Pflanze|Pflanzen
,	$,	,
dürfte	VMFIN	dürfen
bei	APPR	bei
der	ART	die
complicirten	ADJA	complicirten
Organisation	NN	Organisation
dieser	PDAT	dies
Wesen	NN	Wesen
unwahrscheinlich	ADJD	unwahrscheinlich
sein	VAINF	sein
,	$,	,
und	KON	und
einige	PIAT	einige
Experimente	NN	Experiment
,	$,	,
welche	PRELS	welche
ich	PPER	ich
an	APPR	an
Helix	NE	Helix
pomatia	NE	pomatia
L.	NE	L.
machte	VVFIN	machen
,	$,	,
sprachen	VVFIN	sprechen
durch	APPR	durch
ihren	PPOSAT	ihr
unglücklichen	ADJA	unglücklich
Ausgang	NN	Ausgang
auch	ADV	auch
dagegen	PAV	dagegen
.	$.	.
