Nicht	PTKNEG	nicht
und	KON	und
sagte	VVFIN	sagen
:	$.	:
„	$(	„
Hannjörgsvetter	NN	Hannjörgsvetter
,	$,	,
gelt	ADJD	gelt
,	$,	,
so	ADV	so
stand	VVFIN	stehen
er	PPER	er
?	$.	?
"	$(	"
„	$(	„
Auf	APPR	auf
'	$(	'
s	NN	s
Haar	NN	Haar
so	ADV	so
,	$,	,
"	$(	"
erwiederte	VVFIN	erwiederte
der	ART	die
Alte	NN	Alte
freundlich	ADJD	freundlich
und	KON	und
steckte	VVFIN	stecken
seine	PPOSAT	sein
Beute	NN	Beute
wieder	ADV	wieder
in	APPR	in
die	ART	die
Tasche	NN	Tasche
seines	PPOSAT	sein
Kamisols	NN	Kamisols
.	$.	.
„	$(	„
Setz	VVIMP	setzen
dich	PPER	du
doch	ADV	doch
,	$,	,
"	$(	"
sagte	VVFIN	sagen
der	ART	die
Altvater	NN	Altvater
zu	APPR	zu
ihm	PPER	er
und	KON	und
Jaköbchen	NN	Jaköbchen
holte	VVFIN	holen
eifrig	ADJD	eifrig
einen	ART	eine
Stuhl	NN	Stuhl
und	KON	und
rückte	VVFIN	rücken
ihn	PPER	er
vor	APPR	vor
den	ART	die
Ofen	NN	Ofen
,	$,	,
wofür	PWAV	wofür
ihm	PPER	er
der	ART	die
Hannjörgsvetter	NN	Hannjörgsvetter
in	APPR	in
den	ART	die
lockigen	ADJA	lockig
Haaren	NN	Haar
wirbelte	VVFIN	wirbeln
,	$,	,
daß	KOUS	dass
er	PPER	er
schnell	ADJD	schnell
wieder	ADV	wieder
an	APPR	an
den	ART	die
Tisch	NN	Tisch
zu	APPR	zu
seinem	PPOSAT	sein
Katechismus	NN	Katechismus
sprang	VVFIN	springen
,	$,	,
aber	KON	aber
die	ART	die
Hände	NN	Hand
nicht	PTKNEG	nicht
mehr	ADV	mehr
vor	APPR	vor
die	ART	die
Ohren	NN	Ohr
hielt	VVFIN	halten
,	$,	,
weil	KOUS	weil
das	ART	die
Gespräch	NN	Gespräch
ihn	PPER	er
zu	APPR	zu
sehr	ADV	sehr
in	APPR	in
Anspruch	NN	Anspruch
nahm	VVFIN	nehmen
,	$,	,
und	KON	und
Hannjörg	NE	Hannjörg
galt	VVFIN	gelten
viel	ADV	viel
bei	APPR	bei
ihm	PPER	er
.	$.	.
„	$(	„
Hör	VVIMP	hören
'	$(	'
mal	ADV	mal
,	$,	,
Hannjörg	NE	Hannjörg
,	$,	,
"	$(	"
hob	VVFIN	heben
der	ART	die
Altvater	NN	Altvater
an	PTKVZ	an
,	$,	,
als	KOUS	als
dieser	PDS	diese
sich	PRF	sich
gesetzt	VVPP	setzen
,	$,	,
„	$(	„
wir	PPER	wir
sitzen	VVFIN	sitzen
so	ADV	so
traulich	ADJD	traulich
hier	ADV	hier
zusammen	PTKVZ	zusammen
und	KON	und
kommen	VVFIN	kommen
so	ADV	so
jung	ADJD	jung
nicht	PTKNEG	nicht
mehr	ADV	mehr
zu	APPR	zu
einander	PRF	einander
.	$.	.
Wie	KOUS	wie
wär	ADJD	wär
'	$(	'
s	NN	s
,	$,	,
wenn	KOUS	wenn
du	PPER	du
uns	PRF	wir
einmal	ADV	einmal
so	ADV	so
deine	PPOSAT	dein
Lebensgänge	NN	Lebensgänge
erzähltest	ADJD	erzählt
.	$.	.
Mir	PPER	ich
hast	VAFIN	haben
du	PPER	du
einmal	ADV	einmal
den	ART	die
Gefallen	NN	Gefallen
gethan	NE	gethan
;	$.	;
aber	KON	aber
es	PPER	es
ist	VAFIN	sein
schon	ADV	schon
gar	ADV	gar
lange	ADV	lange
her	PTKVZ	her
und	KON	und
ich	PPER	ich
hab	VAIMP	haben
'	$(	'
Vieles	PIS	viele
vergessen	VVFIN	vergessen
in	APPR	in
der	ART	die
Zeit	NN	Zeit
.	$.	.
Unser	PPOSAT	unser
Balthes	NE	Balthes
hat	VAFIN	haben
'	$(	'
s	NN	s
aber	ADV	aber
noch	ADV	noch
nicht	PTKNEG	nicht
gehört	VVPP	gehören|hören
und	KON	und
möcht	ADJA	möcht
'	$(	'
s	NN	s
gern	ADV	gern
hören	VVINF	hören
.	$.	.
"	$(	"
„	$(	„
Warum	PWAV	warum
nicht	PTKNEG	nicht
,	$,	,
"	$(	"
erwiederte	VVFIN	erwiederte
Hannjörg	NE	Hannjörg
,	$,	,
aber	ADV	aber
über	APPR	über
seine	PPOSAT	sein
Züge	NN	Zug
lagerte	VVFIN	lagern
es	PPER	es
sich	PRF	sich
wie	KOKOM	wie
eine	ART	eine
verschleiernde	ADJA	verschleiernd
Wolke	NN	Wolke
.	$.	.
„	$(	„
Gerne	ADV	gerne
,	$,	,
"	$(	"
sagte	VVFIN	sagen
er	PPER	er
weiter	PTKVZ	weiter
,	$,	,
„	$(	„
thue	VVFIN	thue
ich	PPER	ich
es	PPER	es
nicht	PTKNEG	nicht
,	$,	,
denn	KON	denn
es	PPER	es
macht	VVFIN	machen
mir	PPER	ich
das	ART	die
Herz	NN	Herz
nicht	PTKNEG	nicht
eben	ADV	eben
leicht	ADJD	leicht
;	$.	;
aber	KON	aber
es	PPER	es
schadet	VVFIN	schaden
auch	ADV	auch
nichts	PIS	nichts
,	$,	,
wenn	KOUS	wenn
so	ADV	so
ein	ART	eine
alter	ADJA	alt
Kerl	NN	Kerl
,	$,	,
wie	KOKOM	wie
ich	PPER	ich
bin	VAFIN	sein
,	$,	,
der	PRELS	die
mit	APPR	mit
anderthalb	ADJA	anderthalb
Beinen	NN	Bein
im	APPRART	in+die
Grabe	NN	Grab
steht	VVFIN	stehen
,	$,	,
einmal	ADV	einmal
zurück	PTKVZ	zurück
guckt	VVFIN	gucken
in	APPR	in
die	ART	die
verflossenen	ADJA	verflossen
Tage	NN	Tag
.	$.	.
-	$(	-
Meinetwegen	ADV	meinetwegen
!	$.	!
"	$(	"
-	$(	-
„	$(	„
Jch	ADJA	Jch
glaub	VVIMP	glauben
,	$,	,
"	$(	"
hob	VVFIN	heben
er	PPER	er
nach	APPR	nach
einer	ART	eine
kurzen	ADJA	kurz
Weile	NN	Weile
an	PTKVZ	an
,	$,	,
„	$(	„
Jhr	NN	Jhr
wißt	VVFIN	wissen
Alle	PIS	alle
,	$,	,
wo	PWAV	wo
der	ART	die
Matzenberg	NN	Matzenberg
liegt	VVFIN	liegen
.	$.	.
Eigentlich	ADV	eigentlich
heißt	VVFIN	heißen
er	PPER	er
Carlsberg	NE	Carlsberg
und	KON	und
die	ART	die
Leute	NN	Leute
heißen	VVFIN	heißen
ihn	PPER	er
Matzenberg	NE	Matzenberg
nur	ADV	nur
zum	APPRART	zu+die
Utz	NE	Utz
.	$.	.
Da	ADV	da
wohnt	VVFIN	wohnen
von	APPR	von
allerlei	PIAT	allerlei
Volk	NN	Volk
,	$,	,
das	PRELS	die
unter	APPR	unter
der	ART	die
Sonne	NN	Sonne
ist	VAFIN	sein
,	$,	,
je	KOUS	je
so	ADV	so
ein	ART	eine
Pröbchen	NN	Pröbchen
.	$.	.
Die	ART	die
Harzkrämer	NN	Harzkrämer
,	$,	,
die	PRELS	die
mit	APPR	mit
ihrem	PPOSAT	ihr
Gäulchen	NN	Gäulchen
,	$,	,
das	PRELS	die
zwei	CARD	zwei
Harzfässer	NN	Harzfässer
trägt	VVFIN	tragen
und	KON	und
das	PDS	die
der	ART	die
Hafer	NN	Hafer
nicht	PTKNEG	nicht
sticht	VVFIN	stechen
,	$,	,
im	APPRART	in+die
Lande	NN	Land
herumziehen	VVINF	herumziehen
und	KON	und
ihre	PPOSAT	ihr
Waare	NN	Waare
mit	APPR	mit
dem	ART	die
schönen	ADJA	schön
Ruf	NN	Ruf
:	$.	:
Aunsch	NN	Aunsch
!	$.	!
ankündigen	VVFIN	ankündigen
,	$,	,
sind	VAFIN	sein
alle	PIS	alle
daher	PAV	daher
und	KON	und
Spengler	NN	Spengler
,	$,	,
Zinngießer	NN	Zinngießer
,	$,	,
Bürstenmacher	NN	Bürstenmacher
,	$,	,
Besenbinder	NN	Besenbinder
,	$,	,
Kesselsticker	NN	Kesselsticker
,	$,	,
Schacherjuden	NN	Schacherjuden
und	KON	und
Zigeuner	NN	Zigeuner
,	$,	,
Alles	NN	All
wanderndes	ADJA	wandernd
Volk	NN	Volk
,	$,	,
sitzen	VVFIN	sitzen
in	APPR	in
dem	ART	die
Neste	NN	Neste
zusammen	PTKVZ	zusammen
und	KON	und
jedes	PIAT	jede
Vögelein	NN	Vögelein
drunter	PAV	drunter
pfeift	VVFIN	pfeifen
sein	PPOSAT	sein
Liedlein	NN	Liedlein
,	$,	,
wie	KOUS	wie
ihm	PPER	er
der	ART	die
Schnabel	NN	Schnabel
gewachsen	VVPP	wachsen
ist	VAFIN	sein
,	$,	,
wüst	ADJD	wüst
'	$(	'
und	KON	und
schön	ADJD	schön
,	$,	,
wie	KOKOM	wie
'	$(	'
s	NN	s
kommt	VVFIN	kommen
;	$.	;
aber	ADV	aber
luftig	ADJD	luftig
sind	VAFIN	sein
sie	PPER	sie
und	KON	und
an	APPR	an
Mangel	NN	Mangel
ist	VAFIN	sein
kein	PIAT	keine
Mangel	NN	Mangel
dort	ADV	dort
.	$.	.
Des	ART	die
besten	ADJA	gut
Rufs	NN	Ruf
genießt	VVFIN	genießen
das	ART	die
Nest	NN	Nest
im	APPRART	in+die
Lande	NN	Land
nicht	PTKNEG	nicht
;	$.	;
aber	KON	aber
es	PPER	es
gibt	VVFIN	geben
auch	ADV	auch
brave	ADJA	brav
Leute	NN	Leute
dort	ADV	dort
,	$,	,
und	KON	und
,	$,	,
Gott	NN	Gott
weiß	VVFIN	wissen
es	PPER	es
,	$,	,
die	ART	die
Wittwe	NN	Wittwe
,	$,	,
deren	PRELAT	die
neuntes	ADJA	neunt
Kind	NN	Kind
ich	PPER	ich
war	VAFIN	sein
,	$,	,
verdiente	VVFIN	verdienen
es	PPER	es
,	$,	,
daß	KOUS	dass
man	PIS	man
sie	PPER	sie
so	ADV	so
nannte	VVFIN	nennen
.	$.	.
Wenn	KOUS	wenn
das	ART	die
Sprüchwort	NN	Sprüchwort
sagt	VVFIN	sagen
,	$,	,
der	ART	die
Neunte	NN	Neunte
weiß	VVFIN	wissen
nicht	PTKNEG	nicht
,	$,	,
wie	KOUS	wie
der	ART	die
Zehnte	NN	Zehnte
lebt	VVFIN	leben
,	$,	,
so	ADV	so
traf	VVFIN	treffen
das	PDS	die
bei	APPR	bei
uns	PPER	wir
ein	PTKVZ	ein
.	$.	.
Mein	PPOSAT	mein
Vater	NN	Vater
war	VAFIN	sein
vor	APPR	vor
Jahren	NN	Jahr
in	APPR	in
seinem	PPOSAT	sein
Berufe	NN	Beruf
gestorben	VVPP	sterben
.	$.	.
Er	PPER	er
war	VAFIN	sein
Holzhauer	NN	Holzhauer
und	KON	und
wollte	VMFIN	wollen
auf	APPR	auf
einem	ART	eine
Eichbaum	NN	Eichbaum
einen	ART	eine
Ast	NN	Ast
herunter	ADV	herunter
hauen	VVINF	hauen
,	$,	,
verlor	VVFIN	verlieren
das	ART	die
Gleichgewicht	NN	Gleichgewicht
aber	ADV	aber
,	$,	,
und	KON	und
stürzte	VVFIN	stürzen
herunter	PTKVZ	herunter
.	$.	.
Seine	PPOSAT	sein
Gehülfen	NN	Gehülfen
im	APPRART	in+die
Walde	NN	Wald
brachten	VVFIN	bringen
ihn	PPER	er
mausetodt	ADJD	mausetodt
heim	PTKVZ	heim
.	$.	.
Das	PDS	die
war	VAFIN	sein
Euch	PPER	ihr
ein	ART	eine
Jammer	NN	Jammer
!	$.	!
Nun	ADV	nun
sollte	VMFIN	sollen
die	ART	die
arme	ADJA	arm
Mutter	NN	Mutter
die	ART	die
neun	CARD	neun
Würmlein	NN	Würmlein
ernähren	VVINF	ernähren
!	$.	!
-	$(	-
Das	PDS	die
war	VAFIN	sein
ein	ART	eine
Kunststück	NN	Kunststück
,	$,	,
was	PRELS	was
ihr	PPER	ihr
nicht	PTKNEG	nicht
leicht	ADJD	leicht
Eine	PIS	eine
nachmachen	VVINF	nachmachen
wird	VAFIN	werden
;	$.	;
denn	KON	denn
sie	PPER	sie
war	VAFIN	sein
arm	ADJD	arm
,	$,	,
wie	KOUS	wie
Hiob	NE	Hiob
,	$,	,
bloß	ADJD	bloß
,	$,	,
wie	KOUS	wie
eine	ART	eine
Kirchenmaus	NN	Kirchenmaus
und	KON	und
Neune	NN	Neune
wollten	VMFIN	wollen
alle	PIAT	alle
Tage	NN	Tag
gefüttert	VVPP	füttern
seyn	ADJD	seyn
und	KON	und
darunter	ADV	darunter
waren	VAFIN	sein
sieben	CARD	sieben
Buben	NN	Bube
,	$,	,
die	PRELS	die
einen	ART	eine
Appetit	NN	Appetit
hatten	VAFIN	haben
,	$,	,
der	PRELS	die
seines	PPOSAT	sein
Gleichen	NN	Gleiche
suchen	VVINF	suchen
konnte	VMFIN	können
,	$,	,
ohne	KOUI	ohne
ihn	PPER	er
leichtlich	ADV	leichtlich
zu	PTKZU	zu
finden	VVINF	finden
.	$.	.
Sieben	CARD	sieben
Buben	NN	Bube
und	KON	und
keinen	PIAT	keine
Vater	NN	Vater
mehr	ADV	mehr
!	$.	!
Das	PDS	die
ist	VAFIN	sein
ein	ART	eine
Wort	NN	Wort
!	$.	!
-	$(	-
Aber	KON	aber
meine	PPOSAT	mein
Mutter	NN	Mutter
verstand	VVFIN	verstehen
'	$(	'
s	NN	s
wunderbar	ADJD	wunderbar
,	$,	,
uns	PPER	wir
zu	PTKZU	zu
regieren	VVINF	regieren
.	$.	.
Wenn	KOUS	wenn
wir	PPER	wir
uns	PRF	wir
auch	ADV	auch
manchmal	ADV	manchmal
katzbalgten	ADJD	katzbalgten
,	$,	,
daß	KOUS	dass
es	PPER	es
eine	ART	eine
Art	NN	Art
hatte	VAFIN	haben
,	$,	,
und	KON	und
sie	PPER	sie
sagte	VVFIN	sagen
nur	ADV	nur
ein	ART	eine
Wort	NN	Wort
,	$,	,
so	ADV	so
hatte	VAFIN	haben
der	ART	die
Faustkrieg	NN	Faustkrieg
ein	ART	eine
Ende	NN	Ende
.	$.	.
Freilich	ADV	freilich
war	VAFIN	sein
'	$(	'
s	NN	s
nicht	PTKNEG	nicht
,	$,	,
wie	KOKOM	wie
'	$(	'
s	NN	s
in	APPR	in
der	ART	die
Bibel	NN	Bibel
heißt	VVFIN	heißen
:	$.	:
„	$(	„
des	ART	die
Friedens	NN	Frieden
kein	PIAT	keine
Ende	NN	Ende
!	$.	!
"	$(	"
Es	PPER	es
war	VAFIN	sein
nur	ADV	nur
Waffenstillstand	NN	Waffenstillstand
,	$,	,
der	PRELS	die
aber	ADV	aber
gegen	APPR	gegen
allen	PIAT	alle
Kriegsgebrauch	NN	Kriegsgebrauch
ohne	APPR	ohne
Aufkündigung	NN	Aufkündigung
im	APPRART	in+die
nächsten	ADJA	nah
Augenblick	NN	Augenblick
wieder	ADV	wieder
mit	APPR	mit
gesunden	ADJA	gesund
Fäusten	NN	Faust
begonnen	VVPP	beginnen
oder	KON	oder
vielmehr	ADV	vielmehr
gebrochen	VVPP	brechen
wurde	VAFIN	werden
.	$.	.
Nun	ADV	nun
,	$,	,
Buben	NN	Bube
sind	VAFIN	sein
Buben	NN	Bube
und	KON	und
Art	NN	Art
läßt	VVFIN	lassen
nicht	PTKNEG	nicht
von	APPR	von
Art	NN	Art
.	$.	.
Es	PPER	es
geht	VVFIN	gehen
halt	ADV	halt
,	$,	,
wo	PWAV	wo
so	ADV	so
Viele	PIS	viele
in	APPR	in
Einem	ART	eine
Nestlein	NN	Nestlein
sitzen	VVFIN	sitzen
,	$,	,
selten	ADJD	selten
ohne	APPR	ohne
Hader	NN	Hader
ab	PTKVZ	ab
.	$.	.
Jn	NE	Jn
Einem	ART	eine
Nestlein	NN	Nestlein
sitzen	VVFIN	sitzen
,	$,	,
sagt	VVFIN	sagen
'	$(	'
ich	PPER	ich
und	KON	und
das	PDS	die
ist	VAFIN	sein
das	ART	die
rechte	ADJA	recht|rechts
Wort	NN	Wort
.	$.	.
Ach	ITJ	ach
,	$,	,
du	PPER	du
lieber	ADJA	lieb
Gott	NN	Gott
,	$,	,
unser	PPOSAT	unser
Häuschen	NN	Häuschen
hatte	VAFIN	haben
ein	ART	eine
Küchelchen	NN	Küchelchen
,	$,	,
ein	ART	eine
Stübchen	NN	Stübchen
und	KON	und
ein	ART	eine
Geisenställchen	NN	Geisenställchen
,	$,	,
und	KON	und
drüber	ADV	drüber
ein	ART	eine
niederes	ADJA	nieder
Strohdach	NN	Strohdach
,	$,	,
dessen	PRELAT	die
sich	PRF	sich
seit	APPR	seit
Menschengedenken	NN	Menschengedenken
keine	PIAT	keine
erneuernde	ADJA	erneuernd
Menschenhand	NN	Menschenhand
angenommen	VVPP	annehmen
.	$.	.
Jtem	NN	Jtem
,	$,	,
es	PPER	es
hielt	VVFIN	halten
,	$,	,
und	KON	und
die	ART	die
grüne	ADJA	grün
Moosdecke	NN	Moosdecke
war	VAFIN	sein
nicht	PTKNEG	nicht
das	ART	die
geringste	ADJA	gering
der	ART	die
Haltmittel	NN	Haltmittel
.	$.	.
Es	PPER	es
muß	VMFIN	müssen
zu	APPR	zu
einer	ART	eine
Masse	NN	Masse
zusammengewachsen	VVPP	zusammenwachsen
gewesen	VAPP	sein
sein	VAINF	sein
.	$.	.
Unser	PPOSAT	unser
Stübchen	NN	Stübchen
hatte	VAFIN	haben
nur	ADV	nur
Ein	ART	eine
Fenster	NN	Fenster
,	$,	,
aber	KON	aber
darin	PAV	darin
waren	VAFIN	sein
nur	ADV	nur
noch	ADV	noch
drei	CARD	drei
oder	KON	oder
vier	CARD	vier
Glasscheiben	NN	Glasscheibe
und	KON	und
die	ART	die
waren	VAFIN	sein
blind	ADJD	blind
.	$.	.
Die	ART	die
übrigen	ADJA	übrig
Stellen	NN	Stelle|Stellen
,	$,	,
wo	PWAV	wo
zu	APPR	zu
seiner	PPOSAT	sein
Zeit	NN	Zeit
Glas	NN	Glas
mochte	VMFIN	mögen
gewesen	VAPP	sein
sein	VAINF	sein
,	$,	,
waren	VAFIN	sein
mit	APPR	mit
Schachteldeckeln	NN	Schachteldeckeln
zugenagelt	VVPP	zunageln
und	KON	und
,	$,	,
wo	PWAV	wo
diese	PDAT	dies
fehlten	VVFIN	fehlen
,	$,	,
mit	APPR	mit
Lumpen	NN	Lump|Lumpen
verstopft	VVPP	verstopfen
,	$,	,
damit	KOUS	damit
der	ART	die
Wind	NN	Wind
nicht	PTKNEG	nicht
Herr	NN	Herr
würde	VAFIN	werden
.	$.	.
Ein	ART	eine
paar	PIAT	paar
alte	ADJA	alt
Bänke	NN	Bank
dienten	VVFIN	dienen
zum	APPRART	zu+die
Sitzen	NN	Sitz|Sitzen
und	KON	und
der	ART	die
Tisch	NN	Tisch
bestand	VVFIN	bestehen
aus	APPR	aus
der	ART	die
-	$(	-
Küchenthüre	NN	Küchenthüre
,	$,	,
die	PRELS	die
überflüssig	ADJD	überflüssig
war	VAFIN	sein
,	$,	,
die	PRELS	die
mein	PPOSAT	mein
Vater	NN	Vater
auf	APPR	auf
vier	CARD	vier
Lohstickel	NN	Lohstickel
aufgenagelt	VVPP	aufnageln
hatte	VAFIN	haben
.	$.	.
Da	ADV	da
keine	PIAT	keine
Diele	NN	Diele
da	ADV	da
war	VAFIN	sein
,	$,	,
sondern	KON	sondern
nur	ADV	nur
eine	ART	eine
Tenne	NN	Tenne
oder	KON	oder
Lehm	NN	Lehm
=	$(	=
Estrich	VVFIN	Estrich
,	$,	,
so	ADV	so
waren	VAFIN	sein
sie	PPER	sie
in	APPR	in
dieser	PDAT	dies
fest	ADJD	fest
angeschlagen	VVPP	anschlagen
.	$.	.
Das	PDS	die
war	VAFIN	sein
besonders	ADV	besonders
gut	ADJD	gut
zu	APPR	zu
Kriegszeiten	NN	Kriegszeit
unter	APPR	unter
uns	PPER	wir
Buben	NN	Bube
,	$,	,
denn	KON	denn
umgeworfen	VVPP	umwerfen
werden	VAINF	werden
konnte	VMFIN	können
er	PPER	er
so	ADV	so
auch	ADV	auch
bei	APPR	bei
dem	ART	die
besten	ADJA	gut
Willen	NN	Wille
nicht	PTKNEG	nicht
,	$,	,
diente	VVFIN	dienen
aber	ADV	aber
mitunter	ADV	mitunter
als	KOKOM	als
festes	ADJA	fest
Bollwerk	NN	Bollwerk
und	KON	und
Schanze	NN	Schanze
für	APPR	für
Eine	ART	eine
Partheien	NN	Partheien
.	$.	.
Wer	PWS	wer
ein	ART	eine
Bett	NN	Bett
gesucht	VVPP	suchen
hätte	VAFIN	haben
,	$,	,
möchte	VMFIN	mögen
lange	ADV	lange
haben	VAFIN	haben
suchen	VVINF	suchen
können	VMINF	können
.	$.	.
An	APPR	an
der	ART	die
Wand	NN	Wand
stand	VVFIN	stehen
ein	ART	eine
Strohsack	NN	Strohsack
,	$,	,
den	PRELS	die
eine	ART	eine
Stange	NN	Stange
aufrecht	ADJD	aufrecht
hielt	VVFIN	halten
.	$.	.
Abends	ADV	abends
wurde	VAFIN	werden
er	PPER	er
herunter	ADV	herunter
gelassen	VVPP	lassen
.	$.	.
Darauf	PAV	darauf
schlief	VVFIN	schlafen
unsre	PPOSAT	unser
arme	ADJA	arm
Mutter	NN	Mutter
und	KON	und
die	ART	die
Kleinsten	NN	Kleinste
.	$.	.
Jm	NE	Jm
Sommer	NE	Sommer
lagen	VVFIN	liegen
wir	PPER	wir
Buben	NN	Bube
,	$,	,
wenn	KOUS	wenn
wir	PPER	wir
daheim	ADV	daheim
waren	VAFIN	sein
,	$,	,
unter	APPR	unter
dem	ART	die
Dache	NN	Dach
und	KON	und
auf	APPR	auf
dem	ART	die
Estrich	NN	Estrich
,	$,	,
im	APPRART	in+die
Winter	NN	Winter
krochen	VVFIN	kriechen
wir	PPER	wir
in	APPR	in
das	ART	die
Laub	NN	Laub
und	KON	und
Heidekraut	NN	Heidekraut
,	$,	,
das	PRELS	die
wir	PPER	wir
für	APPR	für
die	ART	die
Geisen	NN	Geisen
gesammelt	VVPP	sammeln
oder	KON	oder
bettelten	VVFIN	betteln
uns	PPER	wir
Stroh	NN	Stroh
zum	APPRART	zu+die
Lager	NN	Lager
.	$.	.
Es	PPER	es
ist	VAFIN	sein
alles	PIS	alle
in	APPR	in
der	ART	die
Welt	NN	Welt
Gewohnheit	NN	Gewohnheit
.	$.	.
Wir	PPER	wir
schliefen	VVFIN	schlafen
da	ADV	da
so	ADV	so
gut	ADJD	gut
,	$,	,
wie	KOUS	wie
die	ART	die
Reichen	NN	Reich|Reiche|Reichen
in	APPR	in
ihren	PPOSAT	ihr
warmen	ADJA	warm
,	$,	,
weichen	ADJA	weich
Betten	NN	Bett|Betten
.	$.	.
Wir	PPER	wir
waren	VAFIN	sein
dabei	PAV	dabei
seelenvergnügt	ADJD	seelenvergnügt
,	$,	,
denn	KON	denn
wir	PPER	wir
wußtens	VVFIN	wußtens
nicht	PTKNEG	nicht
besser	ADJD	gut
,	$,	,
und	KON	und
wir	PPER	wir
gediehen	VVFIN	gedeihen
,	$,	,
daß	KOUS	dass
es	PPER	es
eine	ART	eine
Lust	NN	Lust
war	VAFIN	sein
,	$,	,
hatten	VAFIN	haben
frische	ADJA	frisch
,	$,	,
rothe	ADJA	rothe
Backen	NN	Backe|Backen
und	KON	und
ich	PPER	ich
weiß	VVFIN	wissen
nicht	PTKNEG	nicht
,	$,	,
daß	KOUS	dass
Eins	NN	Eins
von	APPR	von
uns	PPER	wir
Nenen	NN	Nenen
,	$,	,
so	ADV	so
lange	ADV	lange
ich	PPER	ich
zu	APPR	zu
Haus	NN	Haus
war	VAFIN	sein
,	$,	,
erheblich	ADJD	erheblich
krank	ADJD	krank
gewesen	VAPP	sein
wäre	VAFIN	sein
.	$.	.
Darauf	PAV	darauf
hielt	VVFIN	halten
unsre	PPOSAT	unser
gute	ADJA	gut
Mutter	NN	Mutter
streng	ADJD	streng
,	$,	,
daß	KOUS	dass
wir	PPER	wir
Abends	NN	Abend
und	KON	und
Morgens	NN	Morgen
beteten	VVFIN	beten
und	KON	und
das	PDS	die
that	VVFIN	that
Einer	NN	Einer
nach	APPR	nach
dem	ART	die
Andern	PIS	andere
,	$,	,
wo	PWAV	wo
denn	ADV	denn
,	$,	,
wenn	KOUS	wenn
die	ART	die
Reihe	NN	Reihe
an	APPR	an
die	ART	die
Letzten	NN	Letzte
kam	VVFIN	kommen
,	$,	,
nur	ADV	nur
der	ART	die
Mutter	NN	Mutter
Ruf	NN	Ruf
den	ART	die
Schlaf	NN	Schlaf
bewältigen	VVINF	bewältigen
konnte	VMFIN	können
,	$,	,
der	PRELS	die
schon	ADV	schon
die	ART	die
vorhergehenden	ADJA	vorhergehend
in	APPR	in
seinen	PPOSAT	sein
Arm	NN	Arm
genommen	VVPP	nehmen
hatte	VAFIN	haben
.	$.	.
Jch	ADJA	Jch
hab	VAIMP	haben
'	$(	'
davon	PAV	davon
schon	ADV	schon
geredet	VVPP	reden
,	$,	,
daß	KOUS	dass
wir	PPER	wir
häufig	ADJD	häufig
Faustkämpfe	NN	Faustkampf
lieferten	VVFIN	liefern
,	$,	,
aber	KON	aber
das	PDS	die
hob	VVFIN	heben
und	KON	und
trug	VVFIN	tragen
nichts	PIS	nichts
.	$.	.
Wir	PPER	wir
hatten	VAFIN	haben
uns	PPER	wir
doch	ADV	doch
Alle	PIS	alle
lieb	PTKVZ	lieb
und	KON	und
ich	PPER	ich
hätt	VVFIN	hätt
'	$(	'
s	NN	s
bei	APPR	bei
Leibe	NN	Leib
keinem	PIAT	keine
rathen	NN	rathen
mögen	VMINF	mögen
,	$,	,
Einem	ART	eine
von	APPR	von
uns	PPER	wir
etwas	ADV	etwas
zu	PTKVZ	zu
Leide	VVFIN	leiden
zu	APPR	zu
thun	NE	thun
.	$.	.
Dann	ADV	dann
standen	VVFIN	stehen
wir	PPER	wir
alle	PIS	alle
für	APPR	für
Einen	ART	eine
und	KON	und
Einer	NN	Einer
für	APPR	für
alle	PIAT	alle
und	KON	und
da	KOUS	da
uns	PPER	wir
das	ART	die
Bubenvolk	NN	Bubenvolk
in	APPR	in
dem	ART	die
Artikel	NN	Artikel
kannte	VVFIN	kennen
,	$,	,
so	ADV	so
hatten	VAFIN	haben
wir	PPER	wir
unsre	PPOSAT	unser
Grenzen	NN	Grenze
nach	APPR	nach
Außen	NN	Außen
hin	APZR	hin
gewahrt	VVPP	gewahren|wahren
.	$.	.
Daß	KOUS	dass
unsre	PPOSAT	unser
Kleidung	NN	Kleidung
nicht	PTKNEG	nicht
prunkvoll	ADJD	prunkvoll
war	VAFIN	sein
,	$,	,
könnt	VMFIN	können
Jhr	NN	Jhr
Euch	PRF	ihr
wohl	ADV	wohl
denken	VVINF	denken
.	$.	.
Sohlen	NN	Sohle
und	KON	und
Oberleder	NN	Oberleder
zerrissen	VVFIN	zerreißen
wir	PPER	wir
alle	PIAT	alle
nicht	PTKNEG	nicht
und	KON	und
der	ART	die
Schuster	NN	Schuster
verdiente	VVFIN	verdienen
bei	APPR	bei
uns	PPER	wir
keinen	PIAT	keine
Pfennig	NN	Pfennig
.	$.	.
Wir	PPER	wir
gingen	VVFIN	gehen
nämlich	ADV	nämlich
baarfuß	NN	baarfuß
.	$.	.
Die	ART	die
Schuhe	NN	Schuh
und	KON	und
Strümpfe	NN	Strumpf
,	$,	,
die	PRELS	die
einem	PIS	eine
der	ART	die
liebe	ADJA	lieb
Gott	NN	Gott
mit	APPR	mit
auf	APPR	auf
die	ART	die
Welt	NN	Welt
gibt	VVFIN	geben
,	$,	,
haben	VAFIN	haben
das	PDS	die
absonderlich	ADJD	absonderlich
Gute	NN	Gute
,	$,	,
daß	KOUS	dass
man	PIS	man
sie	PPER	sie
erstlich	ADJD	erstlich
