*	XY	*
Ursachen	NN	Ursache
der	ART	die
Armuth	TRUNC	Armuth
und	KON	und
Verdienstlosigkeit	NN	Verdienstlosigkeit
,	$,	,
nicht	PTKNEG	nicht
der	ART	die
Mangel	NN	Mangel
einer	ART	eine
Sorge	NN	Sorge
von	APPR	von
Seiten	NN	Seite
der	ART	die
Regierung	NN	Regierung
.	$.	.
”	ADJD	”
Hierdurch	PAV	hierdurch
wird	VAFIN	werden
zweierlei	PIS	zweierlei
ausgesprochen	VVPP	aussprechen
:	$.	:
Erstens	ADV	erstens
die	ART	die
Freiheit	NN	Freiheit
der	ART	die
Ansäßigmachung	NN	Ansäßigmachung
,	$,	,
der	ART	die
Verehelichung	NN	Verehelichung
und	KON	und
der	ART	die
Gewerbe	NN	Gewerbe
,	$,	,
welche	PRELS	welche
Freiheit	NN	Freiheit
die	ART	die
Pfalz	NE	Pfalz
bisher	ADV	bisher
unter	APPR	unter
ihre	PPOSAT	ihr
theuersten	ADJA	theuersten
Güter	NN	Gut
zählte	VVFIN	zählen
,	$,	,
welche	PRELS	welche
Freiheit	NN	Freiheit
als	KOKOM	als
Ziel	NN	Ziel
staatlicher	ADJA	staatlich
Entwickelung	NN	Entwickelung
,	$,	,
als	KOKOM	als
Mittel	NN	Mittel
des	ART	die
Fortschritts	NN	Fortschritt
und	KON	und
der	ART	die
Veredlung	NN	Veredlung
der	ART	die
Völker	NN	Volk
,	$,	,
als	KOKOM	als
Grundlage	NN	Grundlage
der	ART	die
Sittlichkeit	NN	Sittlichkeit
und	KON	und
des	ART	die
Glücks	NN	Glück
anerkannt	VVPP	anerkennen
und	KON	und
erprobt	VVPP	erproben
ist	VAFIN	sein
,	$,	,
diese	PDAT	dies
Freiheit	NN	Freiheit
ist	VAFIN	sein
für	APPR	für
die	ART	die
Pfalz	NE	Pfalz
„	$(	„
in	APPR	in
den	ART	die
für	APPR	für
den	ART	die
Erwerb	NN	Erwerb
einiger	PIAT	einige
Maßen	NN	Maß
schwierigen	ADJA	schwierig
Zeiten	NN	Zeit
ein	ART	eine
offener	ADJA	offen
Krebsschaden	NN	Krebsschaden
.	$.	.
”	NN	”
—	$,	—
Hieraus	PAV	hieraus
folgt	VVFIN	folgen
mit	APPR	mit
Nothwendigkeit	NN	Nothwendigkeit
,	$,	,
daß	KOUS	dass
Diejenigen	PDS	diejenigen
,	$,	,
welche	PRELS	welche
Solches	PIS	solche
behaupten	VVFIN	behaupten
,	$,	,
wünschen	VVFIN	wünschen
und	KON	und
dahin	PAV	dahin
arbeiten	VVINF	arbeiten
müssen	VMINF	müssen
,	$,	,
daß	KOUS	dass
dieser	PDAT	dies
Zustand	NN	Zustand
der	ART	die
Freiheit	NN	Freiheit
in	APPR	in
der	ART	die
Pfalz	NE	Pfalz
aufgehoben	VVPP	aufheben
,	$,	,
und	KON	und
dagegen	PAV	dagegen
die	ART	die
Zustände	NN	Zustand
des	ART	die
altbaierischen	ADJA	altbaierischen
„	$(	„
Krystallisationskerns	NE	Krystallisationskerns
”	NN	”
dahin	PAV	dahin
verpflanzt	VVPP	verpflanzen
werden	VAFIN	werden
.	$.	.
Sie	PPER	Sie
müssen	VMFIN	müssen
also	ADV	also
die	ART	die
Staatsregierung	NN	Staatsregierung
zu	APPR	zu
Gesetzesvorlagen	NN	Gesetzesvorlage
provociren	NN	provociren
,	$,	,
welche	PRELS	welche
solche	PIAT	solche
Aenderungen	NN	Aenderungen
bezwecken	VVFIN	bezwecken
,	$,	,
während	KOUS	während
die	ART	die
Pfalz	NE	Pfalz
,	$,	,
mit	APPR	mit
Händen	NN	Hand
und	KON	und
Füßen	NN	Fuß
dagegen	PAV	dagegen
sich	PRF	sich
sträubend	ADJD	sträubend
,	$,	,
um	APPR	um
keinen	PIAT	keine
Preis	NN	Preis
ihre	PPOSAT	ihr
so	ADV	so
schnöde	ADJD	schnöde
verdächtigte	ADJA	verdächtigt
Freiheit	NN	Freiheit
aufzugeben	VVIZU	aufgeben
entschlossen	ADJD	entschlossen
ist	VAFIN	sein
.	$.	.
Sie	PPER	Sie
müssen	VMFIN	müssen
ferner	ADJD	fern
dem	ART	die
zu	APPR	zu
Folge	NN	Folge
dahin	PAV	dahin
wirken	VVINF	wirken
,	$,	,
daß	KOUS	dass
die	ART	die
Pfalz	NE	Pfalz
Deputirte	NN	Deputirte
wähle	VVFIN	wählen
,	$,	,
welche	PWAT	welche
mitwirken	VVFIN	mitwirken
,	$,	,
damit	KOUS	damit
die	ART	die
genannte	ADJA	genannt
Provinz	NN	Provinz
jene	PDAT	jen
Gesetze	NN	Gesetz
erhalte	VVFIN	erhalten
,	$,	,
welche	PRELS	welche
die	ART	die
glücklichen	ADJA	glücklich
Zustände	NN	Zustand
Altbaierns	NN	Altbaierns
daselbst	ADV	daselbst
einzuführen	VVIZU	einführen
geeignet	ADJD	geeignet
sind	VAFIN	sein
.	$.	.
Zweitens	ADV	zweitens
wird	VAFIN	werden
hierdurch	PAV	hierdurch
der	ART	die
Glaube	NN	Glaube
zu	PTKZU	zu
verbreiten	VVINF	verbreiten
gesucht	VVPP	suchen
,	$,	,
als	KOUS	als
herrsche	VVFIN	herrschen
in	APPR	in
der	ART	die
Pfalz	NE	Pfalz
,	$,	,
unter	APPR	unter
Mißbrauch	NN	Missbrauch
der	ART	die
genannten	ADJA	genannt
Freiheit	NN	Freiheit
,	$,	,
eine	ART	eine
Gewissenlosigkeit	NN	Gewissenlosigkeit
der	ART	die
Familienväter	NN	Familienvater
,	$,	,
eine	ART	eine
Demoralisation	NN	Demoralisation
,	$,	,
Arbeitsscheu	NN	Arbeitsscheu
und	KON	und
Genußsucht	NN	Genusssucht
,	$,	,
daß	KOUS	dass
vorzugsweise	ADJD	vorzugsweise
hieraus	PAV	hieraus
die	ART	die
Armuth	TRUNC	Armuth
und	KON	und
Verdienstlosigkeit	NN	Verdienstlosigkeit
entspringe	VVFIN	entspringen
.	$.	.
Und	KON	und
diese	PDAT	dies
Lüge	NN	Lüge
streut	VVFIN	streuen
ein	ART	eine
Blatt	NN	Blatt
in	APPR	in
die	ART	die
Welt	NN	Welt
hinaus	PTKVZ	hinaus
,	$,	,
welches	PWAT	welche
ein	ART	eine
Pfälzer	NN	Pfälzer
herausgibt	VVFIN	herausgeben
,	$,	,
ein	ART	eine
Blatt	NN	Blatt
,	$,	,
das	PRELS	die
der	ART	die
Wahrheit	NN	Wahrheit
zu	PTKZU	zu
dienen	VVINF	dienen
und	KON	und
die	ART	die
wahren	ADJA	wahr
Interessen	NN	Interesse
des	ART	die
Volkes	NN	Volk
zu	PTKZU	zu
vertheidigen	VVINF	vertheidigen
behauptet	VVFIN	behaupten
,	$,	,
ein	ART	eine
Blatt	NN	Blatt
,	$,	,
das	PRELS	die
den	ART	die
Gemeinden	NN	Gemeinde
und	KON	und
allen	PIAT	alle
Abhängigen	NN	Abhängige
aufgezwungen	VVPP	aufzwingen
ist	VAFIN	sein
,	$,	,
ein	ART	eine
Blatt	NN	Blatt
,	$,	,
das	PRELS	die
die	ART	die
Mittel	NN	Mittel
zum	APPRART	zu+die
Fristen	NN	Frist
seiner	PPOSAT	sein
Existenz	NN	Existenz
aus	APPR	aus
den	ART	die
öffentlichen	ADJA	öffentlich
Cassen	NE	Cassen
und	KON	und
dem	ART	die
Beutel	NN	Beutel
der	ART	die
Minderjährigen	NN	Minderjährige
und	KON	und
Zwangsveräußerten	NN	Zwangsveräußerten
schöpft	VVFIN	schöpfen
!	$.	!
—	$,	—
Ein	ART	eine
solch	PIAT	solche
höhnendes	ADJA	höhnendes
,	$,	,
hündischwohldienerisches	ADJA	hündischwohldienerisches
Auftreten	NN	Auftreten
trifft	VVFIN	treffen
mit	APPR	mit
Recht	NN	Recht
die	ART	die
tiefste	ADJA	tief
,	$,	,
allgemeinste	ADJA	allgemein
Verachtung	NN	Verachtung
des	ART	die
Landes	NN	Land
.	$.	.
